Date,ICG,Variacion_ICG
2001-11-01,1.036,
2001-12-01,0.757,-0.2693
2002-01-01,1.357,0.7926
2002-02-01,0.983,-0.2756
2002-03-01,0.862,-0.1231
2002-04-01,0.782,-0.0928
2002-05-01,0.467,-0.4028
2002-06-01,0.482,0.0321
2002-07-01,0.404,-0.1618
2002-08-01,0.424,0.0495
2002-09-01,0.323,-0.2382
2002-10-01,0.506,0.5666
2002-11-01,0.718,0.419
2002-12-01,0.703,-0.0209
2003-01-01,0.907,0.2902
2003-02-01,0.829,-0.086
2003-03-01,0.886,0.0688
2003-04-01,0.843,-0.0485
2003-05-01,1.219,0.446
2003-06-01,3.142,1.5775
2003-07-01,3.2626,0.0384
2003-08-01,3.1953,-0.0206
2003-09-01,2.8727,-0.1009
2003-10-01,2.921,0.0168
2003-11-01,2.7847,-0.0466
2003-12-01,2.6528,-0.0474
2004-01-01,2.9855,0.1254
2004-02-01,3.3164,0.1108
2004-03-01,3.1416,-0.0527
2004-04-01,2.6781,-0.1475
2004-05-01,2.6353,-0.016
2004-06-01,2.685,0.0189
2004-07-01,2.488,-0.0733
2004-08-01,2.0713,-0.1675
2004-09-01,2.1305,0.0286
2004-10-01,2.2673,0.0642
2004-11-01,2.4601,0.085
2004-12-01,2.4293,-0.0125
2005-01-01,2.3513,-0.0321
2005-02-01,2.3866,0.015
2005-03-01,2.7996,0.1731
2005-04-01,2.4891,-0.1109
2005-05-01,2.3706,-0.0476
2005-06-01,2.3111,-0.0251
2005-07-01,2.07,-0.1044
2005-08-01,2.4201,0.1691
2005-09-01,2.1138,-0.1266
2005-10-01,2.1916,0.0368
2005-11-01,2.4215,0.1049
2005-12-01,2.2612,-0.0662
2006-01-01,2.6321,0.164
2006-02-01,2.6222,-0.0038
2006-03-01,2.7017,0.0303
2006-04-01,2.5369,-0.061
2006-05-01,2.4963,-0.016
2006-06-01,2.6913,0.0781
2006-07-01,2.5338,-0.0585
2006-08-01,2.412,-0.0481
2006-09-01,2.4807,0.0285
2006-10-01,2.544,0.0255
2006-11-01,2.4383,-0.0415
2006-12-01,2.3341,-0.0428
2007-01-01,2.6877,0.1515
2007-02-01,2.5836,-0.0387
2007-03-01,2.5945,0.0042
2007-04-01,2.143,-0.174
2007-05-01,2.2293,0.0403
2007-06-01,2.0747,-0.0693
2007-07-01,1.9988,-0.0366
2007-08-01,1.8636,-0.0677
2007-09-01,1.8896,0.014
2007-10-01,1.6778,-0.1121
2007-11-01,1.9811,0.1808
2007-12-01,2.0436,0.0315
2008-01-01,2.3688,0.1592
2008-02-01,1.977,-0.1654
2008-03-01,1.8611,-0.0586
2008-04-01,1.7395,-0.0653
2008-05-01,1.3343,-0.2329
2008-06-01,1.2076,-0.095
2008-07-01,1.2687,0.0506
2008-08-01,1.3947,0.0993
2008-09-01,1.4418,0.0338
2008-10-01,1.3787,-0.0438
2008-11-01,1.4279,0.0356
2008-12-01,1.3678,-0.0421
2009-01-01,1.5046,0.1
2009-02-01,1.3751,-0.086
2009-03-01,1.3578,-0.0126
2009-04-01,1.3539,-0.0029
2009-05-01,1.3217,-0.0238
2009-06-01,1.3403,0.0141
2009-07-01,1.2345,-0.0789
2009-08-01,1.111,-0.1
2009-09-01,1.2237,0.1014
2009-10-01,1.1458,-0.0636
2009-11-01,1.1586,0.0111
2009-12-01,1.0443,-0.0986
2010-01-01,1.2593,0.2058
2010-02-01,1.1872,-0.0572
2010-03-01,1.3373,0.1264
2010-04-01,1.3902,0.0396
2010-05-01,1.5919,0.145
2010-06-01,1.6098,0.0113
2010-07-01,1.6868,0.0478
2010-08-01,1.7965,0.065
2010-09-01,1.7713,-0.014
2010-10-01,1.7037,-0.0381
2010-11-01,2.4219,0.4215
2010-12-01,2.3362,-0.0354
2011-01-01,2.1637,-0.0739
2011-02-01,2.1786,0.0069
2011-03-01,2.4237,0.1125
2011-04-01,2.1863,-0.0979
2011-05-01,2.3389,0.0698
2011-06-01,2.2944,-0.019
2011-07-01,2.4784,0.0802
2011-08-01,2.2462,-0.0937
2011-09-01,2.6406,0.1756
2011-10-01,2.6209,-0.0075
2011-11-01,2.622,0.0004
2011-12-01,2.7105,0.0337
2012-01-01,2.7488,0.0142
2012-02-01,2.5577,-0.0695
