indice_tiempo,total_cuenta_corriente,cuenta_corriente_total_bienes_servicios,cuenta_corriente_bienes_servicios_total_bienes,cuenta_corrientes_bienes_servicios_bienes_exportaciones_fob,cuenta_corrientes_bienes_servicios_bienes_importaciones_fob,cuenta_corriente_bienes_servicios_total_servicios,cuenta_corriente_bienes_servicios_ingresos_servicios,cuenta_corriente_bienes_servicios_egresos_servicios,cuenta_corriente_total_ingresos_primarios,cuenta_corriente_ingresos_primarios_rem_empleados,cuenta_corriente_ingresos_primarios_total_rentas_inversion,cta_cte_ingresos_primarios_rentas_inversion_directa,ingresos_primarios_rentas_inversion_inversion_cartera,cuenta_corriente_ingresos_primarios_rentas_otra_inversion,cuenta_corriente_ingresos_secundarios,total_cuenta_capital,total_cuenta_financiera,cuenta_financiera_total_inversion_directa,cta_fin_inversion_directa_activos_participaciones_capital,cuenta_financiera_inversion_directa_activos_instrumentosuda,cta_fin_inversion_directa_pasivos_participaciones_capital,cta_fin_inversion_directa_pasivos_instrumentos_deuda,cuenta_financiera_total_inversion_cartera,cta_fin_inversion_cartera_activos_participaciones_capital,cuenta_financiera_inversion_cartera_activos_instrumentosuda,cta_fin_inversion_cartera_pasivos_participaciones_capital,cuenta_financiera_inversion_cartera_pasivos_instrumentosuda,cuenta_financierarivados_financieros,cuenta_financiera_total_otra_inversion,cta_fin_otra_inversion_adquisicion_neta_activos_financieros,cuenta_financieratra_inversion_emision_neta_pasivos,activos_reserva,errores_omisiones_netos
2006-01-01,6498.802520204537,13266.642573159292,14029.6,46617.5,32587.9,-762.9574268407114,7911.015092920381,8673.972519761091,-7722.609982901517,-61.09903848602668,-7661.51094441549,-5476.818980467421,-2992.4338240591387,-181.9047390880578,954.7699299467585,97.62432780480081,7480.430887967554,-3098.627065632334,2438.7207205609698,0.0,5274.347786193304,263.0,-7239.396788738521,401.75800000000004,859.2356,706.6557289219243,7793.734659816599,126.6445353070049,14161.980207031405,3240.5685309017326,-10921.411676129674,3529.8300000000004,884.0040399582152
2007-01-01,6048.537892886692,12570.579976288724,13552.062000000002,56076.562,42524.5,-981.4820237112767,10045.736496175707,11027.218519886985,-7594.655763447881,-72.46691694303382,-7522.188846504849,-5797.865008492992,-3278.99444722251,-244.54747845031886,1072.6136800458517,121.14588896817291,5899.446879667215,-4968.9248007845745,1504.2329613445731,0.0,4627.520926861676,1845.6368352674704,-7467.962897523699,1389.358,-215.80919988350007,1784.93501155032,6856.576686089879,564.5874084400916,4682.027169535403,10556.673439761638,5874.646270226236,13089.719999999994,-270.23690218765034
2008-01-01,5421.206328610086,13340.936973296752,15563.272000000004,70159.47200000001,54596.2,-2222.335026703247,11424.149071776326,13646.484098479574,-9034.190700038398,-51.64166575468662,-8982.549034283711,-6579.538211687204,-3083.822462238651,-690.4509671053921,1114.4600553517264,185.06001672687773,6553.954182718127,-8334.618540647127,1390.9345888775626,0.0,4948.928699460137,4776.624430064551,7878.589063309875,526.3799999999999,1629.1838492295665,-530.62177563144,-5192.403438448869,934.6999999999999,6057.903660055368,12240.515041140925,6182.611381085557,17.38000000000909,947.6878373811635
2009-01-01,7254.115683937023,16652.81851039573,18644.85,55790.984,37146.134000000005,-1992.0314896042678,10544.621323634772,12536.652813239041,-10318.87500157297,-59.35778711049614,-10259.517214462474,-7069.792488645024,-2548.7036953676134,-998.4277814523668,920.1721751142584,79.98422798473263,6712.78261735372,-3305.61252113841,711.54640374567,0.0,5027.0,-1009.8410751159197,2153.143136622599,983.0,-337.46608569390304,-211.91786454491975,-1295.691357771582,1248.3,5270.742001869532,6179.3210714891375,908.5790696196052,1346.2099999999991,-621.3172945680367
2010-01-01,-1622.9958712506887,12343.520648578302,14147.109298489997,68305.87299999999,54158.763701510004,-1803.5886499116937,12817.143360608767,14620.73201052046,-14547.533203936955,-54.723346072218796,-14492.809857864735,-11161.704531850984,-2413.1416689898397,-1066.9020104563745,581.016684107961,78.47788473676806,-3802.1032874248417,-10367.957946042656,964.7606803918081,0.0,7826.0370419981155,3506.6815844363473,-3262.193616417131,640.0,-1226.4127133267843,-71.01632156870932,2746.7972246590566,-712.2579668546917,6382.956241889639,8717.032830342276,2334.0765884526363,4157.349999999996,-2257.5853009109214
2011-01-01,-5340.181192395201,9198.443049713533,12350.931086789999,83119.70899999999,70768.77791321,-3152.488037076464,14496.981275383481,17649.469312459947,-15073.067099851129,-45.89787774732063,-15027.16922210381,-11136.35524177086,-2744.691865076561,-1227.8536733586013,534.4428577423889,62.723846223564955,-5252.202975222528,-9351.930944681499,1488.0,0.0,8240.360576792102,2599.5703678893983,-143.23415627633983,-197.0,-194.61991519683735,-208.19566076712624,-40.19009815337131,2356.1814002937385,7994.690725441573,19013.4452318768,11018.75450643523,-6107.909999999999,25.25437094910785
2012-01-01,-2138.0403604329586,10943.688062568155,15040.912786540008,80083.655,65042.74221345999,-4097.224723971849,14247.100729557711,18344.32545352956,-13753.840627053001,-62.77192686270194,-13691.068700190299,-9616.248804563937,-2658.500305855138,-1470.1735296794657,672.1122040518909,47.88404456881957,-2788.135613778191,-14269.084338767792,1054.849578056328,0.0,12203.816292224434,3120.1176245996867,149.91832557220562,131.0,133.92491532564523,-134.90771829620738,249.91430804964705,2908.18146603051,11727.568933386887,9722.057405701973,-2005.5115276849133,-3304.7200000000007,-697.9792979140518
2013-01-01,-13124.373785863289,-693.6808744288319,4635.235240909935,75928.22836106992,71292.99312016,-5328.916115338768,13679.891768375357,19008.807883714126,-13164.827574843843,-65.40942101914888,-13099.418153824696,-8978.566833988325,-2773.299159902282,-1384.8637023721324,734.1346634093852,33.41287371843786,-16164.896491253256,-8931.688999431653,889.9728587270906,0.0,10604.661858158743,-783.0,-432.58592029405895,116.48223191182213,380.07660538115397,341.87778439124617,587.2669731957891,-32.37667154402165,5055.515100016476,3892.651237002723,-1162.8638630137525,-11823.759999999998,-3073.9355791084045
2014-01-01,-9179.026266875517,900.1776594987532,5541.469812899997,68440.435907,62898.9660941,-4641.292153401241,13396.371827726387,18037.663981127625,-11613.847481207209,-34.19127303044338,-11579.656208176766,-7299.5735251676,-2938.6884574811456,-1358.847470593836,1534.6435548329387,56.797105133735066,-9320.672304623195,-3144.7941088598127,1920.5414331050504,0.0,6009.860154267904,-944.5246123030417,2339.4303931017853,-184.67743467098734,159.46524432013203,217.89959726065024,-2582.5421807132916,-168.2069007621946,-9542.211688102972,1422.0058305299053,10964.217518632879,1195.1100000000001,-198.44314288141186
2015-01-01,-17621.98516820996,-6600.221085864279,-785.1763926200038,56809.053493,57594.22988562001,-5815.044693244277,13213.51234997643,19028.55704322071,-12104.598578604408,25.812828028660583,-12130.41140663307,-8145.145136399993,-2687.244436198638,-1322.4983633344584,1082.834496258724,51.92919976846566,-18497.849221952918,-10883.760783931782,875.2332273542585,0.0,9376.515650711684,2382.4783605743564,-437.23881435020667,-176.390040007803,269.0726301328365,239.111552890749,290.8098515844913,-24.991331066334045,-2245.888292604591,8813.652573994279,11059.540866598869,-4905.970000000003,-927.7932535114214
