indice_tiempo,total_cuenta_corriente,cuenta_corriente_total_bienes_servicios,cuenta_corriente_bienes_servicios_total_bienes,cuenta_corrientes_bienes_servicios_bienes_exportaciones_fob,cuenta_corrientes_bienes_servicios_bienes_importaciones_fob,cuenta_corriente_bienes_servicios_total_servicios,cuenta_corriente_bienes_servicios_ingresos_servicios,cuenta_corriente_bienes_servicios_egresos_servicios,cuenta_corriente_total_ingresos_primarios,cuenta_corriente_ingresos_primarios_rem_empleados,cuenta_corriente_ingresos_primarios_total_rentas_inversion,cta_cte_ingresos_primarios_rentas_inversion_directa,ingresos_primarios_rentas_inversion_inversion_cartera,cuenta_corriente_ingresos_primarios_rentas_otra_inversion,cuenta_corriente_ingresos_secundarios,total_cuenta_capital,total_cuenta_financiera,cuenta_financiera_total_inversion_directa,cta_fin_inversion_directa_activos_participaciones_capital,cuenta_financiera_inversion_directa_activos_instrumentosuda,cta_fin_inversion_directa_pasivos_participaciones_capital,cta_fin_inversion_directa_pasivos_instrumentos_deuda,cuenta_financiera_total_inversion_cartera,cta_fin_inversion_cartera_activos_participaciones_capital,cuenta_financiera_inversion_cartera_activos_instrumentosuda,cta_fin_inversion_cartera_pasivos_participaciones_capital,cuenta_financiera_inversion_cartera_pasivos_instrumentosuda,cuenta_financierarivados_financieros,cuenta_financiera_total_otra_inversion,cta_fin_otra_inversion_adquisicion_neta_activos_financieros,cuenta_financieratra_inversion_emision_neta_pasivos,activos_reserva,errores_omisiones_netos
2006-01-01,703.2668735325024,2691.0759422723186,2906.3,9945.6,7039.3,-215.22405772768116,1945.1375402847775,2160.3615980124587,-2177.7488594002975,-13.484735998944767,-2164.2641234013527,-1542.4722326497763,-715.4276999688097,-85.47530189387783,189.93979066048084,10.399999999999999,781.0366090451844,-1375.7522158133997,377.20755949267647,0.0,1469.9597753060762,283.0,-2253.0962178930326,205.538,541.692,247.0655723056536,2753.2606455873793,-15.956818675376914,11059.781861426995,587.0492226173432,-10472.732638809652,-6633.94,67.36973551268204
2006-04-01,1916.5944511793477,3803.20803256014,4123.499999999998,11980.3,7856.800000000001,-320.29196743985904,1712.9188135727065,2033.2107810125656,-2159.0400671733496,-18.373752994697806,-2140.666314178652,-1514.7849781181617,-803.742973069549,-51.67451934273254,272.42648579255723,39.9,1980.8827775513732,-672.3911144975714,1090.945681202977,0.0,612.3367957005484,1151.0,-1970.5647831530414,-54.226,104.85,110.72396340860529,1910.4648197444362,-32.36518517409769,813.1938603760859,224.66308001135224,-588.5307803647337,3843.009999999998,24.388326372025404
2006-07-01,1516.866479194674,2986.87598986402,3255.500000000002,12126.8,8871.3,-268.62401013598264,1898.8543692299554,2167.478379365938,-1690.7435522708872,-15.60948486182327,-1675.1340674090638,-1220.3750771944187,-700.7687306711746,-27.196084786188976,220.7340416015402,45.43041210224308,1232.3860821007038,-1116.8668211625682,424.95186544301947,0.0,1653.8186866055876,-112.0,-802.5281718343288,122.74,59.778,132.14969589284888,852.8964759414799,-37.99542602518548,659.8165011227867,421.67896167983406,-238.13753944295263,2529.9599999999996,-329.9108091962132
2006-10-01,2362.0747162980133,3785.482608462813,3744.300000000001,12564.8,8820.5,41.18260846281146,2354.1043698329413,2312.92176137013,-1695.077504056982,-13.631064630560836,-1681.4464394264214,-1199.1866925050645,-772.4944203496053,-17.558833065258455,271.6696118921802,1.8939157025577287,3486.1254192702922,66.38308584120534,545.615614422297,0.0,1538.2325285810916,-1059.0,-2213.207615858119,127.70600000000002,152.91559999999998,216.71649731481648,2277.1127185433024,212.961965181665,1629.1879841055386,2007.1772665932028,377.9892824876642,3790.8000000000025,1122.156787269721
2007-01-01,601.802087421871,2327.769223171901,2424.500000000002,11178.1,8753.599999999999,-96.73077682810072,2600.129718831908,2696.860495660009,-1957.6618898522056,-17.71832647376423,-1939.9435633784415,-1443.216318925414,-829.1912596488785,-29.505300049626953,231.69475410217635,11.500000000000004,1476.2967795479176,-717.4287926410873,409.62904839981474,0.0,425.759463448342,701.2983775925602,-2299.261541577336,257.825,14.90750011649992,549.9063558749472,2022.087685818889,7.888173092375572,-174.59105932603052,398.6405476642848,573.2316069903153,4659.689999999996,862.9946921260466
2007-04-01,2026.1905551801137,3622.2503258509787,3984.2000000000007,13693.2,9709.0,-361.94967414902203,2154.1851770687995,2516.1348512178215,-1881.3289482459465,-15.892115460910965,-1865.4368327850357,-1416.404746647618,-857.3635228450867,-42.15525160401944,285.26917757507954,6.683196445401912,961.592292651113,-702.354074195666,397.463117675333,0.0,502.60255642359834,597.2146354474007,-5662.703708935337,398.552,-192.75570000000002,594.931451444728,5273.568557490609,26.852835760734223,960.1572400213797,1776.4562763159006,816.2990362945209,6339.640000000002,-1071.2814589744028
2007-07-01,449.2648266715769,1863.7897420505851,2346.2620000000006,14388.562,12042.3,-482.4722579494146,2321.4118617502927,2803.8841196997073,-1665.6199315022325,-19.473335599535776,-1646.1465959026968,-1294.305797334739,-823.4659047850862,-25.80546703127891,251.0950161232264,102.210715522771,696.7619231951833,-1530.0320419312516,361.66316231575354,0.0,1460.4957159255655,431.1994883214398,1488.817167082117,245.997,-31.228999999999996,228.47212727772006,-1502.5212943598372,-17.9536004130181,1597.6803984573326,4161.894618600459,2564.214220143126,-841.7499999999966,145.28638100083538
2007-10-01,2971.2804236131306,4756.770685215259,4797.0999999999985,16816.699999999997,12019.599999999999,-40.32931478473938,2970.009738524707,3010.339053309446,-2090.044993847497,-19.383139408822856,-2070.6618544386743,-1643.9381455852213,-768.9737599434588,-147.08145976539356,304.55473224536945,0.7519770000000008,2764.795884273001,-2019.1098920165691,335.47763295367156,0.0,2238.663191064171,115.92433390606976,-994.8148140931426,486.984,-6.732000000000001,411.6250769529247,1063.4417371402178,547.8,2298.780590382721,4219.681997180995,1920.9014067982737,2932.1399999999917,-207.23651634012958
2008-01-01,1323.2145641691022,3303.627739779098,3860.3999999999996,16067.5,12207.1,-556.7722602209001,2943.99757674031,3500.76983696121,-2254.5384739272727,-12.769577151937316,-2241.768896775335,-1770.1324973924338,-797.8691338634746,-121.01397199274652,274.1252983172757,43.631,2610.935835630276,-3137.0013667311728,346.00327730598514,0.0,1537.4967634708578,1945.5078805663004,1033.6156245116222,130.501,583.686,-92.90967313250358,-226.51895137911848,-12.4,1192.5115778498202,2617.839789391951,1425.3282115421307,3534.2100000000064,1244.0902714611736
2008-04-01,319.2597939382249,2235.4625588227573,2942.2999999999993,17526.3,14584.0,-706.8374411772411,2579.4281344215733,3286.2655755988144,-2229.8294242993516,-15.40345380164754,-2214.4259704977044,-1575.9096449144024,-866.3190912732722,-160.9380583296055,313.62665941481686,14.751144792002579,-667.9617639146927,-1946.1918938561826,318.6109080496109,0.0,329.71942153846305,1935.0833803673304,2143.693374549941,669.137,18.489000000000004,-202.87301878884756,-1253.1943557610934,59.9,1695.5767553915457,5196.44621364801,3500.869458256464,-2620.939999999997,-1001.9727026449202
