fecha,y_obs,y_pred
2006-01-01,,897.0253140907729
2006-02-01,,897.0253140907729
2006-03-01,897.0253140907729,897.0253140907729
2006-04-01,,1376.317552825372
2006-05-01,,1477.4296961655502
2006-06-01,1267.73601085338,1267.73601085338
2006-07-01,,1268.430846047449
2006-08-01,,1218.8868943489365
2006-09-01,995.6253299546734,995.6253299546734
2006-10-01,,814.9841166704507
2006-11-01,,603.8305052516052
2006-12-01,1261.827536154271,1261.827536154271
2007-01-01,,641.9420022645128
2007-02-01,,885.6170672223654
2007-03-01,775.9230743906337,775.9230743906337
2007-04-01,,1239.2478503097122
2007-05-01,,1445.7557734698776
2007-06-01,1207.4167752836595,1207.4167752836595
2007-07-01,,698.794511745629
2007-08-01,,325.2121805686552
2007-09-01,621.263247350195,621.263247350195
2007-10-01,,838.2853859838398
2007-11-01,,733.0396589094985
2007-12-01,1585.5902284050862,1585.5902284050862
2008-01-01,,1317.7795799519292
2008-02-01,,1169.0752030545511
2008-03-01,1101.2092465930327,1101.2092465930327
2008-04-01,,1229.8992935250267
2008-05-01,,1404.8774807307893
2008-06-01,745.1541862742524,745.1541862742524
2008-07-01,,1340.70465423062
2008-08-01,,2287.405537596842
2008-09-01,1652.9715224470103,1652.9715224470103
2008-10-01,,1022.2466390049275
2008-11-01,,864.9796032060354
2008-12-01,947.6440357846217,947.6440357846217
2009-01-01,,1048.9107579700267
2009-02-01,,1133.8224574802123
2009-03-01,1122.630552119873,1122.630552119873
2009-04-01,,2125.2333364493247
2009-05-01,,2745.001670254665
2009-06-01,2149.801560093887,2149.801560093887
2009-07-01,,1805.7972478424194
2009-08-01,,1355.80782202667
2009-09-01,1013.8954540443896,1013.8954540443896
2009-10-01,,1235.5168612451341
2009-11-01,,1288.9944736413386
2009-12-01,1264.6119372070941,1264.6119372070941
2010-01-01,,1330.9941149472766
2010-02-01,,789.4167474581145
2010-03-01,650.1241457693819,650.1241457693819
2010-04-01,,2310.252858838365
2010-05-01,,2311.591815661939
2010-06-01,1790.852153225079,1790.852153225079
2010-07-01,,1184.7663589665117
2010-08-01,,1175.0300578884041
2010-09-01,999.4097074025691,999.4097074025691
2010-10-01,,1027.574407083441
2010-11-01,,755.3780895182302
2010-12-01,674.1208764624038,674.1208764624038
2011-01-01,,703.0705972321506
2011-02-01,,718.0186214326562
2011-03-01,410.39412944260283,410.39412944260283
2011-04-01,,1412.1619746567383
2011-05-01,,1559.9487735980467
2011-06-01,1372.5789753478796,1372.5789753478796
2011-07-01,,605.6666226907214
2011-08-01,,625.2332146510313
2011-09-01,642.3209540494488,642.3209540494488
2011-10-01,,1037.3341827676568
2011-11-01,,497.75018029263185
2011-12-01,640.853624397913,640.853624397913
2012-01-01,,215.69136344487777
2012-02-01,,960.2517645232836
2012-03-01,608.0044953013081,608.0044953013081
2012-04-01,,1598.1143214098738
2012-05-01,,1238.1186661834238
2012-06-01,1190.8258900965932,1190.8258900965932
