fecha,y_obs,y_pred
2006-01-01,,3.466666666666667
2006-02-01,,3.466666666666667
2006-03-01,3.466666666666667,3.466666666666667
2006-04-01,,41.463576871778514
2006-05-01,,27.77296669406745
2006-06-01,13.299999999999999,13.299999999999999
2006-07-01,,28.642625526926732
2006-08-01,,43.156213882479065
2006-09-01,15.143470700747693,15.143470700747693
2006-10-01,,-66.65686428127478
2006-11-01,,-104.73426724714594
2006-12-01,0.6313052341859097,0.6313052341859097
2007-01-01,,264.7265519304424
2007-02-01,,30.29925354012006
2007-03-01,3.8333333333333344,3.8333333333333344
2007-04-01,,8.45717233096649
2007-05-01,,2.961694043106448
2007-06-01,2.2277321484673043,2.2277321484673043
2007-07-01,,27.01552128942197
2007-08-01,,50.70618954024981
2007-09-01,34.07023850759033,34.07023850759033
2007-10-01,,-43.32031433835321
2007-11-01,,-86.08850444064934
2007-12-01,0.25065900000000024,0.25065900000000024
2008-01-01,,231.75321794058684
2008-02-01,,33.335324820352966
2008-03-01,14.543666666666667,14.543666666666667
2008-04-01,,15.77705136337221
2008-05-01,,7.736190111382985
2008-06-01,4.917048264000861,4.917048264000861
2008-07-01,,29.103725511519098
2008-08-01,,54.7394495119824
2008-09-01,41.26666666666668,41.26666666666668
2008-10-01,,-29.661080400927045
2008-11-01,,-70.21250390823892
2008-12-01,0.9592906449583843,0.9592906449583843
2009-01-01,,200.04953655642362
2009-02-01,,25.882186456064815
2009-03-01,7.356098924487074,7.356098924487074
2009-04-01,,10.750238960033144
2009-05-01,,4.491134018164519
2009-06-01,0.20000000000000004,0.20000000000000004
2009-07-01,,17.996030603741012
2009-08-01,,33.60176067428949
2009-09-01,18.238910630554972,18.238910630554972
2009-10-01,,-36.308848663668556
2009-11-01,,-64.43036128150459
2009-12-01,0.8663997732021659,0.8663997732021659
2010-01-01,,174.73580407984417
2010-02-01,,22.554144005168155
2010-03-01,5.758595829733008,5.758595829733008
2010-04-01,,10.528537352736256
2010-05-01,,4.737602866323515
2010-06-01,1.3,1.3
2010-07-01,,16.565333231856236
2010-08-01,,31.147647169678294
2010-09-01,18.245,18.245
2010-10-01,,-29.548369459313975
2010-11-01,,-55.103088675041334
2010-12-01,0.8556990825230125,0.8556990825230125
2011-01-01,,151.57791408028484
2011-02-01,,20.630219318148182
2011-03-01,5.483533333333334,5.483533333333334
2011-04-01,,8.848613667396616
2011-05-01,,3.619088455606297
2011-06-01,0.3833333333333333,0.3833333333333333
2011-07-01,,13.261431683552248
2011-08-01,,25.683743128048235
2011-09-01,14.874,14.874
2011-10-01,,-32.552334475233266
2011-11-01,,-51.33456441525628
2011-12-01,0.16708207452165155,0.16708207452165155
2012-01-01,,128.30364433287565
2012-02-01,,13.926349868644586
2012-03-01,0.2833333333333335,0.2833333333333335
2012-04-01,,5.9649050578046605
2012-05-01,,5.740826922484054
2012-06-01,7.396766522939854,7.396766522939854
2012-07-01,,16.791277569140895
2012-08-01,,22.373447837250698
2012-09-01,9.498333333333333,9.498333333333333
2012-10-01,,-27.06204709169618
2012-11-01,,-44.32174606542643
2012-12-01,-1.2170850000000002,-1.2170850000000002
2013-01-01,,110.0571119504452
2013-02-01,,10.366570866527281
2013-03-01,0.33858540614595256,0.33858540614595256
2013-04-01,,2.6776378535466048
2013-05-01,,1.3919451656982034
2013-06-01,0.08927916666666667,0.08927916666666667
2013-07-01,,9.126374468167654
2013-08-01,,18.484312045486
2013-09-01,10.881755833333335,10.881755833333335
2013-10-01,,-22.06905641895888
2013-11-01,,-38.003535016786714
2013-12-01,-0.17199583333333326,-0.17199583333333326
2014-01-01,,95.43591585005048
2014-02-01,,9.75322629065807
2014-03-01,0.5760043333333335,0.5760043333333335
2014-04-01,,4.899792453041039
2014-05-01,,4.835296714794726
2014-06-01,5.339002197437746,5.339002197437746
2014-07-01,,12.713795470197857
2014-08-01,,21.45767769440949
2014-09-01,13.232602776575183,13.232602776575183
2014-10-01,,-14.950486182649726
2014-11-01,,-30.866409014258217
2014-12-01,-0.21524092943457376,-0.21524092943457376
2015-01-01,,83.88128063279123
2015-02-01,,11.435764645038692
2015-03-01,3.1842566666666667,3.1842566666666667
