fecha,y_obs,y_pred
2006-01-01,,-458.5840719377998
2006-02-01,,-458.5840719377998
2006-03-01,-458.5840719377998,-458.5840719377998
2006-04-01,,-315.5016088941935
2006-05-01,,-199.75401893266354
2006-06-01,-224.13037149919046,-224.13037149919046
2006-07-01,,-248.2178952278145
2006-08-01,,-316.31317772031326
2006-09-01,-372.2889403875227,-372.2889403875227
2006-10-01,,-297.49145515899323
2006-11-01,,-224.30579438705922
2006-12-01,22.12769528040178,22.12769528040178
2007-01-01,,-263.4383466678523
2007-02-01,,-154.94142683446003
2007-03-01,-239.14293088036243,-239.14293088036243
2007-04-01,,-150.48733941942157
2007-05-01,,-129.89232326812203
2007-06-01,-234.11802473188868,-234.11802473188868
2007-07-01,,-417.25764201211695
2007-08-01,,-555.5978576766547
2007-09-01,-510.0106806437505,-510.0106806437505
2007-10-01,,-577.8118691561157
2007-11-01,,-794.9670176592138
2007-12-01,-673.0366306721896,-673.0366306721896
2008-01-01,,-892.4307566628811
2008-02-01,,-1020.1986818634441
2008-03-01,-1045.6671222437242,-1045.6671222437242
2008-04-01,,-841.1802937626362
2008-05-01,,-552.1715112055406
2008-06-01,-648.7306312853941,-648.7306312853941
2008-07-01,,-514.242453123954
2008-08-01,,-343.0853807360787
2008-09-01,-618.0250499448009,-618.0250499448009
2008-10-01,,-718.4957093986777
2008-11-01,,-595.2418411198996
2008-12-01,-465.78337674178937,-465.78337674178937
2009-01-01,,-439.0979599130329
2009-02-01,,-429.0207992583178
2009-03-01,-443.12525817010356,-443.12525817010356
2009-04-01,,-138.69649035217913
2009-05-01,,9.912405026952229
2009-06-01,-193.66690362663357,-193.66690362663357
2009-07-01,,-163.4264758913318
2009-08-01,,-107.23087320976242
2009-09-01,-110.2205340733138,-110.2205340733138
2009-10-01,,-101.83213564753407
2009-11-01,,-214.73398350353375
2009-12-01,-354.85814450941916,-354.85814450941916
2010-01-01,,-503.2442572505637
2010-02-01,,-875.5052970679646
2010-03-01,-1053.123430299239,-1053.123430299239
2010-04-01,,-495.8568389974715
2010-05-01,,-460.2484901699902
2010-06-01,-632.9124661057368,-632.9124661057368
2010-07-01,,-868.1627878172151
2010-08-01,,-911.1647097049681
2010-09-01,-968.7224813079266,-968.7224813079266
2010-10-01,,-874.0092198272512
2010-11-01,,-842.6019975206748
