fecha,y_obs,y_pred
2006-01-01,,-725.9162864667657
2006-02-01,,-725.9162864667657
2006-03-01,-725.9162864667657,-725.9162864667657
2006-04-01,,-807.9872917900351
2006-05-01,,-791.499226725837
2006-06-01,-719.6800223911165,-719.6800223911165
2006-07-01,,-601.9061035330607
2006-08-01,,-524.2158578940243
2006-09-01,-563.5811840902958,-563.5811840902958
2006-10-01,,-689.4033147059436
2006-11-01,,-735.415863404566
2006-12-01,-565.0258346856607,-565.0258346856607
2007-01-01,,-382.72395900658637
2007-02-01,,-481.7972211894935
2007-03-01,-652.5539632840686,-652.5539632840686
2007-04-01,,-716.6711217056269
2007-05-01,,-687.1456813978136
2007-06-01,-627.1096494153154,-627.1096494153154
2007-07-01,,-578.3480453953044
2007-08-01,,-554.1092852934222
2007-09-01,-555.2066438340775,-555.2066438340775
2007-10-01,,-607.3468074476756
2007-11-01,,-678.1957446057694
2007-12-01,-696.6816646158323,-696.6816646158323
2008-01-01,,-718.9611593406706
2008-02-01,,-737.5854576096812
2008-03-01,-751.5128246424242,-751.5128246424242
2008-04-01,,-745.806163655546
2008-05-01,,-730.6706429986389
2008-06-01,-743.2764747664506,-743.2764747664506
2008-07-01,,-731.1173140418385
2008-08-01,,-714.9878893545488
2008-09-01,-742.1635511939567,-742.1635511939567
2008-10-01,,-764.9292247364486
2008-11-01,,-772.3583587655187
2008-12-01,-774.4440494099681,-774.4440494099681
2009-01-01,,-778.0959786903456
2009-02-01,,-781.8074727760735
2009-03-01,-790.8942146776517,-790.8942146776517
2009-04-01,,-777.9077348414759
2009-05-01,,-778.3720199661669
2009-06-01,-806.5185243311295,-806.5185243311295
2009-07-01,,-815.1726823759162
2009-08-01,,-822.793618820145
2009-09-01,-842.9374072672848,-842.9374072672848
2009-10-01,,-877.2508784109177
2009-11-01,,-932.1240402786347
2009-12-01,-999.2748542482573,-999.2748542482573
2010-01-01,,-1079.8331792046736
2010-02-01,,-1181.136315740419
2010-03-01,-1240.95849994089,-1240.95849994089
2010-04-01,,-1192.9041855745131
2010-05-01,,-1165.2663992776675
2010-06-01,-1162.131589033952,-1162.131589033952
2010-07-01,,-1182.5034029916753
2010-08-01,,-1197.4901136089666
2010-09-01,-1216.5489509248853,-1216.5489509248853
2010-10-01,,-1224.6243039148685
2010-11-01,,-1235.8133673343812
2010-12-01,-1229.5386947459242,-1229.5386947459242
2011-01-01,,-1201.0564894833003
2011-02-01,,-1167.0161962720927
2011-03-01,-1165.997094304969,-1165.997094304969
2011-04-01,,-1172.1056287700083
2011-05-01,,-1221.0144568704648
2011-06-01,-1255.4230394018616,-1255.4230394018616
2011-07-01,,-1259.5394382967015
2011-08-01,,-1221.1080677083185
2011-09-01,-1218.1795269193813,-1218.1795269193813
2011-10-01,,-1199.953441093382
2011-11-01,,-1320.3008619349455
2011-12-01,-1384.7560393241645,-1384.7560393241645
2012-01-01,,-1383.2043807798623
2012-02-01,,-1304.060214485254
2012-03-01,-1252.166114643095,-1252.166114643095
2012-04-01,,-1166.962515172857
2012-05-01,,-1125.121751700429
2012-06-01,-1090.4876193416299,-1090.4876193416299
2012-07-01,,-1073.3680523771554
2012-08-01,,-1090.6063301914655
2012-09-01,-1109.7814711554965,-1109.7814711554965
2012-10-01,,-1127.9463561355599
2012-11-01,,-1129.9181607235164
2012-12-01,-1132.178337210779,-1132.178337210779
