fecha,y_obs,y_pred
2006-01-01,,-71.74135257589374
2006-02-01,,-71.74135257589374
2006-03-01,-71.74135257589374,-71.74135257589374
2006-04-01,,-58.90829132126392
2006-05-01,,-75.18552118077575
2006-06-01,-106.76398914661968,-106.76398914661968
2006-07-01,,-99.90145227649262
2006-08-01,,-88.37760495761383
2006-09-01,-89.54133671199422,-89.54133671199422
2006-10-01,,-81.65974147206363
2006-11-01,,-69.28169303146721
2006-12-01,13.727536154270487,13.727536154270487
2007-01-01,,-31.432119099718513
2007-02-01,,-54.07229111545412
2007-03-01,-32.243592276033574,-32.243592276033574
2007-04-01,,-2.425253557601451
2007-05-01,,-43.99914427196106
2007-06-01,-120.64989138300733,-120.64989138300733
2007-07-01,,-173.74464517772452
2007-08-01,,-192.86068658957862
2007-09-01,-160.8240859831382,-160.8240859831382
2007-10-01,,-131.845688146741
2007-11-01,,-112.84902921653382
2007-12-01,-13.443104928246461,-13.443104928246461
2008-01-01,,-56.976370762812664
2008-02-01,,-173.84250289039295
2008-03-01,-185.59075340696668,-185.59075340696668
2008-04-01,,-158.66346848920878
2008-05-01,,-153.2914228155327
2008-06-01,-235.6124803924137,-235.6124803924137
2008-07-01,,-221.1821139550396
2008-08-01,,-175.98386691025445
2008-09-01,-233.1858108863233,-233.1858108863233
2008-10-01,,-236.49828401978084
2008-11-01,,-166.45174857561034
2008-12-01,-86.38929754871197,-86.38929754871197
2009-01-01,,-92.58354157255167
2009-02-01,,-202.47449618018163
2009-03-01,-210.26944788012665,-210.26944788012665
2009-04-01,,-105.18229914800835
2009-05-01,,-53.10743042556288
2009-06-01,-116.67810657277975,-116.67810657277975
2009-07-01,,-159.48692363614427
2009-08-01,,-207.56178875771147
2009-09-01,-240.9338792889436,-240.9338792889436
2009-10-01,,-205.19976949186594
2009-11-01,,-154.955603006018
2009-12-01,-96.12906279290594,-96.12906279290594
2010-01-01,,-76.06663955345626
2010-02-01,,-195.35749929076948
2010-03-01,-190.20264011395253,-190.20264011395253
2010-04-01,,-57.44945999917701
2010-05-01,,-101.49449297390439
2010-06-01,-188.0608786249195,-188.0608786249195
2010-07-01,,-229.5501063981572
2010-08-01,,-196.81666669283044
2010-09-01,-177.97044613076454,-177.97044613076454
2010-10-01,,-136.62653421284097
2010-11-01,,-97.63190269803081
2010-12-01,-44.96225176759466,-44.96225176759466
2011-01-01,,-75.91972493649645
2011-02-01,,-225.66417172734828
2011-03-01,-283.9066316173985,-283.9066316173985
2011-04-01,,-202.530629240647
2011-05-01,,-212.81452456967622
2011-06-01,-260.60513319878584,-260.60513319878584
2011-07-01,,-324.9806169511535
2011-08-01,,-310.5287795281137
2011-09-01,-294.2600493972159,-294.2600493972159
2011-10-01,,-286.33556662466185
2011-11-01,,-277.7396509244816
2011-12-01,-212.05753147875444,-212.05753147875444
2012-01-01,,-273.29799890891127
2012-02-01,,-359.8688057314686
2012-03-01,-407.7528398686904,-407.7528398686904
2012-04-01,,-304.0034445011634
2012-05-01,,-326.9671593834779
2012-06-01,-342.9244732400759,-342.9244732400759
2012-07-01,,-311.8123727508898
2012-08-01,,-322.9569236046476
2012-09-01,-338.767435827738,-338.767435827738
2012-10-01,,-354.275060788615
2012-11-01,,-309.0884881528769
2012-12-01,-276.2968257207788,-276.2968257207788
2013-01-01,,-390.93739493982594
2013-02-01,,-595.5537481373289
2013-03-01,-576.758782551954,-576.758782551954
2013-04-01,,-508.3731315763753
2013-05-01,,-408.5803504372544
2013-06-01,-425.6484429759548,-425.6484429759548
2013-07-01,,-489.65571312033774
2013-08-01,,-484.3375026423725
2013-09-01,-451.3051717906196,-451.3051717906196
2013-10-01,,-498.95631758207094
2013-11-01,,-435.50514956146014
2013-12-01,-322.5929744610606,-322.5929744610606
2014-01-01,,-405.61799386174164
2014-02-01,,-525.6417322632984
2014-03-01,-516.9300259924626,-516.9300259924626
2014-04-01,,-407.9926964444507
2014-05-01,,-377.2038759207908
2014-06-01,-398.43059169576645,-398.43059169576645
2014-07-01,,-446.56231749517764
2014-08-01,,-362.67349872565507
2014-09-01,-373.51645345311016,-373.51645345311016
2014-10-01,,-335.43520951638266
2014-11-01,,-304.5521247087707
2014-12-01,-258.22031332574124,-258.22031332574124
2015-01-01,,-336.27491545356224
2015-02-01,,-466.5070422790885
2015-03-01,-511.9302211619093,-511.9302211619093
2015-04-01,,-415.7063013734602
2015-05-01,,-406.2826274304467
2015-06-01,-415.5816714388132,-415.5816714388132
2015-07-01,,-476.19693083597076
2015-08-01,,-510.27522554127734
2015-09-01,-514.5216156698962,-514.5216156698962
2015-10-01,,-492.3320410196408
2015-11-01,,-504.3850460202816
2015-12-01,-496.31472281080687,-496.31472281080687
2016-01-01,,-502.89501150922416
2016-02-01,,-744.2719720928891
2016-03-01,-832.8216399657457,-832.8216399657457
2016-04-01,,-737.6663604418502
2016-05-01,,-648.4617174188975
2016-06-01,-642.2277789711076,-642.2277789711076
2016-07-01,,-670.0115701651397
2016-08-01,,-693.2435340520784
2016-09-01,-741.6878081597015,-741.6878081597015
2016-10-01,,-737.3170334012802
2016-11-01,,-655.2461283008957
2016-12-01,-600.4811680820477,-600.4811680820477
2017-01-01,,-680.2520370236646
2017-02-01,,-931.356155284148
2017-03-01,-1020.2805009181262,-1020.2805009181262
2017-04-01,,-847.2545338897208
2017-05-01,,-739.975004709045
2017-06-01,-689.5616195445441,-689.5616195445441
2017-07-01,,-730.2119114348528
2017-08-01,,-828.7282791950422
2017-09-01,-849.7456429945097,-849.7456429945097
2017-10-01,,-834.9744073153321
2017-11-01,,-785.1285563268611
2017-12-01,-672.225100617606,-672.225100617606
2018-01-01,,-788.0003779635914
2018-02-01,,-1075.6790515092437
2018-03-01,-1132.234151074872,-1132.234151074872
2018-04-01,,-1060.8284074834066
2018-05-01,,-976.28034463814
2018-06-01,-845.6009273296876,-845.6009273296876
2018-07-01,,-826.9766453345941
2018-08-01,,-800.3031649163134
2018-09-01,-650.9952133889408,-650.9952133889408
2018-10-01,,-596.4284899508933
2018-11-01,,-468.570610918914
2018-12-01,-349.5923035547009,-349.5923035547009
2019-01-01,,-439.83533531808075
2019-02-01,,-615.5628704093992
2019-03-01,-570.0046274354414,-570.0046274354414
2019-04-01,,-494.62215939928285
2019-05-01,,-422.7796891515213
2019-06-01,-430.38770514661,-430.38770514661
2019-07-01,,-440.7028979327514
2019-08-01,,-429.0544023546552
2019-09-01,-428.41213072580166,-428.41213072580166
2019-10-01,,-384.6802276060916
2019-11-01,,-252.04785635387222
2019-12-01,-185.58667583145643,-185.58667583145643
2020-01-01,,-316.6643197363783
2020-02-01,,-534.9168981808168
2020-03-01,-328.6125191692304,-328.6125191692304
2020-04-01,,-219.8634651588223
2020-05-01,,-101.70712797027272
2020-06-01,-98.39763512023228,-98.39763512023228
2020-07-01,,-108.49673509047102
2020-08-01,,-127.69572756904614
2020-09-01,-200.57267070409384,-200.57267070409384
2020-10-01,,-210.04605792840297
2020-11-01,,-218.93103828391102
2020-12-01,-217.84476382790066,-217.84476382790066
2021-01-01,,-103.33868956342522
2021-02-01,,-226.86479989728824
2021-03-01,-219.50876770355808,-219.50876770355808
2021-04-01,,-272.3323793342913
2021-05-01,,-186.84505573937219
2021-06-01,-213.55435469583017,-213.55435469583017
2021-07-01,,-231.92853244074072
2021-08-01,,-241.0769854788686
2021-09-01,-342.73538254559503,-342.73538254559503
2021-10-01,,-390.03716322993847
2021-11-01,,-481.84183163971943
2021-12-01,-457.56532777438315,-457.56532777438315
2022-01-01,,-479.14466779459553
2022-02-01,,-610.5811656758148
2022-03-01,-632.5379225126907,-632.5379225126907
2022-04-01,,-487.10832998604565
2022-05-01,,-533.9929406267092
2022-06-01,-593.6943666652254,-593.6943666652254
2022-07-01,,-652.9632470795352
2022-08-01,,-686.1213434846816
2022-09-01,-662.5889269771006,-662.5889269771006
2022-10-01,,-520.1026174465268
2022-11-01,,-457.5627016844469
2022-12-01,-369.4648153044797,-369.4648153044797
2023-01-01,,-494.73428523248595
2023-02-01,,-663.4525275491953
2023-03-01,-743.7024468856247,-743.7024468856247
2023-04-01,,-548.5196576092908
2023-05-01,,-489.22564744962085
2023-06-01,-487.57075115960635,-487.57075115960635
2023-07-01,,-436.4913201290277
2023-08-01,,-502.3937625991375
2023-09-01,-519.1679172671619,-519.1679172671619
2023-10-01,,-488.5639708965655
2023-11-01,,-442.19273773461754
2023-12-01,-262.8614385343141,-262.8614385343141
2024-01-01,,-310.53331997704
2024-02-01,,-489.5972756613192
