fecha,mep,bcra_a3500,brecha_cambiaria
2003-01-02,,3.3625,
2003-01-03,,3.3328,
2003-01-06,,3.329,
2003-01-07,,3.2888,
2003-01-08,,3.2935,
2003-01-09,,3.3143,
2003-01-10,,3.3533,
2003-01-13,,3.345,
2003-01-14,,3.3037,
2003-01-15,,3.2275,
2003-01-16,,3.2438,
2003-01-17,,3.244,
2003-01-20,,3.1933,
2003-01-21,,3.1328,
2003-01-22,,3.0633,
2003-01-23,,3.12,
2003-01-24,,3.1733,
2003-01-27,,3.2592,
2003-01-28,,3.3433,
2003-01-29,,3.335,
2003-01-30,,3.24,
2003-01-31,,3.1817,
2003-02-03,,3.1983,
2003-02-04,,3.1567,
2003-02-05,,3.1533,
2003-02-06,,3.1458,
2003-02-07,,3.1517,
2003-02-10,,3.1458,
2003-02-11,,3.1017,
2003-02-12,,3.0848,
2003-02-13,,3.1167,
2003-02-14,,3.1908,
2003-02-17,,3.1617,
2003-02-18,,3.1585,
2003-02-19,,3.1843,
2003-02-20,,3.2317,
2003-02-21,,3.2025,
2003-02-24,,3.1838,
2003-02-25,,3.15,
2003-02-26,,3.1622,
2003-02-27,,3.1817,
2003-02-28,,3.2013,
2003-03-03,,3.2187,
2003-03-04,,3.1962,
2003-03-05,,3.174,
2003-03-06,,3.1808,
2003-03-07,,3.1715,
2003-03-10,,3.1493,
2003-03-11,,3.137,
2003-03-12,,3.1133,
2003-03-13,,3.1078,
2003-03-14,,3.1208,
2003-03-17,,3.1,
2003-03-18,,3.0655,
2003-03-19,,3.0192,
2003-03-20,,3.0195,
2003-03-21,,3.0357,
2003-03-24,,3.0088,
2003-03-25,,2.9417,
2003-03-26,,2.9012,
2003-03-27,,2.871,
2003-03-28,,2.9625,
2003-04-01,,2.9792,
2003-04-02,,2.9243,
2003-04-03,,2.9,
2003-04-04,,2.9022,
2003-04-07,,2.8932,
2003-04-08,,2.9092,
2003-04-09,,2.9187,
2003-04-10,,2.895,
2003-04-11,,2.8897,
2003-04-14,,2.924,
2003-04-15,,2.959,
2003-04-16,,2.9377,
2003-04-21,,2.8953,
2003-04-22,,2.8552,
2003-04-23,,2.8378,
2003-04-24,,2.852,
2003-04-25,,2.8752,
2003-04-28,,2.8602,
2003-04-29,,2.8547,
2003-04-30,,2.8295,
2003-05-02,,2.7947,
2003-05-05,,2.7975,
2003-05-06,,2.7965,
2003-05-07,,2.8055,
2003-05-08,,2.7683,
2003-05-09,,2.7602,
2003-05-12,,2.774,
2003-05-13,,2.7485,
2003-05-14,,2.7678,
2003-05-15,,2.8395,
2003-05-16,,2.9083,
2003-05-19,,2.95,
2003-05-20,,2.8832,
2003-05-21,,2.853,
2003-05-22,,2.839,
2003-05-23,,2.8913,
2003-05-26,,2.8825,
2003-05-27,,2.8683,
2003-05-28,,2.8753,
2003-05-29,,2.8825,
2003-05-30,,2.8632,
2003-06-02,,2.8468,
2003-06-03,,2.838,
2003-06-04,,2.8255,
2003-06-05,,2.8225,
2003-06-06,,2.8243,
2003-06-09,,2.815,
2003-06-10,,2.811,
2003-06-11,,2.8112,
2003-06-12,,2.8383,
2003-06-13,,2.8265,
2003-06-17,,2.8043,
2003-06-18,,2.795,
2003-06-19,,2.7987,
2003-06-20,,2.8027,
2003-06-23,,2.7957,
2003-06-24,,2.7728,
2003-06-25,,2.7615,
2003-06-26,,2.7857,
2003-06-27,,2.794,
2003-06-30,,2.8075,
2003-07-01,,2.8003,
2003-07-02,,2.8012,
2003-07-03,,2.7967,
2003-07-04,,2.7953,
2003-07-07,,2.7902,
2003-07-08,,2.776,
2003-07-10,,2.7673,
2003-07-11,,2.7582,
2003-07-14,,2.7647,
2003-07-15,,2.7815,
2003-07-16,,2.7715,
2003-07-17,,2.7873,
2003-07-18,,2.799,
2003-07-21,,2.7973,
2003-07-22,,2.7863,
2003-07-23,,2.7757,
2003-07-24,,2.79,
2003-07-25,,2.8183,
2003-07-28,,2.8182,
2003-07-29,,2.8423,
2003-07-30,,2.8797,
2003-07-31,,2.9313,
2003-08-01,,2.93,
2003-08-04,,2.9618,
2003-08-05,,2.9385,
2003-08-06,,2.931,
2003-08-07,,2.9288,
2003-08-08,,2.9248,
2003-08-11,,2.9207,
2003-08-12,,2.9073,
2003-08-13,,2.8842,
2003-08-14,,2.896,
2003-08-15,,2.9,
2003-08-19,,2.902,
2003-08-20,,2.906,
2003-08-21,,2.9352,
2003-08-22,,2.97,
2003-08-25,,2.9298,
2003-08-26,,2.9217,
2003-08-27,,2.9572,
2003-08-28,,2.972,
2003-08-29,,2.9528,
2003-09-01,,2.963,
2003-09-02,,2.9658,
2003-09-03,,2.9773,
2003-09-04,,2.9607,
2003-09-05,,2.937,
2003-09-08,,2.9428,
2003-09-09,,2.9567,
2003-09-10,,2.9353,
