fecha,y_obs,y_pred
2007-06-01,169110.1,169110.1
2007-07-01,,174591.1616301225
2007-08-01,,175581.6277766187
2007-09-01,168428.7,168428.7
2007-10-01,,171725.26696628073
2007-11-01,,176957.43743727647
2007-12-01,176414.8,176414.8
2008-01-01,,178227.5536793194
2008-02-01,,180581.91508061945
2008-03-01,176519.4,176519.4
2008-04-01,,188278.66419645387
2008-05-01,,195096.78048084135
2008-06-01,181356.1,181356.1
2008-07-01,,174926.38861648503
2008-08-01,,173799.43978513824
2008-09-01,174811.3,174811.3
2008-10-01,,175481.43755982287
2008-11-01,,170355.6957188169
2008-12-01,174634.0,174634.0
2009-01-01,,176219.74426779224
2009-02-01,,178616.54514494928
2009-03-01,,185709.33187981608
2009-04-01,,183432.22073956887
2009-05-01,,183089.76269919347
2009-06-01,168791.2,168791.2
2009-07-01,,170557.11119959498
2009-08-01,,169484.53627927275
2009-09-01,170520.6,170520.6
2009-10-01,,173739.26025606942
2009-11-01,,178450.3340548357
2009-12-01,175444.9,175444.9
2010-01-01,,179630.3445155166
2010-02-01,,181817.3519450238
2010-03-01,179062.3,179062.3
2010-04-01,,179588.96627699584
2010-05-01,,182490.37748760215
2010-06-01,170324.0,170324.0
2010-07-01,,169915.73735018552
2010-08-01,,172181.04192228732
2010-09-01,168355.0,168355.0
2010-10-01,,172306.26951456707
2010-11-01,,175864.9812018762
2010-12-01,171795.3,171795.3
2011-01-01,,172732.1202884444
2011-02-01,,173505.86277306103
2011-03-01,169245.8,169245.8
2011-04-01,,173530.99384887674
2011-05-01,,179746.0477461093
2011-06-01,172437.2,172437.2
2011-07-01,,172056.08360619968
2011-08-01,,173034.39170044957
2011-09-01,171311.8,171311.8
2011-10-01,,176651.0581265502
2011-11-01,,177279.51311733056
2011-12-01,175184.7,175184.7
2012-01-01,,175962.78015375347
2012-02-01,,177182.58853456413
2012-03-01,177304.9,177304.9
2012-04-01,,181170.39027126547
2012-05-01,,184216.48840781994
2012-06-01,178962.4,178962.4
2012-07-01,,180773.92517972854
2012-08-01,,183953.5617302602
2012-09-01,183271.1,183271.1
2012-10-01,,187274.7110323077
2012-11-01,,191574.20251805082
2012-12-01,193706.8,193706.8
2013-01-01,,192085.2891236786
2013-02-01,,192530.40535121577
2013-03-01,191752.3,191752.3
2013-04-01,,194114.93408655722
2013-05-01,,196444.59485240758
2013-06-01,192641.6,192641.6
2013-07-01,,193565.1937245647
2013-08-01,,195801.48208661785
2013-09-01,197377.7,197377.7
2013-10-01,,198594.1398311103
2013-11-01,,200108.380696436
2013-12-01,199051.5,199051.5
2014-01-01,,200658.6735352941
2014-02-01,,200444.9820475059
2014-03-01,,201352.43032073783
2014-04-01,,201980.03568147632
2014-05-01,,204045.2057172592
2014-06-01,201166.8,201166.8
2014-07-01,,205808.74583318923
2014-08-01,,208928.95607658135
2014-09-01,,211685.4758753869
2014-10-01,,214999.74161114678
2014-11-01,,219307.28710627736
2014-12-01,224038.9,224038.9
2015-01-01,,223956.34600121828
2015-02-01,,223402.8416959622
2015-03-01,222281.9,222281.9
2015-04-01,,225930.35383183186
2015-05-01,,229933.92084670346
2015-06-01,228531.8,228531.8
2015-07-01,,232710.93315595368
2015-08-01,,237103.7074839227
2015-09-01,242163.0,242163.0
2015-10-01,,237708.4659588465
2015-11-01,,232700.66491115646
2015-12-01,229100.2,229100.2
2016-01-01,,224939.71772412522
2016-02-01,,227108.52565783335
2016-03-01,223798.5,223798.5
2016-04-01,,230374.40084122343
2016-05-01,,237475.13064204645
2016-06-01,238453.8,238453.8
2016-07-01,,240877.81442998038
2016-08-01,,243970.71958694226
2016-09-01,244754.0,244754.0
2016-10-01,,252856.42809121447
2016-11-01,,261631.86247083684
2016-12-01,268024.4,268024.4
2017-01-01,,271434.72990079573
2017-02-01,,277467.0642090997
2017-03-01,282310.6,282310.6
2017-04-01,,286841.9064175953
2017-05-01,,290125.6209479642
2017-06-01,291373.3,291373.3
2017-07-01,,295647.4049037565
2017-08-01,,299739.5996880934
2017-09-01,303260.0,303260.0
2017-10-01,,308510.9608991173
2017-11-01,,313645.5975058974
2017-12-01,318475.3,318475.3
2018-01-01,,321182.27740776323
2018-02-01,,326559.0400046082
2018-03-01,331481.2,331481.2
2018-04-01,,328970.8868150093
2018-05-01,,328777.1235335848
2018-06-01,327166.7,327166.7
2018-07-01,,322531.65990249335
2018-08-01,,318823.6857841516
2018-09-01,307656.5,307656.5
2018-10-01,,317352.99056302034
2018-11-01,,326478.2619147735
2018-12-01,332191.8,332191.8
2019-01-01,335661.3,335661.3
2019-02-01,334477.0,334477.0
2019-03-01,324898.3,324898.3
2019-04-01,334322.9,334322.9
2019-05-01,329930.6,329930.6
2019-06-01,337267.1,337267.1
2019-07-01,341957.5,341957.5
2019-08-01,310102.3,310102.3
2019-09-01,311251.2,311251.2
2019-10-01,312471.0,312471.0
2019-11-01,313299.1,313299.1
2019-12-01,323064.6,323064.6
2020-01-01,324440.6,324440.6
2020-02-01,324369.9,324369.9
2020-03-01,323381.2,323381.2
2020-04-01,323254.8,323254.8
2020-05-01,324808.3,324808.3
2020-06-01,324552.4,324552.4
2020-07-01,328087.9,328087.9
2020-08-01,329479.5,329479.5
2020-09-01,332247.5,332247.5
2020-10-01,333194.7,333194.7
2020-11-01,333253.8,333253.8
2020-12-01,335582.2,335582.2
2021-01-01,334929.2,334929.2
2021-02-01,334883.8,334883.8
2021-03-01,335556.1,335556.1
2021-04-01,338332.1,338332.1
2021-05-01,341091.8,341091.8
2021-06-01,343523.9,343523.9
2021-07-01,345140.3,345140.3
2021-08-01,345870.4,345870.4
2021-09-01,342620.1,342620.1
2021-10-01,349229.1,349229.1
2021-11-01,354422.3,354422.3
2021-12-01,363232.6,363232.6
2022-01-01,365747.6,365747.6
2022-02-01,366626.3,366626.3
2022-03-01,376300.4,376300.4
2022-04-01,374198.9,374198.9
2022-05-01,374577.8,374577.8
2022-06-01,378505.6,378505.6
2022-07-01,380772.7,380772.7
2022-08-01,381121.0,381121.0
2022-09-01,382281.2,382281.2
2022-10-01,386272.4,386272.4
2022-11-01,386659.5,386659.5
2022-12-01,396555.2,396555.2
2023-01-01,395856.3,395856.3
2023-02-01,394199.2,394199.2
2023-03-01,398245.7,398245.7
2023-04-01,396272.2,396272.2
2023-05-01,398833.2,398833.2
2023-06-01,403835.8,403835.8
2023-07-01,406133.9,406133.9
2023-08-01,395758.3,395758.3
2023-09-01,406948.1,406948.1
2023-10-01,418019.1,418019.1
2023-11-01,425555.9,425555.9
2023-12-01,370673.4,370673.4
2024-01-01,381272.8,381272.8
2024-02-01,386539.8,386539.8
2024-03-01,403052.4,403052.4
2024-04-01,414035.6,414035.6
2024-05-01,435697.7,435697.7
2024-06-01,442514.9,442514.9
2024-07-01,452070.5,452070.5
2024-08-01,458408.7,458408.7
2024-09-01,460068.8,460068.8
2024-10-01,463241.8,463241.8
2024-11-01,464935.7,464935.7
2024-12-01,466921.2,466921.2
2025-01-01,467794.6,467794.6
2025-02-01,471163.7,471163.7
2025-03-01,473560.8,473560.8
2025-04-01,472918.0,472918.0
2025-05-01,461017.2,461017.2
2025-06-01,465353.1,465353.1
2025-07-01,447177.1,447177.1
2025-08-01,454263.4,454263.4
2025-09-01,454037.0,454037.0
