fecha,y_obs,y_pred
2006-01-01,,130145.321
2006-02-01,,130145.321
2006-03-01,130145.321,130145.321
2006-04-01,,144291.66075471
2006-05-01,,133404.16309020182
2006-06-01,133565.591,133565.591
2006-07-01,,144097.2275060727
2006-08-01,,145371.12488032656
2006-09-01,133936.592,133936.592
2006-10-01,,127217.71238202316
2006-11-01,,130612.72522533398
2006-12-01,137089.894,137089.894
2007-01-01,,137409.69170622822
2007-02-01,,136945.90126702635
2007-03-01,139734.393,139734.393
2007-04-01,,144162.49113562916
2007-05-01,,146778.76185941434
2007-06-01,147362.026,147362.026
2007-07-01,,147156.13861643686
2007-08-01,,148068.46822008642
2007-09-01,149670.472,149670.472
2007-10-01,,151090.98984157146
2007-11-01,,152072.72519564407
2007-12-01,153400.455,153400.455
2008-01-01,,155701.56904893112
2008-02-01,,157459.0144604033
2008-03-01,158391.882,158391.882
2008-04-01,,159271.6977350241
2008-05-01,,160746.59223903398
2008-06-01,162093.251,162093.251
2008-07-01,,161490.22184708828
2008-08-01,,159909.86873144747
2008-09-01,158342.605,158342.605
2008-10-01,,157014.25548912204
2008-11-01,,155707.10360458578
2008-12-01,154090.862,154090.862
2009-01-01,,152271.82339107027
2009-02-01,,150727.51110835018
2009-03-01,150056.197,150056.197
2009-04-01,,150642.9010991776
2009-05-01,,151177.83643379348
2009-06-01,151290.377,151290.377
2009-07-01,,151486.43263127268
2009-08-01,,152564.90467222128
2009-09-01,153727.132,153727.132
2009-10-01,,153235.90619305873
2009-11-01,,151319.4785301033
2009-12-01,149359.189,149359.189
2010-01-01,,148675.59006917133
2010-02-01,,148885.02804506503
2010-03-01,148520.591,148520.591
2010-04-01,,146004.86228041173
2010-05-01,,142707.48425403092
2010-06-01,140919.256,140919.256
2010-07-01,,141583.40307336798
2010-08-01,,142909.35567042374
2010-09-01,143410.66,143410.66
2010-10-01,,142994.42916349915
2010-11-01,,143148.67172660632
2010-12-01,144653.295,144653.295
2011-01-01,,146744.72918806694
2011-02-01,,148186.71776004462
2011-03-01,148792.12,148792.12
2011-04-01,,149661.6833408685
2011-05-01,,151787.66510211214
2011-06-01,154528.662,154528.662
2011-07-01,,155553.18600472785
2011-08-01,,155191.86959234218
2011-09-01,155737.792,155737.792
2011-10-01,,148801.37236752536
2011-11-01,,153334.00346994697
2011-12-01,156299.88,156299.88
2012-01-01,,156884.9676287686
2012-02-01,,157345.35549808558
2012-03-01,158565.249,158565.249
2012-04-01,,159640.15641728166
2012-05-01,,159802.91920768245
2012-06-01,159405.28,159405.28
2012-07-01,,158759.44333684485
2012-08-01,,158150.14654652128
2012-09-01,157647.573,157647.573
2012-10-01,,157329.3139248764
2012-11-01,,157004.64923688307
2012-12-01,156478.164,156478.164
2013-01-01,,155768.68642254535
2013-02-01,,155298.88492074536
2013-03-01,155181.834,155181.834
2013-04-01,,154926.51768680685
2013-05-01,,154243.39471921106
2013-06-01,153754.172,153754.172
2013-07-01,,154160.7321746733
2013-08-01,,155048.04938856274
2013-09-01,155356.744,155356.744
2013-10-01,,154779.48190979773
2013-11-01,,154545.94956180177
2013-12-01,155488.923,155488.923
2014-01-01,,156630.3857134944
2014-02-01,,156659.54450960908
2014-03-01,156119.679,156119.679
2014-04-01,,157273.8861297748
2014-05-01,,159969.77522423028
2014-06-01,161891.128,161891.128
2014-07-01,,160556.10996365652
2014-08-01,,158014.7367132201
2014-09-01,156730.225,156730.225
2014-10-01,,157499.9292485554
2014-11-01,,158501.36724138184
2014-12-01,158742.249,158742.249
2015-01-01,,158569.1466248373
2015-02-01,,159004.45022733824
2015-03-01,160671.005,160671.005
2015-04-01,,163528.66206612065
2015-05-01,,166032.08499197304
2015-06-01,167581.443,167581.443
2015-07-01,,168702.87724225072
2015-08-01,,170343.08590826753
2015-09-01,171551.108,171551.108
2015-10-01,,170624.216650682
2015-11-01,,168708.32906431987
2015-12-01,167411.836,167411.836
2016-01-01,,177681.20208871338
2016-02-01,,177259.71016998836
2016-03-01,176643.531,176643.531
2016-04-01,,176604.85783117742
2016-05-01,,176997.04416145224
2016-06-01,176971.042,176971.042
2016-07-01,,176702.0214005315
2016-08-01,,177645.78904251545
2016-09-01,179954.611,179954.611
2016-10-01,,181322.65499932852
2016-11-01,,180956.04469292716
2016-12-01,181432.364,181432.364
2017-01-01,,186473.1526711027
2017-02-01,,193763.9036894204
2017-03-01,199161.103,199161.103
2017-04-01,,200545.51571433176
2017-05-01,,201680.52821168432
2017-06-01,204914.416,204914.416
2017-07-01,,209456.24380375416
2017-08-01,,213518.923498451
2017-09-01,217509.916,217509.916
2017-10-01,,222677.43151931377
2017-11-01,,228351.08675777883
2017-12-01,234548.946,234548.946
2018-01-01,,241952.03438619585
2018-02-01,,249039.8710854882
2018-03-01,253168.064,253168.064
2018-04-01,,254348.89515970758
2018-05-01,,257077.27007929035
2018-06-01,261678.652,261678.652
2018-07-01,,262392.7125966145
2018-08-01,,258156.64896242315
2018-09-01,255050.209,255050.209
2018-10-01,,261054.2756762651
2018-11-01,,271414.69883222587
2018-12-01,277827.009,277827.009
2019-01-01,,276283.4647029767
2019-02-01,,273927.770890556
2019-03-01,275662.069,275662.069
2019-04-01,,280292.33717529883
2019-05-01,,282983.8429730563
2019-06-01,283129.144,283129.144
2019-07-01,,283206.3283482348
2019-08-01,,284977.25468488614
2019-09-01,276814.528,276814.528
2019-10-01,,278224.0203329372
2019-11-01,,278528.57770868955
2019-12-01,278489.213,278489.213
2020-01-01,,278462.18952488835
2020-02-01,,278388.5442483931
2020-03-01,275165.384,275165.384
2020-04-01,,273160.1262359386
2020-05-01,,271065.8474113338
2020-06-01,269913.106,269913.106
2020-07-01,,269594.945689676
2020-08-01,,268722.4622253469
2020-09-01,267537.066,267537.066
2020-10-01,,267957.1340948048
2020-11-01,,269552.199832749
2020-12-01,270694.358,270694.358
2021-01-01,,269885.5415998073
2021-02-01,,268369.95107604034
2021-03-01,267693.501,267693.501
2021-04-01,,270278.80775605445
2021-05-01,,270105.0959307324
2021-06-01,268856.593,268856.593
2021-07-01,,267366.94597971946
2021-08-01,,266920.7323151687
2021-09-01,267444.942,267444.942
2021-10-01,,267581.51296092884
2021-11-01,,266750.5252910843
2021-12-01,266476.392,266476.392
2022-01-01,,268826.17898582725
2022-02-01,,271935.8967353918
2022-03-01,273273.774,273273.774
2022-04-01,,272542.8252309352
2022-05-01,,272457.0201537835
2022-06-01,273641.72,273641.72
2022-07-01,,274005.4538695342
2022-08-01,,272085.9832815805
2022-09-01,270401.044,270401.044
2022-10-01,,271634.94151979435
2022-11-01,,274228.4381393785
2022-12-01,275682.297,275682.297
2023-01-01,,275033.44023961655
2023-02-01,,274329.6219020458
2023-03-01,274577.658,274577.658
2023-04-01,,275137.21444971015
2023-05-01,,275326.0552870222
2023-06-01,275447.776,275447.776
2023-07-01,,275721.91502215527
2023-08-01,,276483.0861785841
2023-09-01,277464.07,277464.07
2023-10-01,,280087.31667176966
2023-11-01,,282484.6120060697
2023-12-01,283963.58,283963.58
2024-01-01,,284671.2456813003
2024-02-01,,284554.09108955995
2024-03-01,284808.767,284808.767
2024-04-01,,284418.29632251366
2024-05-01,,282879.03318555874
2024-06-01,281598.004,281598.004
2024-07-01,,281938.7602345711
2024-08-01,,282797.94731464307
2024-09-01,282208.965,282208.965
2024-10-01,,279307.0180937947
2024-11-01,,276993.2351301077
2024-12-01,277257.379,277257.379
2025-01-01,,279024.89850709535
2025-02-01,,279779.3543604346
2025-03-01,281259.177,281259.177
2025-04-01,,285836.97806945286
2025-05-01,,302190.9584423033
2025-06-01,307237.632,307237.632
2025-07-01,,310598.32017980015
2025-08-01,,314244.87327845366
2025-09-01,318596.182,318596.182
2025-10-01,,320671.5221704921
2025-11-01,,320314.6686992776
2025-12-01,320304.787,320304.787
