fecha,sector,tramo,valor
2017-09-01,bancos,m0a3,1189.814
2017-09-01,bancos,m12a18,114.115
2017-09-01,bancos,m18a24,53.422
2017-09-01,bancos,m3a6,853.07
2017-09-01,bancos,m6a9,100.981
2017-09-01,bancos,m9a12,415.444
2017-09-01,bancos,mas_2y,1812.136
2017-09-01,bancos,pago_inmediato,518.918
2017-09-01,bcra,m0a3,703.248
2017-09-01,bcra,m12a18,0.0
2017-09-01,bcra,m18a24,0.0
2017-09-01,bcra,m3a6,447.632
2017-09-01,bcra,m6a9,1138.071
2017-09-01,bcra,m9a12,10521.886
2017-09-01,bcra,mas_2y,2384.852
2017-09-01,bcra,pago_inmediato,0.0
2017-09-01,gobierno,m0a3,5031.276
2017-09-01,gobierno,m12a18,6420.133
2017-09-01,gobierno,m18a24,12219.511
2017-09-01,gobierno,m3a6,4576.249
2017-09-01,gobierno,m6a9,7065.689
2017-09-01,gobierno,m9a12,3876.159
2017-09-01,gobierno,mas_2y,175706.098
2017-09-01,gobierno,pago_inmediato,3162.756
2017-09-01,inversion_directa,m0a3,3045.662
2017-09-01,inversion_directa,m12a18,400.628
2017-09-01,inversion_directa,m18a24,244.963
2017-09-01,inversion_directa,m3a6,1457.092
2017-09-01,inversion_directa,m6a9,719.104
2017-09-01,inversion_directa,m9a12,369.314
2017-09-01,inversion_directa,mas_2y,3120.178
2017-09-01,inversion_directa,pago_inmediato,13513.385
2017-09-01,no_financieras,m0a3,5431.018
2017-09-01,no_financieras,m12a18,2486.874
2017-09-01,no_financieras,m18a24,947.368
2017-09-01,no_financieras,m3a6,1809.955
2017-09-01,no_financieras,m6a9,850.78
2017-09-01,no_financieras,m9a12,639.206
2017-09-01,no_financieras,mas_2y,13072.32
2017-09-01,no_financieras,pago_inmediato,11338.39
2017-09-01,otras_financieras,m0a3,93.109
2017-09-01,otras_financieras,m12a18,35.619
2017-09-01,otras_financieras,m18a24,29.223
2017-09-01,otras_financieras,m3a6,59.361
2017-09-01,otras_financieras,m6a9,28.161
2017-09-01,otras_financieras,m9a12,42.978
2017-09-01,otras_financieras,mas_2y,1705.227
2017-09-01,otras_financieras,pago_inmediato,384.565
2017-09-01,otros_sectores,m0a3,5524.127
2017-09-01,otros_sectores,m12a18,2522.493
2017-09-01,otros_sectores,m18a24,976.591
2017-09-01,otros_sectores,m3a6,1869.316
2017-09-01,otros_sectores,m6a9,878.94
2017-09-01,otros_sectores,m9a12,682.184
2017-09-01,otros_sectores,mas_2y,14777.548
2017-09-01,otros_sectores,pago_inmediato,11722.954
2017-09-01,total,m0a3,15494.127
2017-09-01,total,m12a18,9457.37
2017-09-01,total,m18a24,13494.487
2017-09-01,total,m3a6,9203.359
2017-09-01,total,m6a9,9902.786
2017-09-01,total,m9a12,15864.987
2017-09-01,total,mas_2y,197800.812
2017-09-01,total,pago_inmediato,28918.013
2017-12-01,bancos,m0a3,1990.032
2017-12-01,bancos,m12a18,108.66
2017-12-01,bancos,m18a24,66.564
2017-12-01,bancos,m3a6,586.225
2017-12-01,bancos,m6a9,263.975
2017-12-01,bancos,m9a12,101.172
2017-12-01,bancos,mas_2y,2052.008
