fecha,venc_pago_inmediato,venc_m0a3,venc_m3a6,venc_m6a9,venc_m9a12,venc_m12a18,venc_m18a24,venc_mas_2y,venc_sin_fecha,venc_prox_1y,venc_prox_2y,venc_gob_prox_1y,venc_gob_prox_2y,venc_mas_2y_anomalo
2017-09-01,28918.013,15494.127,9203.359,9902.786,15864.987,9457.37,13494.487,197800.812,,79383.272,102335.129,23712.129,42351.773,0
2017-12-01,27560.344,20724.209,14412.998,8851.185,18252.462,19630.67,6713.168,203589.926,,89801.198,116145.036,28485.569,50966.683,0
2018-03-01,29181.051,33183.104,16927.219,10804.33,23465.343,21688.186,9207.598,193534.795,,113561.047,144456.831,44189.429,70804.026,0
2018-06-01,29770.903,23173.44,13704.491,7794.041,27213.102,10088.392,13613.348,227924.219,,101655.977,125357.717,33520.646,52671.54,0
2018-09-01,29639.208,25650.94,12399.616,14325.545,18364.647,6087.475,6618.306,228707.91,,100379.956,113085.737,37096.024,45232.623,0
2018-12-01,29990.82,22110.219,19061.766,5246.596,25386.875,16487.576,6227.367,240541.489,,101796.276,124511.219,31011.017,49165.332,0
2019-03-01,29940.771,31121.328,8802.514,7825.944,29433.291,14573.882,8596.926,236760.409,,107123.848,130294.656,35244.544,53760.956,0
2019-06-01,30535.096,24517.638,9055.61,7835.909,33694.408,10657.215,14483.764,244313.206,,105638.661,130779.64,33153.289,53472.408,0
2019-09-01,29861.41,19719.228,9994.453,11739.141,24833.143,11207.479,15747.95,243007.123,,96147.375,123102.804,25691.897,47924.412,0
2019-12-01,29435.615,21588.07,13051.271,5859.397,28231.645,15599.257,11712.843,235257.489,,98165.998,125478.098,27088.602,49779.245,0
2020-03-01,29641.181,23126.56,7006.689,6024.423,25251.52,17201.913,19334.724,223484.014,,91050.373,127587.01,21057.428,52926.358,0
2020-06-01,27772.136,18372.063,8867.33,5283.826,34322.889,12332.472,20905.213,218224.113,,94618.244,127855.929,24940.17,54033.204,0
2020-09-01,19150.573,18880.761,11965.347,32131.646,7578.941,17606.928,20927.774,153542.566,9043.521,89707.268,128241.97,27047.873,60181.011,0
2020-12-01,19157.891,18285.154,9922.645,6205.727,28823.358,15958.034,16993.521,184125.788,9352.85,82394.775,115346.33,19316.247,46087.394,0
2021-03-01,20067.076,22423.186,7766.739,5981.783,31672.065,15390.986,20171.091,172212.102,9767.158,87910.849,123472.926,24305.319,53164.694,0
2021-06-01,20340.046,21005.675,7394.96,8980.464,32757.781,17230.567,19802.969,165973.746,10630.43,90478.926,127512.462,26569.46,57063.021,0
2021-09-01,20472.408,20456.198,10616.505,9305.794,31666.881,20621.273,15811.488,163562.51,9987.888,92517.786,128950.547,29005.53,57511.518,0
2021-12-01,20922.037,22276.333,10288.993,8400.286,32525.315,19010.815,14004.225,163461.783,9797.235,94412.964,127428.004,31540.292,57741.161,0
2022-03-01,22199.016,25418.311,9972.776,9236.238,34157.354,16451.454,13359.554,168542.736,10689.984,100983.695,130794.703,33704.394,57251.324,0
2022-06-01,22736.623,27122.128,10898.77,10896.774,31284.119,14691.197,11782.235,171926.893,11236.021,102938.414,129411.846,33477.883,53169.522,0
2022-09-01,23861.724,31349.374,12928.154,9726.516,29798.486,14017.689,11945.94,165408.925,12861.993,107664.254,133627.883,32107.953,51331.102,0
2022-12-01,25475.562,31386.614,12006.286,9289.776,29256.942,12722.831,8700.542,184621.337,11553.153,107415.18,128838.553,32687.891,48005.98,0
2023-03-01,26012.704,30986.731,11638.522,7650.642,29929.334,11984.917,9678.833,267354.947,11462.659,106217.933,127881.683,30363.197,45830.159,1
2023-06-01,26686.941,34321.839,10301.565,8469.661,27506.89,9547.612,11280.282,190170.571,11820.241,107286.896,128114.79,26803.18,41156.123,0
2023-09-01,29742.039,34982.721,11388.574,6810.054,28125.372,10801.978,11834.62,194014.113,12787.602,111048.76,133685.358,25494.643,40702.334,0
2023-12-01,33027.067,35980.58,9560.784,7697.963,26698.618,12379.738,10337.019,193860.399,13450.181,112965.012,135681.769,23343.579,38686.777,0
2024-03-01,34460.983,35517.936,9900.314,4780.721,27013.63,13506.182,10580.74,197953.105,13952.151,111673.584,135760.506,21901.854,38412.625,0
2024-06-01,33321.333,36614.784,6484.684,8519.404,24407.755,12397.911,10909.686,196621.777,13909.929,109347.96,132655.557,20496.719,35648.73,0
2024-09-01,33364.888,33378.137,9341.728,6222.142,26059.718,10879.165,11178.208,192353.594,13829.231,108366.613,130423.986,19092.532,34263.243,0
2024-12-01,31218.004,33305.849,6966.653,8527.447,22355.717,10120.208,11342.818,192189.523,13544.163,102373.67,123836.696,18629.619,33817.619,0
2025-03-01,31469.463,31294.818,9711.363,4637.959,25474.524,10111.757,12785.209,188840.944,13597.254,102588.127,125485.093,18409.343,34356.606,0
2025-06-01,31360.228,36238.346,6795.516,7835.978,22563.695,12559.377,14173.83,216111.413,15256.124,104793.763,131526.97,19838.248,38259.493,0
2025-09-01,30782.22,36033.778,10590.748,5459.144,26639.941,13273.786,16067.845,221591.43,15390.3,109505.831,138847.462,20980.132,40920.164,0
2025-12-01,30838.837,33902.281,6908.534,8409.477,26679.23,12576.079,16964.446,226034.439,15067.42,106738.359,136278.884,21438.448,42550.283,0
