fecha,dext_total,dext_corto_plazo,dext_largo_plazo,dext_inversion_directa
2006-03-01,130145.321,32486.381,83820.003,13838.938
2006-06-01,133565.591,34943.792,84789.779,13832.021
2006-09-01,133936.592,36265.936,83533.212,14137.444
2006-12-01,137089.894,37268.435,86215.592,13605.866
2007-03-01,139734.393,38393.039,87575.356,13765.999
2007-06-01,147362.026,41580.301,90618.56,15163.165
2007-09-01,149670.472,42816.819,91392.561,15461.092
2007-12-01,153400.455,44853.18,93243.455,15303.819
2008-03-01,158391.882,48745.836,93487.55,16158.496
2008-06-01,162093.251,51236.569,93059.373,17797.308
2008-09-01,158342.605,48481.519,90528.404,19332.682
2008-12-01,154090.862,50475.714,83965.863,19649.285
2009-03-01,150056.197,48264.333,82929.322,18862.542
2009-06-01,151290.377,50274.092,82045.575,18970.71
2009-09-01,153727.132,51174.485,84174.383,18378.264
2009-12-01,149359.189,50534.435,80661.215,18163.539
2010-03-01,148520.591,48305.133,81737.675,18477.783
2010-06-01,140919.256,40749.525,80700.207,19469.525
2010-09-01,143410.66,38556.801,84832.812,20021.048
2010-12-01,144653.295,40245.527,83839.197,20568.571
2011-03-01,148792.12,40091.038,87169.523,21531.56
2011-06-01,154528.662,44579.561,87580.858,22368.243
2011-09-01,155737.792,46110.07,87712.423,21915.299
2011-12-01,156299.88,46557.514,86964.218,22778.148
2012-03-01,158565.249,46517.877,87708.529,24338.842
2012-06-01,159405.28,47587.838,86129.675,25687.767
2012-09-01,157647.573,46229.027,85444.803,25973.743
2012-12-01,156478.164,44011.268,85936.595,26530.301
2013-03-01,155181.834,45265.129,83162.366,26754.339
2013-06-01,153754.172,47334.431,79392.44,27027.301
2013-09-01,155356.744,47630.704,80220.506,27505.533
2013-12-01,155488.923,46876.669,81200.677,27411.577
2014-03-01,156119.679,47291.653,81788.273,27039.753
2014-06-01,161891.128,39417.483,96661.553,25812.092
2014-09-01,156730.225,37888.47,92944.574,25897.181
2014-12-01,158742.249,37079.384,95429.789,26233.076
2015-03-01,160671.005,36092.69,97326.164,27252.151
2015-06-01,167581.443,38759.316,100643.722,28178.406
2015-09-01,171551.108,39310.903,103877.177,28363.029
2015-12-01,167411.836,39826.047,100653.941,26931.848
2016-03-01,176643.531,44437.005,105411.918,26794.608
2016-06-01,176971.042,31555.81,119787.364,25627.868
2016-09-01,179954.611,26327.605,129076.379,24550.627
2016-12-01,181432.364,24563.742,135323.702,21544.92
2017-03-01,199161.103,29927.347,146597.262,22636.494
2017-06-01,204914.416,32876.793,149434.296,22603.327
2017-09-01,217509.916,36122.094,157673.971,23713.851
2017-12-01,234548.946,43112.185,167643.165,23793.597
2018-03-01,253168.064,49815.528,179557.645,23794.891
2018-06-01,261678.652,46082.853,192273.278,23322.521
2018-09-01,255050.209,43219.635,188882.739,22947.835
2018-12-01,277827.009,44468.928,209622.763,23735.318
2019-03-01,275662.069,44186.131,207790.471,23685.467
2019-06-01,283129.144,44079.238,215320.536,23729.369
2019-09-01,276814.528,41748.827,211989.67,23076.032
2019-12-01,278489.213,41523.745,214032.101,22933.366
2020-03-01,275165.384,18934.484,224220.825,32010.075
2020-06-01,269913.106,16586.761,222382.165,30944.18
2020-09-01,267537.066,16603.498,219394.132,31539.435
2020-12-01,270694.358,16468.56,222472.56,31753.237
2021-03-01,267693.501,16952.377,217977.759,32763.365
2021-06-01,268856.593,19011.513,216502.693,33342.387
2021-09-01,267444.942,18763.117,216386.966,32294.859
2021-12-01,266476.392,18153.624,216011.416,32311.352
2022-03-01,273273.774,19713.711,219451.924,34108.139
2022-06-01,273641.72,22249.782,214255.979,37135.959
2022-09-01,270401.044,26382.91,202806.556,41211.579
2022-12-01,275682.297,25362.852,210546.621,39772.824
2023-03-01,274577.658,24812.989,208244.823,41519.846
2023-06-01,275447.776,27438.052,202801.56,45208.164
2023-09-01,277464.07,29418.395,199374.791,48670.884
2023-12-01,283963.58,31388.161,200673.793,51901.627
2024-03-01,284808.767,30721.001,199574.713,54513.053
2024-06-01,281598.004,28617.297,197657.323,55323.383
2024-09-01,282208.965,29010.753,197053.271,56144.942
2024-12-01,277257.379,29118.37,193704.423,54434.586
2025-03-01,281259.177,27816.779,198573.379,54869.019
2025-06-01,307237.632,29123.489,221456.981,56657.162
2025-09-01,318596.182,32646.802,226444.325,59505.056
2025-12-01,320304.787,29128.616,236756.719,54419.452
