fecha,dext_total,dext_gobierno,dext_bcra,dext_bancos,dext_otros_sectores,dext_otras_financieras,dext_no_financieras,dext_inversion_directa
2006-03-01,130145.321,80208.278,772.341,5403.871,29921.893,2725.955,27195.938,13838.938
2006-06-01,133565.591,83587.148,816.842,5364.126,29965.455,2817.536,27147.919,13832.021
2006-09-01,133936.592,83793.107,1363.654,5238.105,29404.282,3021.924,26382.358,14137.444
2006-12-01,137089.894,87606.45,882.134,5249.269,29746.175,2829.507,26916.668,13605.866
2007-03-01,139734.393,90120.152,1661.514,5005.63,29181.098,2773.287,26407.812,13765.999
2007-06-01,147362.026,93612.861,3069.164,5306.193,30210.643,2530.181,27680.463,15163.165
2007-09-01,149670.472,94768.099,3166.292,5682.154,30592.835,2206.095,28386.74,15461.092
2007-12-01,153400.455,98081.464,3792.027,5886.193,30336.953,1697.509,28639.444,15303.819
2008-03-01,158391.882,100760.238,3463.7,6105.278,31904.17,1723.355,30180.815,16158.496
2008-06-01,162093.251,100389.201,3353,6402.662,34151.079,1714.345,32436.734,17797.308
2008-09-01,158342.605,94295.573,4122.287,6005.171,34586.893,1668.07,32918.824,19332.682
2008-12-01,154090.862,91816.398,4545.046,5226.33,32853.803,1592.814,31260.988,19649.285
2009-03-01,150056.197,89424.931,5988.186,4510.419,31270.119,1564.969,29705.15,18862.542
2009-06-01,151290.377,91044.17,5491.951,4252.119,31531.426,1577.416,29954.011,18970.71
2009-09-01,153727.132,92519.07,7378.91,3961.889,31488.998,1445.521,30043.478,18378.264
2009-12-01,149359.189,92423.034,5556.691,3522.642,29693.283,1460.005,28233.278,18163.539
2010-03-01,148520.591,90864.41,6111.791,3246.59,29820.017,1304.652,28515.366,18477.783
2010-06-01,140919.256,81942.936,4576.495,2982.038,31948.263,1261.392,30686.871,19469.525
2010-09-01,143410.66,83551.145,4175.96,3132.901,32529.606,1242.601,31287.005,20021.048
2010-12-01,144653.295,86090.665,2598.863,2937.889,32457.307,1206.472,31250.835,20568.571
2011-03-01,148792.12,87345.73,2689.906,2983.941,34240.983,1381.877,32859.105,21531.56
2011-06-01,154528.662,88655.509,2700.771,3575.256,37228.882,1346.732,35882.15,22368.243
2011-09-01,155737.792,86391.386,5634.981,4082.812,37713.314,1329.078,36384.236,21915.299
2011-12-01,156299.88,85041.282,7590.485,4151.366,36738.599,1289.687,35448.912,22778.148
2012-03-01,158565.249,87113.355,6614.162,3545.956,36952.934,1296.26,35656.674,24338.842
2012-06-01,159405.28,85968.949,5560.777,3901.648,38286.14,1277.391,37008.749,25687.767
2012-09-01,157647.573,85245.723,5602.47,3358.052,37467.585,1206.013,36261.571,25973.743
2012-12-01,156478.164,86259.905,5601.267,3032.833,35053.858,1168.326,33885.532,26530.301
2013-03-01,155181.834,84901.675,5439.898,2634.616,35451.306,1173.83,34277.476,26754.339
2013-06-01,153754.172,84815.992,2537.888,2731.297,36641.693,1350.496,35291.198,27027.301
2013-09-01,155356.744,85746.563,3388.498,3315.569,35400.581,1309.229,34091.352,27505.533
2013-12-01,155488.923,87845.936,3598.463,3007.945,33625.002,1278.324,32346.678,27411.577
2014-03-01,156119.679,88918.615,2538.652,3376.213,34246.447,1247.548,32998.899,27039.753
2014-06-01,161891.128,94658.428,2608.599,3821.301,34990.708,1204.256,33786.452,25812.092
2014-09-01,156730.225,91828.475,2901.767,3593.063,32509.738,1188.822,31320.917,25897.181
2014-12-01,158742.249,91584.56,6644.783,2730.618,31549.212,1358.932,30190.28,26233.076
2015-03-01,160671.005,89322.977,8847.809,3046.651,32201.417,1198.891,31002.526,27252.151
2015-06-01,167581.443,89812.208,10313.201,3920.236,35357.392,1286.292,34071.101,28178.406
2015-09-01,171551.108,90309.479,13768.73,3947.663,35162.208,1340.042,33822.165,28363.029
2015-12-01,167411.836,87700.89,13958.017,3929.737,34891.344,1362.555,33528.789,26931.848
2016-03-01,176643.531,91900.882,19377.964,3650.456,34919.62,1153.95,33765.67,26794.608
2016-06-01,176971.042,94398.971,20258.258,3356.811,33329.134,1203.382,32125.752,25627.868
2016-09-01,179954.611,98730.624,18491.17,3782.348,34399.842,1647.129,32752.713,24550.627
