fecha,y_obs,y_pred
2006-01-01,,5403.871
2006-02-01,,5403.871
2006-03-01,5403.871,5403.871
2006-04-01,,5869.608831635381
2006-05-01,,5533.18570638016
2006-06-01,5364.126,5364.126
2006-07-01,,5307.444206741008
2006-08-01,,5321.634869497967
2006-09-01,5238.105,5238.105
2006-10-01,,5231.743357899202
2006-11-01,,5233.851994201388
2006-12-01,5249.269,5249.269
2007-01-01,,4977.8618460674315
2007-02-01,,4857.730064222411
2007-03-01,5005.63,5005.63
2007-04-01,,5065.611971662876
2007-05-01,,5052.193969953662
2007-06-01,5306.193,5306.193
2007-07-01,,5335.024486994341
2007-08-01,,5481.91614998122
2007-09-01,5682.154,5682.154
2007-10-01,,5747.099382806791
2007-11-01,,5758.0072863055575
2007-12-01,5886.193,5886.193
2008-01-01,,5977.760300152075
2008-02-01,,6043.300671827843
2008-03-01,6105.278,6105.278
2008-04-01,,6088.381727515528
2008-05-01,,6103.244689177643
2008-06-01,6402.662,6402.662
2008-07-01,,6346.111993896589
2008-08-01,,6205.561303527965
2008-09-01,6005.171,6005.171
2008-10-01,,5758.960520502963
2008-11-01,,5549.396130006073
2008-12-01,5226.33,5226.33
2009-01-01,,4984.306278056259
2009-02-01,,4765.1454768288995
2009-03-01,4510.419,4510.419
2009-04-01,,4370.168973268576
2009-05-01,,4216.819432727043
2009-06-01,4252.119,4252.119
2009-07-01,,4143.557562750769
2009-08-01,,4072.261551450594
2009-09-01,3961.889,3961.889
2009-10-01,,3806.2775984827545
2009-11-01,,3611.550252506472
2009-12-01,3522.642,3522.642
2010-01-01,,3377.3707219563485
2010-02-01,,3285.6569952778955
2010-03-01,3246.59,3246.59
2010-04-01,,3096.252361415339
2010-05-01,,2905.4905183898763
2010-06-01,2982.038,2982.038
2010-07-01,,3002.5851079447816
2010-08-01,,3057.1959770650756
2010-09-01,3132.901,3132.901
2010-10-01,,3050.527891841991
2010-11-01,,2930.373351534825
2010-12-01,2937.889,2937.889
2011-01-01,,2910.3301727507132
2011-02-01,,2905.7886344840035
2011-03-01,2983.941,2983.941
2011-04-01,,3105.209425708607
2011-05-01,,3239.523968367529
2011-06-01,3575.256,3575.256
2011-07-01,,3766.5966813956984
2011-08-01,,3932.26094460381
2011-09-01,4082.812,4082.812
2011-10-01,,4109.258170868135
2011-11-01,,4142.719523606418
2011-12-01,4151.366,4151.366
2012-01-01,,3973.1035197103465
2012-02-01,,3713.2152292618293
2012-03-01,3545.956,3545.956
2012-04-01,,3591.878383020725
2012-05-01,,3744.385609668655
2012-06-01,3901.648,3901.648
2012-07-01,,3768.3607931053452
2012-08-01,,3520.6776630467066
2012-09-01,3358.052,3358.052
2012-10-01,,3243.972425876661
2012-11-01,,3143.4507047106176
2012-12-01,3032.833,3032.833
2013-01-01,,2872.3705237935615
2013-02-01,,2712.5731136087848
2013-03-01,2634.616,2634.616
2013-04-01,,2613.711955908416
2013-05-01,,2607.8751241686673
2013-06-01,2731.297,2731.297
2013-07-01,,2919.0049532586763
2013-08-01,,3162.0335491012465
2013-09-01,3315.569,3315.569
2013-10-01,,3244.84183308728
2013-11-01,,3068.123537034464
2013-12-01,3007.945,3007.945
2014-01-01,,3065.9099383895996
2014-02-01,,3222.727139231938
2014-03-01,3376.213,3376.213
2014-04-01,,3536.176201597437
2014-05-01,,3678.8517498560914
2014-06-01,3821.301,3821.301
2014-07-01,,3813.2735512613267
2014-08-01,,3747.302927182891
2014-09-01,3593.063,3593.063
2014-10-01,,3297.0850397460495
2014-11-01,,2947.626672062288
2014-12-01,2730.618,2730.618
2015-01-01,,2723.3343835782734
2015-02-01,,2856.5610115069676
2015-03-01,3046.651,3046.651
2015-04-01,,3315.8332833648883
2015-05-01,,3620.321717554525
2015-06-01,3920.236,3920.236
2015-07-01,,3997.43106001464
2015-08-01,,3969.7262280869722
2015-09-01,3947.663,3947.663
2015-10-01,,3953.075077287669
2015-11-01,,3974.922768522356
2015-12-01,3929.737,3929.737
2016-01-01,,3867.2675557804605
2016-02-01,,3732.339500083061
2016-03-01,3650.456,3650.456
2016-04-01,,3521.0481037155055
2016-05-01,,3365.318962052611
2016-06-01,3356.811,3356.811
2016-07-01,,3456.4152660450936
2016-08-01,,3627.301347664507
2016-09-01,3782.348,3782.348
2016-10-01,,3829.8703782602984
2016-11-01,,3819.3706475355098
2016-12-01,3847.83,3847.83
2017-01-01,,3868.6310775167135
2017-02-01,,3872.990538498852
2017-03-01,3911.754,3911.754
2017-04-01,,3978.337180202888
2017-05-01,,4091.697393435694
2017-06-01,4283.003,4283.003
2017-07-01,,4523.574848931856
2017-08-01,,4830.229737990283
2017-09-01,5118.757,5118.757
2017-10-01,,5348.005193527207
2017-11-01,,5555.21681878386
2017-12-01,5793.722,5793.722
2018-01-01,,6064.12451363315
2018-02-01,,6292.00205631869
2018-03-01,6485.944,6485.944
2018-04-01,,6598.922431176046
2018-05-01,,6682.522937403956
2018-06-01,6668.397,6668.397
2018-07-01,,6368.3826708830275
2018-08-01,,5998.906723306607
2018-09-01,5717.026,5717.026
2018-10-01,,5605.1531204853045
2018-11-01,,5556.407599954922
2018-12-01,5545.043,5545.043
2019-01-01,,5497.681084436025
2019-02-01,,5508.072668256821
2019-03-01,5507.751,5507.751
2019-04-01,,5427.857607826766
2019-05-01,,5277.980730947638
2019-06-01,5185.098,5185.098
2019-07-01,,5104.154749270374
2019-08-01,,5052.591594213617
2019-09-01,4997.161,4997.161
2019-10-01,,4943.902323701433
2019-11-01,,4870.003462583617
2019-12-01,4818.944,4818.944
2020-01-01,,4847.304741279856
2020-02-01,,4938.502426395762
2020-03-01,4411.949,4411.949
2020-04-01,,4250.675011139008
2020-05-01,,3978.908856207805
2020-06-01,3820.701,3820.701
2020-07-01,,3962.7715641838736
2020-08-01,,4229.288895009981
2020-09-01,4313.596,4313.596
2020-10-01,,3999.588729773351
2020-11-01,,3516.4535788501166
2020-12-01,3149.13,3149.13
2021-01-01,,2994.1778973396167
2021-02-01,,2930.642824268619
2021-03-01,2864.273,2864.273
2021-04-01,,3345.8762403803257
2021-05-01,,3295.88280752158
2021-06-01,3288.28,3288.28
2021-07-01,,3307.6946262582874
2021-08-01,,3340.2065497014473
2021-09-01,3318.271,3318.271
2021-10-01,,3178.7362780006433
2021-11-01,,2980.2080873432433
2021-12-01,2866.12,2866.12
2022-01-01,,2934.359892332118
2022-02-01,,3088.802242389346
2022-03-01,3184.378,3184.378
2022-04-01,,3135.6055932824283
2022-05-01,,3038.847880898894
2022-06-01,2996.827,2996.827
2022-07-01,,3037.319650372914
2022-08-01,,3101.7641118328984
2022-09-01,3140.366,3140.366
2022-10-01,,3136.2358745397355
2022-11-01,,3118.5565663106313
2022-12-01,3111.826,3111.826
2023-01-01,,3111.880453652001
2023-02-01,,3120.715593740018
2023-03-01,3118.434,3118.434
2023-04-01,,3076.0993902666337
2023-05-01,,3005.2055072116677
2023-06-01,2953.622,2953.622
2023-07-01,,2970.633100803601
2023-08-01,,3032.4763313714648
2023-09-01,3027.075,3027.075
2023-10-01,,2871.69404606908
2023-11-01,,2634.365517260473
2023-12-01,2477.504,2477.504
2024-01-01,,2508.1105179537226
2024-02-01,,2599.3457157624034
2024-03-01,2620.439,2620.439
2024-04-01,,2509.1623706222763
2024-05-01,,2364.3818602801316
2024-06-01,2285.215,2285.215
2024-07-01,,2287.494418746366
2024-08-01,,2317.2547970475716
2024-09-01,2361.934,2361.934
2024-10-01,,2445.4851703090735
2024-11-01,,2559.6938597646636
2024-12-01,2671.266,2671.266
2025-01-01,,2758.022119369301
2025-02-01,,2852.1664951999487
2025-03-01,2980.447,2980.447
2025-04-01,,3116.422317728379
2025-05-01,,3299.9494290682287
2025-06-01,3539.956,3539.956
2025-07-01,,3980.154797580052
2025-08-01,,4507.413342504544
2025-09-01,4933.184,4933.184
2025-10-01,,5120.205355187394
2025-11-01,,5178.720629796432
2025-12-01,5243.679,5243.679
