fecha,y_obs,y_pred
2006-01-01,,80208.278
2006-02-01,,80208.278
2006-03-01,80208.278,80208.278
2006-04-01,,89130.80766488056
2006-05-01,,85250.67775336473
2006-06-01,83587.148,83587.148
2006-07-01,,88033.19911407075
2006-08-01,,88655.39525193551
2006-09-01,83793.107,83793.107
2006-10-01,,80965.77368284814
2006-11-01,,83776.4033781481
2006-12-01,87606.45,87606.45
2007-01-01,,88383.82782601801
2007-02-01,,88595.80626983578
2007-03-01,90120.152,90120.152
2007-04-01,,93075.4275173705
2007-05-01,,95129.46834909874
2007-06-01,93612.861,93612.861
2007-07-01,,94169.48379138995
2007-08-01,,94575.3626424355
2007-09-01,94768.099,94768.099
2007-10-01,,95859.06407129474
2007-11-01,,97321.02689999965
2007-12-01,98081.464,98081.464
2008-01-01,,99401.94928525884
2008-02-01,,100417.2332262284
2008-03-01,100760.238,100760.238
2008-04-01,,101835.57521200564
2008-05-01,,102768.36100314844
2008-06-01,100389.201,100389.201
2008-07-01,,98677.93922204655
2008-08-01,,96264.44160615312
2008-09-01,94295.573,94295.573
2008-10-01,,93320.26251244041
2008-11-01,,92241.55466231129
2008-12-01,91816.398,91816.398
2009-01-01,,90418.31143083534
2009-02-01,,89167.1742136818
2009-03-01,89424.931,89424.931
2009-04-01,,90305.70104943166
2009-05-01,,91721.47135430243
2009-06-01,91044.17,91044.17
2009-07-01,,91152.92437490575
2009-08-01,,91397.05971891689
2009-09-01,92519.07,92519.07
2009-10-01,,93605.12204831348
2009-11-01,,93844.92242724625
2009-12-01,92423.034,92423.034
2010-01-01,,91916.56409858803
2010-02-01,,91869.71099691823
2010-03-01,90864.41,90864.41
2010-04-01,,88494.29458433513
2010-05-01,,85419.43257726794
2010-06-01,81942.936,81942.936
2010-07-01,,82383.32949142986
2010-08-01,,83628.11326509381
2010-09-01,83551.145,83551.145
2010-10-01,,83741.18207021638
2010-11-01,,84888.7121031255
2010-12-01,86090.665,86090.665
2011-01-01,,87519.73081034306
2011-02-01,,87881.01253067664
2011-03-01,87345.73,87345.73
2011-04-01,,87623.68714883165
2011-05-01,,89014.54648015555
2011-06-01,88655.509,88655.509
2011-07-01,,88096.77095885559
2011-08-01,,86871.02516226633
2011-09-01,86391.386,86391.386
2011-10-01,,82092.43362257796
2011-11-01,,84204.35975983158
2011-12-01,85041.282,85041.282
2012-01-01,,85473.5272223501
2012-02-01,,86200.04589128756
2012-03-01,87113.355,87113.355
2012-04-01,,87474.2926734328
2012-05-01,,87151.83706538366
2012-06-01,85968.949,85968.949
2012-07-01,,85760.47561502193
2012-08-01,,85724.19522728045
2012-09-01,85245.723,85245.723
2012-10-01,,85446.30602579664
2012-11-01,,86056.59554104727
2012-12-01,86259.905,86259.905
2013-01-01,,85835.75442434226
2013-02-01,,85298.62156132465
2013-03-01,84901.675,84901.675
2013-04-01,,84978.72866718924
2013-05-01,,85201.0824719395
2013-06-01,84815.992,84815.992
2013-07-01,,85091.81908733293
2013-08-01,,85509.64849760724
2013-09-01,85746.563,85746.563
2013-10-01,,86037.84312783377
2013-11-01,,86882.5785564378
2013-12-01,87845.936,87845.936
2014-01-01,,88804.62356646864
2014-02-01,,88770.00916134931
2014-03-01,88918.615,88918.615
2014-04-01,,90590.18444231659
2014-05-01,,93297.14085150097
2014-06-01,94658.428,94658.428
2014-07-01,,94182.7945557024
2014-08-01,,92669.67391019316
2014-09-01,91828.475,91828.475
2014-10-01,,92039.79144307169
2014-11-01,,92284.83274400678
2014-12-01,91584.56,91584.56
2015-01-01,,90441.93144839385
2015-02-01,,89475.38902359073
2015-03-01,89322.977,89322.977
2015-04-01,,89804.78465536803
2015-05-01,,90207.82129924186
2015-06-01,89812.208,89812.208
2015-07-01,,89932.62706284763
2015-08-01,,90322.95845342787
2015-09-01,90309.479,90309.479
2015-10-01,,89553.83190373465
2015-11-01,,88390.8261252456
2015-12-01,87700.89,87700.89
2016-01-01,,93191.48070362025
2016-02-01,,92673.3900446225
2016-03-01,91900.882,91900.882
2016-04-01,,92313.6192216952
2016-05-01,,93679.63453604993
2016-06-01,94398.971,94398.971
2016-07-01,,95098.62338533532
2016-08-01,,96303.94441187612
2016-09-01,98730.624,98730.624
2016-10-01,,102429.72459651041
2016-11-01,,106003.25361976758
2016-12-01,108956.515,108956.515
2017-01-01,,113075.51351369334
2017-02-01,,118523.51659951598
2017-03-01,123153.212,123153.212
2017-04-01,,125228.47831686045
2017-05-01,,125855.83365537813
2017-06-01,126939.845,126939.845
2017-07-01,,129582.53024500227
2017-08-01,,132242.17997261457
2017-09-01,134281.075,134281.075
2017-10-01,,136213.8869686883
2017-11-01,,138874.2014164407
2017-12-01,142828.62,142828.62
2018-01-01,,147527.67678721977
2018-02-01,,151324.54837091148
2018-03-01,153048.493,153048.493
2018-04-01,,154640.5291566718
2018-05-01,,157859.3454313804
2018-06-01,161506.99,161506.99
2018-07-01,,162619.75669754128
2018-08-01,,160164.77975684754
2018-09-01,158511.444,158511.444
2018-10-01,,162508.25455337937
2018-11-01,,169542.74997734
2018-12-01,173583.167,173583.167
2019-01-01,,172447.88625901518
2019-02-01,,169651.25247728793
2019-03-01,169721.201,169721.201
2019-04-01,,172947.21512916542
2019-05-01,,175788.71391925446
2019-06-01,175969.153,175969.153
2019-07-01,,175624.20911291498
2019-08-01,,176393.5127047573
2019-09-01,171927.68,171927.68
2019-10-01,,173163.02536530103
2019-11-01,,173300.73088425642
2019-12-01,172897.797,172897.797
2020-01-01,,172475.2552807057
2020-02-01,,172096.58026328767
