fecha,y_obs,y_pred
2006-01-01,,29921.893
2006-02-01,,29921.893
2006-03-01,29921.893,29921.893
2006-04-01,,33337.92196465475
2006-05-01,,31689.081124165707
2006-06-01,29965.455,29965.455
2006-07-01,,29074.238670475654
2006-08-01,,29382.75099099145
2006-09-01,29404.282,29404.282
2006-10-01,,29090.557597684252
2006-11-01,,28778.048741437924
2006-12-01,29746.175,29746.175
2007-01-01,,29686.75541665264
2007-02-01,,29368.504701418384
2007-03-01,29181.098,29181.098
2007-04-01,,28668.264086704272
2007-05-01,,28579.906617697576
2007-06-01,30210.643,30210.643
2007-07-01,,30086.64710149551
2007-08-01,,30180.142876901107
2007-09-01,30592.835,30592.835
2007-10-01,,30526.71407307669
2007-11-01,,30209.988392929103
2007-12-01,30336.953,30336.953
2008-01-01,,30546.60948311531
2008-02-01,,31082.315998919294
2008-03-01,31904.17,31904.17
2008-04-01,,32121.22948673617
2008-05-01,,32286.051694058115
2008-06-01,34151.079,34151.079
2008-07-01,,34531.70600210719
2008-08-01,,34723.8210743964
2008-09-01,34586.893,34586.893
2008-10-01,,34073.542383057145
2008-11-01,,33740.131060886895
2008-12-01,32853.803,32853.803
2009-01-01,,32385.584101473483
2009-02-01,,31977.976942383906
2009-03-01,31270.119,31270.119
2009-04-01,,31068.763952207395
2009-05-01,,30766.146722370453
2009-06-01,31531.426,31531.426
2009-07-01,,31540.828314954764
2009-08-01,,31698.204710496546
2009-09-01,31488.998,31488.998
2009-10-01,,30838.432123258764
2009-11-01,,29936.835140193376
2009-12-01,29693.283,29693.283
2010-01-01,,29291.480336242475
2010-02-01,,29286.945770202023
2010-03-01,29820.017,29820.017
2010-04-01,,30194.97264884186
2010-05-01,,30526.503174984085
2010-06-01,31948.263,31948.263
2010-07-01,,32226.225536373953
2010-08-01,,32258.184186530445
2010-09-01,32529.606,32529.606
2010-10-01,,32310.37705585632
2010-11-01,,32032.919594228704
2010-12-01,32457.307,32457.307
2011-01-01,,32778.505844061365
2011-02-01,,33316.40847778114
2011-03-01,34240.983,34240.983
2011-04-01,,35111.57728948673
2011-05-01,,35772.50519275541
2011-06-01,37228.882,37228.882
2011-07-01,,37512.58593447739
2011-08-01,,37557.41798559173
2011-09-01,37713.314,37713.314
2011-10-01,,36589.60910763412
2011-11-01,,36550.325544637315
2011-12-01,36738.599,36738.599
2012-01-01,,36720.33026069771
2012-02-01,,36756.99390134514
2012-03-01,36952.934,36952.934
2012-04-01,,37243.604533080514
2012-05-01,,37570.84285195118
2012-06-01,38286.14,38286.14
2012-07-01,,38251.177281339755
2012-08-01,,37858.70297656149
2012-09-01,37467.585,37467.585
2012-10-01,,36584.91726633457
2012-11-01,,35606.53632909308
2012-12-01,35053.858,35053.858
2013-01-01,,34978.681316799564
2013-02-01,,35109.89983013642
2013-03-01,35451.306,35451.306
2013-04-01,,35810.124761584266
2013-05-01,,36108.08209880427
2013-06-01,36641.693,36641.693
2013-07-01,,36477.71874896619
2013-08-01,,36002.81195548503
2013-09-01,35400.581,35400.581
2013-10-01,,34679.13462534267
2013-11-01,,33932.45188714504
2013-12-01,33625.002,33625.002
2014-01-01,,33519.81203580832
2014-02-01,,33851.93137848613
2014-03-01,34246.447,34246.447
2014-04-01,,34626.20349207893
2014-05-01,,34827.374135257305
2014-06-01,34990.708,34990.708
2014-07-01,,34299.98604720836
2014-08-01,,33369.93843418562
2014-09-01,32509.738,32509.738
2014-10-01,,31982.169041125515
2014-11-01,,31657.76786450025
2014-12-01,31549.212,31549.212
2015-01-01,,31458.122321588646
2015-02-01,,31651.517764901335
2015-03-01,32201.417,32201.417
2015-04-01,,33209.24591980061
2015-05-01,,34273.72038778064
2015-06-01,35357.392,35357.392
2015-07-01,,35548.45219768623
2015-08-01,,35363.74812581301
2015-09-01,35162.208,35162.208
2015-10-01,,35009.8251479789
2015-11-01,,35021.7536231565
2015-12-01,34891.344,34891.344
