fecha,y_obs,y_pred
2006-01-01,,32486.381
2006-02-01,,32486.381
2006-03-01,32486.381,32486.381
2006-04-01,,38019.53418384243
2006-05-01,,37142.567325211676
2006-06-01,34943.792,34943.792
2006-07-01,,34112.16873553227
2006-08-01,,35118.12951839693
2006-09-01,36265.936,36265.936
2006-10-01,,36672.20704698206
2006-11-01,,36612.41031159333
2006-12-01,37268.435,37268.435
2007-01-01,,37897.01229132985
2007-02-01,,38100.78835527273
2007-03-01,38393.039,38393.039
2007-04-01,,39028.81687629651
2007-05-01,,39886.49842587063
2007-06-01,41580.301,41580.301
2007-07-01,,41896.1589454727
2007-08-01,,42228.294513755856
2007-09-01,42816.819,42816.819
2007-10-01,,43313.94566031529
2007-11-01,,43849.84162052637
2007-12-01,44853.18,44853.18
2008-01-01,,45885.48098329303
2008-02-01,,47224.62874472518
2008-03-01,48745.836,48745.836
2008-04-01,,49683.5399054387
2008-05-01,,50264.84159613939
2008-06-01,51236.569,51236.569
2008-07-01,,50378.93335241241
2008-08-01,,49179.10346186688
2008-09-01,48481.519,48481.519
2008-10-01,,48912.53198889817
2008-11-01,,50075.096253036834
2008-12-01,50475.714,50475.714
2009-01-01,,50083.79402117711
2009-02-01,,49164.03908807009
2009-03-01,48264.333,48264.333
2009-04-01,,48441.16505999443
2009-05-01,,49013.83443858131
2009-06-01,50274.092,50274.092
2009-07-01,,50773.68962509279
2009-08-01,,51132.207617248096
2009-09-01,51174.485,51174.485
2009-10-01,,50963.05749269065
2009-11-01,,50587.32058645005
2009-12-01,50534.435,50534.435
2010-01-01,,50126.58797526684
2010-02-01,,49492.558107059405
2010-03-01,48305.133,48305.133
2010-04-01,,45789.99019577872
2010-05-01,,42730.0668908641
2010-06-01,40749.525,40749.525
2010-07-01,,39187.59471028249
2010-08-01,,38423.36106052968
2010-09-01,38556.801,38556.801
2010-10-01,,39028.57920632089
2010-11-01,,39618.73910107684
2010-12-01,40245.527,40245.527
2011-01-01,,40056.46569581343
2011-02-01,,39746.90292765902
2011-03-01,40091.038,40091.038
2011-04-01,,41260.72154291809
2011-05-01,,42738.18705185818
2011-06-01,44579.561,44579.561
2011-07-01,,45203.709421023894
2011-08-01,,45482.59065689808
2011-09-01,46110.07,46110.07
2011-10-01,,44073.40717535544
2011-11-01,,45414.92022624654
2011-12-01,46557.514,46557.514
2012-01-01,,46804.30097999693
2012-02-01,,46628.93872802717
2012-03-01,46517.877,46517.877
2012-04-01,,46701.97509740334
2012-05-01,,47051.34149746976
2012-06-01,47587.838,47587.838
2012-07-01,,47437.82460356693
2012-08-01,,46876.33617238136
2012-09-01,46229.027,46229.027
2012-10-01,,45304.825122102266
2012-11-01,,44432.29458030742
2012-12-01,44011.268,44011.268
2013-01-01,,44146.65854907289
2013-02-01,,44597.280828663
2013-03-01,45265.129,45265.129
2013-04-01,,45943.08761822425
2013-05-01,,46563.72215385668
2013-06-01,47334.431,47334.431
2013-07-01,,47687.84038115236
2013-08-01,,47779.96780483391
2013-09-01,47630.704,47630.704
2013-10-01,,47223.86518634215
2013-11-01,,46802.55097106885
2013-12-01,46876.669,46876.669
2014-01-01,,47354.96896398993
2014-02-01,,47850.21318165312
2014-03-01,47291.653,47291.653
2014-04-01,,45008.084449416
2014-05-01,,41891.93892826916
2014-06-01,39417.483,39417.483
2014-07-01,,38144.011177352884
2014-08-01,,37856.76139364659
2014-09-01,37888.47,37888.47
2014-10-01,,37803.78488043046
2014-11-01,,37502.0275342974
2014-12-01,37079.384,37079.384
2015-01-01,,36480.018674362254
2015-02-01,,36065.389437092264
2015-03-01,36092.69,36092.69
2015-04-01,,36766.76896422032
2015-05-01,,37710.117033616414
2015-06-01,38759.316,38759.316
2015-07-01,,39243.50866325857
2015-08-01,,39376.37649372893
2015-09-01,39310.903,39310.903
2015-10-01,,39122.09036331629
2015-11-01,,39218.99818510101
2015-12-01,39826.047,39826.047
2016-01-01,,44250.522904348676
2016-02-01,,45122.00629616068
2016-03-01,44437.005,44437.005
2016-04-01,,40881.569437528924
2016-05-01,,35872.411383812745
2016-06-01,31555.81,31555.81
2016-07-01,,28838.225112325166
2016-08-01,,27330.14278223583
2016-09-01,26327.605,26327.605
2016-10-01,,25285.66517829618
2016-11-01,,24442.18467140882
2016-12-01,24563.742,24563.742
2017-01-01,,25948.318871238556
2017-02-01,,27956.195885068024
2017-03-01,29927.347,29927.347
2017-04-01,,31214.630227121896
2017-05-01,,32080.124664774517
2017-06-01,32876.793,32876.793
2017-07-01,,33647.12019168169
2017-08-01,,34704.16049607162
2017-09-01,36122.094,36122.094
