fecha,y_obs,y_pred
2006-01-01,,13838.938
2006-02-01,,13838.938
2006-03-01,13838.938,13838.938
2006-04-01,,15703.658574442496
2006-05-01,,15101.887106364933
2006-06-01,13832.021,13832.021
2006-07-01,,13087.429904098111
2006-08-01,,13400.07933304346
2006-09-01,14137.444,14137.444
2006-10-01,,14530.551330845847
2006-11-01,,14299.570651623753
2006-12-01,13605.866,13605.866
2007-01-01,,13139.095497513761
2007-02-01,,13229.72691115357
2007-03-01,13765.999,13765.999
2007-04-01,,14335.198174492674
2007-05-01,,14678.009169094454
2007-06-01,15163.165,15163.165
2007-07-01,,15204.47548106026
2007-08-01,,15306.681048263084
2007-09-01,15461.092,15461.092
2007-10-01,,15427.664867524953
2007-11-01,,15299.237985706986
2007-12-01,15303.819,15303.819
2008-01-01,,15408.449335171907
2008-02-01,,15702.282738642763
2008-03-01,16158.496,16158.496
2008-04-01,,16559.660499226775
2008-05-01,,16976.013532502566
2008-06-01,17797.308,17797.308
2008-07-01,,18334.24495035047
2008-08-01,,18870.914318334297
2008-09-01,19332.682,19332.682
2008-10-01,,19618.3691654333
2008-11-01,,19800.771453398997
2008-12-01,19649.285,19649.285
2009-01-01,,19400.96452019533
2009-02-01,,19125.408053817642
2009-03-01,18862.542,18862.542
2009-04-01,,18836.51086430394
2009-05-01,,18820.812701453913
2009-06-01,18970.71,18970.71
2009-07-01,,18807.570984805418
2009-08-01,,18607.16868945344
2009-09-01,18378.264,18378.264
2009-10-01,,18214.620409624134
2009-11-01,,18101.22877762987
2009-12-01,18163.539,18163.539
2010-01-01,,18169.86869539525
2010-02-01,,18253.299063244984
2010-03-01,18477.783,18477.783
2010-04-01,,18717.217255667012
2010-05-01,,18972.784290866417
2010-06-01,19469.525,19469.525
2010-07-01,,19686.096050092823
2010-08-01,,19824.874048391444
2010-09-01,20021.048,20021.048
2010-10-01,,20146.568860812473
2010-11-01,,20281.55347740226
2010-12-01,20568.571,20568.571
2011-01-01,,20816.458352761787
2011-02-01,,21124.743034999537
2011-03-01,21531.56,21531.56
2011-04-01,,21889.877622556774
2011-05-01,,22111.208496936604
2011-06-01,22368.243,22368.243
2011-07-01,,22214.61559110066
2011-08-01,,21983.770380426107
2011-09-01,21915.299,21915.299
2011-10-01,,21878.756378395465
2011-11-01,,22250.703647424856
2011-12-01,22778.148,22778.148
2012-01-01,,23296.02658530748
2012-02-01,,23815.822706017752
2012-03-01,24338.842,24338.842
2012-04-01,,24827.13163689997
2012-05-01,,25258.147512241372
2012-06-01,25687.767,25687.767
2012-07-01,,25835.702597562246
2012-08-01,,25868.330537488157
2012-09-01,25973.743,25973.743
2012-10-01,,26113.224235233163
2012-11-01,,26307.709441352697
2012-12-01,26530.301,26530.301
2013-01-01,,26678.776754993185
2013-02-01,,26729.80696748781
2013-03-01,26754.339,26754.339
2013-04-01,,26770.80763548036
2013-05-01,,26821.55105312529
2013-06-01,27027.301,27027.301
2013-07-01,,27219.471982184336
2013-08-01,,27393.295385874637
2013-09-01,27505.533,27505.533
2013-10-01,,27502.266428400766
2013-11-01,,27436.472116748606
2013-12-01,27411.577,27411.577
2014-01-01,,27350.68346709846
2014-02-01,,27273.562699691283
2014-03-01,27039.753,27039.753
2014-04-01,,26613.511549168015
2014-05-01,,26122.13392548483
2014-06-01,25812.092,25812.092
2014-07-01,,25694.94442715335
2014-08-01,,25768.081291005554
2014-09-01,25897.181,25897.181
2014-10-01,,26001.387444715
2014-11-01,,26078.292606118528
2014-12-01,26233.076,26233.076
2015-01-01,,26507.258691679068
2015-02-01,,26876.67086117241
2015-03-01,27252.151,27252.151
2015-04-01,,27572.10224683968
2015-05-01,,27843.605227527074
2015-06-01,28178.406,28178.406
2015-07-01,,28410.099394716075
2015-08-01,,28502.996446978683
2015-09-01,28363.029,28363.029
2015-10-01,,27888.86233787377
2015-11-01,,27352.133240494994
2015-12-01,26931.848,26931.848
2016-01-01,,26978.73317958418
2016-02-01,,26908.52086480492
2016-03-01,26794.608,26794.608
2016-04-01,,26410.10138242969
2016-05-01,,25922.8055335607
2016-06-01,25627.868,25627.868
2016-07-01,,25432.72059043472
2016-08-01,,25152.719559834444
2016-09-01,24550.627,24550.627
2016-10-01,,23457.575566299536
2016-11-01,,22260.129635725276
2016-12-01,21544.92,21544.92
2017-01-01,,21632.034218645324
2017-02-01,,22140.944562280394
2017-03-01,22636.494,22636.494
2017-04-01,,22755.957142691077
2017-05-01,,22642.289090215876
2017-06-01,22603.327,22603.327
2017-07-01,,22833.68870281632
2017-08-01,,23288.81713822036
2017-09-01,23713.851,23713.851
2017-10-01,,23892.439841041218
2017-11-01,,23873.055952368457
2017-12-01,23793.597,23793.597
2018-01-01,,23764.200587861582
2018-02-01,,23765.478560355314
2018-03-01,23794.891,23794.891
2018-04-01,,23694.099091682725
2018-05-01,,23532.98063104732
2018-06-01,23322.521,23322.521
2018-07-01,,23018.828598908774
2018-08-01,,22860.886296372057
2018-09-01,22947.835,22947.835
2018-10-01,,23160.110716306626
2018-11-01,,23445.48437720612
2018-12-01,23735.318,23735.318
2019-01-01,,23783.304557746418
2019-02-01,,23749.987702178496
2019-03-01,23685.467,23685.467
2019-04-01,,23632.475227959032
2019-05-01,,23633.871873156924
2019-06-01,23729.369,23729.369
2019-07-01,,23727.987229372833
2019-08-01,,23617.822427190913
2019-09-01,23076.032,23076.032
2019-10-01,,22596.242898565783
2019-11-01,,22398.237121645765
2019-12-01,22933.366,22933.366
2020-01-01,,24503.908689172466
2020-02-01,,26339.95001985425
2020-03-01,32010.075,32010.075
2020-04-01,,32255.52925057318
2020-05-01,,31714.279943698544
2020-06-01,30944.18,30944.18
2020-07-01,,30755.928532177226
2020-08-01,,31082.56020681578
2020-09-01,31539.435,31539.435
2020-10-01,,32023.27363931902
2020-11-01,,31984.539405324966
2020-12-01,31753.237,31753.237
2021-01-01,,31652.136740899878
2021-02-01,,31870.418257955025
2021-03-01,32763.365,32763.365
2021-04-01,,30082.656777280015
2021-05-01,,32004.026859492646
2021-06-01,33342.387,33342.387
2021-07-01,,33564.80114532994
2021-08-01,,33014.735559071036
2021-09-01,32294.859,32294.859
2021-10-01,,31927.96186812264
2021-11-01,,32014.576893288733
2021-12-01,32311.352,32311.352
2022-01-01,,32985.364337958796
2022-02-01,,33594.70148484966
2022-03-01,34108.139,34108.139
2022-04-01,,34795.006537454436
2022-05-01,,35774.51736075762
2022-06-01,37135.959,37135.959
2022-07-01,,39173.15961169308
2022-08-01,,40450.781238257325
2022-09-01,41211.579,41211.579
2022-10-01,,40998.18089261549
2022-11-01,,40275.36030821637
2022-12-01,39772.824,39772.824
2023-01-01,,39849.497425090136
2023-02-01,,40474.63247555633
2023-03-01,41519.846,41519.846
2023-04-01,,42801.08953876223
2023-05-01,,44057.50326941078
2023-06-01,45208.164,45208.164
2023-07-01,,46114.3947775167
2023-08-01,,47658.89239591169
2023-09-01,48670.884,48670.884
2023-10-01,,50137.48320939104
2023-11-01,,50724.607225303946
2023-12-01,51901.627,51901.627
2024-01-01,,54415.48521963648
2024-02-01,,54923.726470982205
2024-03-01,54513.053,54513.053
2024-04-01,,54142.983984100916
2024-05-01,,54357.74171545657
2024-06-01,55323.383,55323.383
2024-07-01,,56024.02157516849
2024-08-01,,56156.7662680679
2024-09-01,56144.942,56144.942
2024-10-01,,55704.34630282044
2024-11-01,,54954.09266068728
2024-12-01,54434.586,54434.586
2025-01-01,,54439.567146211106
2025-02-01,,54363.17470082443
2025-03-01,54869.019,54869.019
2025-04-01,,55152.65190453172
2025-05-01,,55397.214284850656
2025-06-01,56657.162,56657.162
2025-07-01,,58289.196991742574
2025-08-01,,59169.26739323155
2025-09-01,59505.056,59505.056
2025-10-01,,58352.021135727395
2025-11-01,,55934.21168156271
2025-12-01,54419.452,54419.452
