fecha,fbkf_total,construcciones,otras_construcciones,maq_equipo,maq_nacional,maq_importado,eq_transporte,transp_nacional,transp_importado,otros_activos
2004-03-01,65561.35320695453,33864.83712961806,6691.417705849134,19300.72317085576,9005.33179954415,10295.391371311607,5318.4896839100875,3267.2084323129484,2051.2812515971386,385.8855167214926
2004-06-01,80070.02806461295,37502.23590392182,8321.2213873596,25884.325109327776,12519.152747196187,13365.172362131589,7953.624413347774,5211.1962232048345,2742.428190142939,408.62125065598013
2004-09-01,82294.8183003922,40227.53976152375,9033.563155794285,24877.552982431545,11810.36954212107,13067.183440310473,7728.7524822887535,4505.968827502044,3222.7836547867087,427.4099183538828
2004-12-01,80486.50888039765,42459.50381402258,7241.008737910839,24274.55306828933,10908.587403063635,13365.965665225694,6070.313078707959,3753.3465415497094,2316.9665371582496,441.13018146696004
2005-03-01,88292.80899623311,44598.70950650627,9735.256248650923,24880.24413729417,12219.297124337561,12660.947012956609,8661.972657877242,5833.310051803397,2828.6626060738463,416.6264459045215
2005-06-01,104017.9437655482,48479.43653536621,11069.89329669892,32260.515472285355,16280.339153911702,15980.176318373651,11740.969937051412,7783.610460029151,3957.3594770222608,467.1285241463094
2005-09-01,103532.80505222286,49009.76873464213,11515.030173475263,31364.440800728535,15610.099015748188,15754.341784980346,11152.323525987838,7470.148165621898,3682.1753603659395,491.24181738909147
2005-12-01,108464.65877516926,53686.16253995342,9258.588625992206,33257.7721912972,16034.949494299608,17222.82269699759,11718.366608970802,6659.0637232555155,5059.302885715288,543.7688089556532
2006-03-01,116110.67319549512,57531.56152852033,11768.713261184581,34824.58016666325,16115.223741234022,18709.35642542922,11432.374787094117,7915.022658996946,3517.3521280971704,553.4434520328521
2006-06-01,130833.71283691305,61794.99108408369,14130.605510754487,40430.89637088826,20353.46616120104,20077.43020968722,13942.618612296239,9485.02860659951,4457.590005696729,534.6012588903711
2006-09-01,139597.73830184387,67352.01049277867,14105.308558519451,43401.7106482111,22030.956625806924,21370.754022404177,14172.199492638869,9895.916940730805,4276.2825519080625,566.5091096957799
2006-12-01,138392.87072482545,70463.6383583504,10455.979710148915,42650.62650676501,21795.695617271485,20854.930889493528,14221.19842596259,9796.529346695339,4424.669079267251,601.4277235985277
2007-03-01,148228.49189903785,70084.54015816153,14450.900341714245,48693.85707072733,20018.29897706554,28675.558093661795,14417.47262797785,10554.595819666081,3862.876808311769,581.7217004569017
2007-06-01,170803.77769164724,76146.91564044441,17697.637224204645,58450.44283371659,26463.37524723507,31987.06758648152,17912.959832199624,12493.154930208426,5419.804901991196,595.8221610819879
2007-09-01,189101.60950229838,87280.63344713402,17504.26367042988,64403.93091619842,27782.46462586616,36621.46629033226,19281.11152418104,13699.765513001317,5581.346011179723,631.6699443550328
