fecha,y_obs,y_pred
2004-01-01,,305237.1734056582
2004-02-01,,305237.1734056582
2004-03-01,305237.1734056582,305237.1734056582
2004-04-01,,299405.8470593813
2004-05-01,,328887.7781955738
2004-06-01,338800.0016764252,338800.0016764252
2004-07-01,,303048.748671859
2004-08-01,,285535.79000150115
2004-09-01,310440.5741314673,310440.5741314673
2004-10-01,,310449.64059832535
2004-11-01,,291701.2445507044
2004-12-01,293849.7939520492,293849.7939520492
2005-01-01,,309440.99590818316
2005-02-01,,302946.05693456554
2005-03-01,319799.76251832145,319799.76251832145
2005-04-01,,331881.5102385659
2005-05-01,,392654.0331899163
2005-06-01,385778.0721106242,385778.0721106242
2005-07-01,,324416.17983296944
2005-08-01,,299059.66024690197
2005-09-01,323831.3656613597,323831.3656613597
2005-10-01,,340186.7059083154
2005-11-01,,322413.15907816816
2005-12-01,311201.9350682639,311201.9350682639
2006-01-01,,329641.7745365136
2006-02-01,,336270.35327183024
2006-03-01,354888.1198370661,354888.1198370661
2006-04-01,,353876.831687214
2006-05-01,,417750.5126075467
2006-06-01,412814.6666905762,412814.6666905762
2006-07-01,,355822.2254927972
2006-08-01,,341266.24783547135
2006-09-01,372993.0937998369,372993.0937998369
2006-10-01,,384376.1811249143
2006-11-01,,355397.91410441516
2006-12-01,346795.7535121445,346795.7535121445
2007-01-01,,364339.84968274704
2007-02-01,,367645.7829176255
2007-03-01,394546.92237347405,394546.92237347405
2007-04-01,,399823.33926321624
2007-05-01,,463476.0753307421
2007-06-01,444046.11165498366,444046.11165498366
2007-07-01,,395846.2888724599
2007-08-01,,384463.0088601225
2007-09-01,403183.03818433546,403183.03818433546
2007-10-01,,428531.0727060857
2007-11-01,,407236.671842021
2007-12-01,384630.0788041762,384630.0788041762
2008-01-01,,402936.7795582495
2008-02-01,,418104.8008743274
2008-03-01,434706.92070959473,434706.92070959473
2008-04-01,,443829.3006047272
2008-05-01,,488403.7299220017
2008-06-01,485578.4593545365,485578.4593545365
2008-07-01,,451210.98396847927
2008-08-01,,410534.245063361
2008-09-01,425312.74440875015,425312.74440875015
2008-10-01,,435159.2612637517
2008-11-01,,413011.79690093145
2008-12-01,398635.44285744097,398635.44285744097
2009-01-01,,383076.9035470533
2009-02-01,,379250.22278312035
