fecha,y_obs,y_pred
2004-01-01,,291078.333800275
2004-02-01,,291894.8424812506
2004-03-01,291921.51061212993,292791.35555486416
2004-04-01,,293390.9048155499
2004-05-01,,324462.0811635345
2004-06-01,334394.6589260316,336949.4097146431
2004-07-01,,305855.86873384006
2004-08-01,,289705.8067302769
2004-09-01,314867.0802768507,316310.7717901424
2004-10-01,,323025.67401676916
2004-11-01,,305184.8846384049
2004-12-01,307144.29254431714,308246.7461021516
2005-01-01,,315175.0869527982
2005-02-01,,311753.239979523
2005-03-01,329383.7353533508,333328.4866595377
2005-04-01,,341078.2877186
2005-05-01,,408269.3057264354
2005-06-01,400294.0050575111,403293.7386993841
2005-07-01,,367666.28928619245
2005-08-01,,342116.146036821
2005-09-01,370307.8875171746,373465.8473052702
2005-10-01,,399058.04526102537
2005-11-01,,382086.69379314635
2005-12-01,368695.44949314673,372228.61061728623
2006-01-01,,386474.41723026324
2006-02-01,,398855.1301844814
2006-03-01,420680.0728499129,425028.86980680353
2006-04-01,,401033.64955755416
2006-05-01,,478678.7652059437
2006-06-01,472564.9706164539,476846.472131335
2006-07-01,,445638.4891408911
2006-08-01,,429670.5699476583
2006-09-01,469727.0024640951,472421.2074868368
2006-10-01,,493251.673670665
2006-11-01,,460077.196164941
2006-12-01,448843.869825391,452563.76538568875
2007-01-01,,463316.77382093534
2007-02-01,,472339.4797823622
2007-03-01,506621.02800736926,511231.9555330501
2007-04-01,,515155.58886719524
2007-05-01,,601649.5748958421
2007-06-01,576216.8994114009,580088.8574205665
2007-07-01,,575927.1261699665
2007-08-01,,561939.5941486406
2007-09-01,589438.2317749023,592411.9395987848
2007-10-01,,631729.9049988801
2007-11-01,,604893.1768204998
2007-12-01,571294.8880208705,575558.2766483574
2008-01-01,,619429.9380715833
2008-02-01,,648708.6279540878
2008-03-01,674136.7572386977,679672.8994995503
2008-04-01,,712251.1414172797
2008-05-01,,791746.7021923728
2008-06-01,786479.2578574801,793021.4752995857
2008-07-01,,776637.4940440141
2008-08-01,,710463.794227753
2008-09-01,735708.4201722438,739025.3496092601
2008-10-01,,765249.2469524392
2008-11-01,,729805.1971695037
2008-12-01,704213.4972490029,707218.4848057536
2009-01-01,,692890.247293263
2009-02-01,,688720.2362773942
2009-03-01,745582.8054341255,749021.7029364926
2009-04-01,,761718.4611129282
2009-05-01,,800869.4651988636
2009-06-01,783242.3632669935,786383.6470146009
2009-07-01,,787457.0204172488
2009-08-01,,773012.6378898219
2009-09-01,811737.1386526237,816768.629990438
2009-10-01,,845557.0287232744
2009-11-01,,819345.1892260857
2009-12-01,803128.6445520653,809476.432428106
2010-01-01,,860081.6418141491
2010-02-01,,864582.2172628938
2010-03-01,955921.0598624218,965994.0057839184
2010-04-01,,1013440.6566501413
2010-05-01,,1121006.003822534
2010-06-01,1074344.6816862894,1083826.1968811564
2010-07-01,,1075335.9954138438
2010-08-01,,1073747.4293451956
2010-09-01,1099323.1538208912,1107798.2189245892
2010-10-01,,1129485.7566843529
2010-11-01,,1145756.3284588996
2010-12-01,1139978.0110894735,1148958.7437432322
2011-01-01,,1155016.9708390816
2011-02-01,,1137611.1244279537
2011-03-01,1263267.5585228135,1272775.7044076482
