fecha,y_obs,y_pred
2004-01-01,,49687.34219058054
2004-02-01,,49687.34219058054
2004-03-01,49687.34219058054,49687.34219058054
2004-04-01,,54490.53734407661
2004-05-01,,54872.935604309256
2004-06-01,52072.27795725742,52072.27795725742
2004-07-01,,50409.500684205515
2004-08-01,,50915.754349281786
2004-09-01,53720.816256870574,53720.816256870574
2004-10-01,,57930.63211634423
2004-11-01,,61681.94269173333
2004-12-01,60194.71817543847,60194.71817543847
2005-01-01,,55708.11736916329
2005-02-01,,51853.17448486886
2005-03-01,54179.35547164225,54179.35547164225
2005-04-01,,56645.411478290895
2005-05-01,,59366.33635957563
2005-06-01,58212.17198611024,58212.17198611024
2005-07-01,,56831.04417946669
2005-08-01,,57034.44472614133
2005-09-01,58977.83929305516,58977.83929305516
2005-10-01,,62847.16798434056
2005-11-01,,66868.75588379503
2005-12-01,65561.51262271135,65561.51262271135
2006-01-01,,60368.506976995355
2006-02-01,,55517.07520285279
2006-03-01,56878.87961277132,56878.87961277132
2006-04-01,,58465.89296012734
2006-05-01,,61124.34335245236
2006-06-01,60002.96256628369,60002.96256628369
2006-07-01,,58786.98479598597
2006-08-01,,59043.55152149268
2006-09-01,60840.091459644784,60840.091459644784
2006-10-01,,65109.6135929748
2006-11-01,,69070.64311030575
2006-12-01,68028.75217628879,68028.75217628879
2007-01-01,,63272.03132141984
2007-02-01,,59090.81276323933
2007-03-01,61224.20472292366,61224.20472292366
2007-04-01,,63248.938816127185
2007-05-01,,66591.47897126211
2007-06-01,65259.863868160544,65259.863868160544
2007-07-01,,63761.094002250815
2007-08-01,,63877.21490866514
2007-09-01,65411.56329630151,65411.56329630151
2007-10-01,,70323.33873077734
2007-11-01,,74455.31958366357
2007-12-01,73096.78847365975,73096.78847365975
2008-01-01,,68131.13175624007
2008-02-01,,62954.796962639295
2008-03-01,63538.090213852025,63538.090213852025
2008-04-01,,67102.55852292216
2008-05-01,,70302.99152426852
2008-06-01,69148.37939277048,69148.37939277048
2008-07-01,,68405.94667616455
2008-08-01,,67647.41651045112
2008-09-01,69622.82939732778,69622.82939732778
2008-10-01,,73692.8551418464
2008-11-01,,77223.67969766412
2008-12-01,75972.69916694464,75972.69916694464
2009-01-01,,70387.74097243762
2009-02-01,,65210.844583064485
2009-03-01,65839.05478030315,65839.05478030315
2009-04-01,,67807.82952378495
2009-05-01,,70680.8890144114
2009-06-01,71368.48936247379,71368.48936247379
2009-07-01,,71459.15560199914
2009-08-01,,71604.00594289448
2009-09-01,74331.01172110844,74331.01172110844
2009-10-01,,79161.37806906874
2009-11-01,,83611.43593031463
2009-12-01,82422.55744733862,82422.55744733862
2010-01-01,,76284.0368743113
2010-02-01,,70000.05737316686
2010-03-01,70569.0067685535,70569.0067685535
2010-04-01,,73324.69304345084
2010-05-01,,77329.23055091586
2010-06-01,77185.40145097743,77185.40145097743
2010-07-01,,75314.20125728595
2010-08-01,,74646.13929569445
2010-09-01,76311.35500675494,76311.35500675494
2010-10-01,,80905.58367088616
2010-11-01,,86564.86054710858
2010-12-01,85922.6262566636,85922.6262566636
2011-01-01,,79988.65625213293
2011-02-01,,73485.24103074642
2011-03-01,74065.61550360995,74065.61550360995
2011-04-01,,76149.40163178439
2011-05-01,,80760.07957148484
2011-06-01,80830.22216387503,80830.22216387503
2011-07-01,,79577.64214231429
2011-08-01,,79833.34000075453
2011-09-01,81814.12347117398,81814.12347117398
2011-10-01,,84594.83069027637
2011-11-01,,88805.34918389082
2011-12-01,87429.11790493385,87429.11790493385
2012-01-01,,81748.3520697637
2012-02-01,,76151.49549715262
2012-03-01,77065.36011865595,77065.36011865595
2012-04-01,,78389.2574718501
2012-05-01,,82349.52727264813
2012-06-01,82453.8409794096,82453.8409794096
2012-07-01,,82454.546649884
2012-08-01,,82663.93596402206
2012-09-01,84029.38424119438,84029.38424119438
2012-10-01,,88499.93949088905
2012-11-01,,91917.05620076196
2012-12-01,90344.7981817684,90344.7981817684
2013-01-01,,84839.05715018538
2013-02-01,,79589.7811253505
2013-03-01,80963.0147224332,80963.0147224332
2013-04-01,,83601.60113526726
2013-05-01,,87546.5747844835
2013-06-01,87051.59686787998,87051.59686787998
2013-07-01,,86383.29340704305
2013-08-01,,86272.89714626023
2013-09-01,87994.27213111262,87994.27213111262
2013-10-01,,92582.0132655813
2013-11-01,,96505.71590523873
2013-12-01,95656.26703212564,95656.26703212564
2014-01-01,,90844.22257371372
2014-02-01,,85297.37135812793
2014-03-01,85482.49373199629,85482.49373199629
2014-04-01,,87197.73889204457
2014-05-01,,89875.79954449227
2014-06-01,88842.11971854886,88842.11971854886
2014-07-01,,88004.08398750196
2014-08-01,,88123.08074846047
2014-09-01,90661.5906350518,90661.5906350518
2014-10-01,,94856.70674015064
2014-11-01,,98081.0331518299
2014-12-01,97035.59233375054,97035.59233375054
2015-01-01,,91869.58878151726
2015-02-01,,87214.76410686978
2015-03-01,88812.95550774357,88812.95550774357
2015-04-01,,92019.94810115192
2015-05-01,,96340.9967377467
2015-06-01,97227.65945609038,97227.65945609038
2015-07-01,,96268.45509481028
2015-08-01,,96154.86915596196
2015-09-01,98086.76652572924,98086.76652572924
2015-10-01,,101967.17960349302
2015-11-01,,105194.06613782873
2015-12-01,103040.47142187048,103040.47142187048
2016-01-01,,97390.8803664815
2016-02-01,,90990.44786858943
2016-03-01,90566.2923396524,90566.2923396524
2016-04-01,,91521.88109489692
2016-05-01,,94473.66728204237
2016-06-01,94085.73301934524,94085.73301934524
2016-07-01,,93432.70538163366
2016-08-01,,94607.51681692517
2016-09-01,96873.95781475112,96873.95781475112
2016-10-01,,100843.32405183067
2016-11-01,,105081.5728341522
2016-12-01,103611.65551354598,103611.65551354598
2017-01-01,,97622.51926306516
2017-02-01,,91218.75001760188
2017-03-01,92114.46751726622,92114.46751726622
2017-04-01,,93284.55906464875
2017-05-01,,97937.28775008474
2017-06-01,98369.90612425636,98369.90612425636
2017-07-01,,97364.42280743961
2017-08-01,,97833.35429155946
2017-09-01,99417.58472055016,99417.58472055016
2017-10-01,,103667.72798597268
2017-11-01,,107537.93997004254
2017-12-01,105392.23970881505,105392.23970881505
2018-01-01,,99104.29969387088
2018-02-01,,92080.95887374062
2018-03-01,92056.1938646973,92056.1938646973
2018-04-01,,92974.33136962878
2018-05-01,,97003.28408876283
2018-06-01,97624.1805461115,97624.1805461115
2018-07-01,,97080.17848619621
2018-08-01,,97059.62372851183
2018-09-01,96923.53301497962,96923.53301497962
2018-10-01,,100806.17414290564
2018-11-01,,103465.16605558475
2018-12-01,101213.65943477832,101213.65943477832
2019-01-01,,95340.50162332554
2019-02-01,,88703.1220413599
2019-03-01,87955.88531588462,87955.88531588462
2019-04-01,,89800.51925805034
2019-05-01,,94133.51541352371
2019-06-01,93381.86430890074,93381.86430890074
2019-07-01,,92233.91802593778
2019-08-01,,90401.05354335552
2019-09-01,88666.34984708998,88666.34984708998
2019-10-01,,91992.6300102821
2019-11-01,,94007.8519076848
2019-12-01,92992.64557113076,92992.64557113076
2020-01-01,,90076.59829311537
2020-02-01,,86714.28726561482
2020-03-01,87736.34538102086,87736.34538102086
2020-04-01,,85809.52563514435
2020-05-01,,88356.15926823443
2020-06-01,87928.54480961295,87928.54480961295
2020-07-01,,86338.24013778026
2020-08-01,,85628.44986574686
2020-09-01,86984.63366915208,86984.63366915208
2020-10-01,,90531.28297372155
2020-11-01,,93517.13657040102
2020-12-01,93008.97921282398,93008.97921282398
2021-01-01,,89522.10341238955
2021-02-01,,85576.5398788486
2021-03-01,88352.49582704819,88352.49582704819
2021-04-01,,89228.74545170684
2021-05-01,,92458.56603424829
2021-06-01,93809.85300208704,93809.85300208704
2021-07-01,,93227.36076934112
2021-08-01,,93295.80933715268
2021-09-01,95108.61710826278,95108.61710826278
2021-10-01,,98775.76132130658
2021-11-01,,103388.95154833116
2021-12-01,103726.72779060948,103726.72779060948
2022-01-01,,98786.10877393096
2022-02-01,,94013.91458507522
2022-03-01,94876.31542304972,94876.31542304972
2022-04-01,,96574.4963616774
2022-05-01,,99385.44788483424
2022-06-01,99651.2525239743,99651.2525239743
2022-07-01,,97488.0040270903
2022-08-01,,96188.1020843812
2022-09-01,96128.78873204008,96128.78873204008
2022-10-01,,98352.71648701926
2022-11-01,,101510.98730307489
2022-12-01,100882.28600306352,100882.28600306352
2023-01-01,,97917.18913607238
2023-02-01,,94569.64880984655
2023-03-01,97542.43727411256,97542.43727411256
2023-04-01,,99283.0100193334
2023-05-01,,102574.16599397775
2023-06-01,103634.9210773555,103634.9210773555
2023-07-01,,102137.79988051186
2023-08-01,,100487.43839452759
2023-09-01,99233.2277371567,99233.2277371567
2023-10-01,,100336.71217104376
2023-11-01,,101675.56387001793
