fecha,y_obs,y_pred
2004-01-01,,47034.3495559123
2004-02-01,,47166.28639303462
2004-03-01,47170.59560483134,47311.1508655471
2004-04-01,,52232.507302895385
2004-05-01,,52955.10375449884
2004-06-01,50275.44449939442,50659.54522604817
2004-07-01,,51273.63268775793
2004-08-01,,52062.64158869707
2004-09-01,54912.18830573037,55163.96521477895
2004-10-01,,60659.45698778934
2004-11-01,,64942.223241394306
2004-12-01,63316.92505019085,63544.19272531018
2005-01-01,,61461.387675528604
2005-02-01,,57800.40337294053
2005-03-01,60446.017998914125,61169.92899652068
2005-04-01,,64037.17456599423
2005-05-01,,67900.55521709686
2005-06-01,66443.38670989493,66941.30189192473
2005-07-01,,68054.43668374413
2005-08-01,,68940.18667681138
2005-09-01,71261.08177627633,71868.79130202938
2005-10-01,,80461.79106380806
2005-11-01,,86488.35722180488
2005-12-01,84773.41997248743,85585.79276477141
2006-01-01,,81267.2803058366
2006-02-01,,75610.12632825217
2006-03-01,77417.34897791866,78217.653896963
2006-04-01,,82181.5194394383
2006-05-01,,86872.89060487824
2006-06-01,85196.54755820855,85968.43961562717
2006-07-01,,85056.29606788246
2006-08-01,,85879.6770725947
2006-09-01,88513.6507441167,89021.33695582056
2006-10-01,,99453.0729785606
2006-11-01,,106431.5340886171
2006-12-01,104803.31529002971,105671.8965795626
2007-01-01,,99942.608248774
2007-02-01,,94300.10463665526
2007-03-01,97650.6767050758,98539.42819431373
2007-04-01,,106950.92231219816
2007-05-01,,113447.77193067847
2007-06-01,111138.64568574482,111885.45503779664
2007-07-01,,114760.514325981
2007-08-01,,115498.62518784127
2007-09-01,118300.43627035344,118897.26035461169
2007-10-01,,132682.38463045095
2007-11-01,,141544.24197500007
2007-12-01,138956.88158723252,139993.87176707183
2008-01-01,,138273.4372717179
2008-02-01,,128952.93238310394
2008-03-01,130083.88092501654,131152.15507401046
2008-04-01,,145149.61643195208
2008-05-01,,153617.51155023673
2008-06-01,150962.64473625927,152218.40633153703
2008-07-01,,155503.22301435444
2008-08-01,,154614.6434904706
2008-09-01,159058.12034225065,159775.2312887805
2008-10-01,,180415.20703021565
2008-11-01,,189971.33070880116
2008-12-01,186843.96270206652,187641.25469542795
2009-01-01,,179818.89566369218
2009-02-01,,167261.7525958356
2009-03-01,168925.3136671262,169704.4582973705
2009-04-01,,181441.5563771509
2009-05-01,,190135.0667004743
2009-06-01,191861.73537639627,192631.21897354454
2009-07-01,,190358.35650343815
2009-08-01,,191676.67186217284
2009-09-01,199109.69134876208,200343.85773045436
2009-10-01,,222985.70671482733
2009-11-01,,237314.6749697153
2009-12-01,233980.7892329037,235830.1323327846
2010-01-01,,222983.9236545567
2010-02-01,,206591.29512655208
2010-03-01,208372.304370512,210568.01177941027
2010-04-01,,227235.92010704664
2010-05-01,,242139.33599207518
2010-06-01,241510.39445012668,243641.81885584255
2010-07-01,,249136.8340075566
2010-08-01,,248795.63255020507
2010-09-01,254371.1090246449,256332.14450542306
2010-10-01,,283718.8667619008
2010-11-01,,305886.358881263
2010-12-01,303660.88538640103,306053.1220809077
2011-01-01,,305946.6869566644
2011-02-01,,283325.91967473977
2011-03-01,285502.1205122868,287650.9889716611
2011-04-01,,310238.15275997896
2011-05-01,,331781.5876243699
2011-06-01,332038.1094049824,334736.42505848
2011-07-01,,339390.3634396159
2011-08-01,,343006.5288266897
2011-09-01,351599.40280647663,354352.45571681444
2011-10-01,,382656.365217558
2011-11-01,,404784.51510224986
2011-12-01,398324.9435091351,400986.34481140214
2012-01-01,,396538.9256327002
2012-02-01,,372571.6987924296
2012-03-01,377040.1878550367,380254.7651498315
2012-04-01,,407702.603535072
2012-05-01,,432141.58230731345
2012-06-01,432601.4085457506,436272.73512960935
2012-07-01,,432040.4358798821
2012-08-01,,436371.4275750058
2012-09-01,443703.3803630535,447238.5255095665
2012-10-01,,488485.38859302463
2012-11-01,,511759.0364868
2012-12-01,503024.2596578395,507399.18016534747
2013-01-01,,490880.0598692188
2013-02-01,,465446.9049441847
2013-03-01,473246.44010204246,477808.4239711886
2013-04-01,,516302.1849407248
2013-05-01,,544571.138320772
2013-06-01,541488.8327361692,545365.8208602946
2013-07-01,,551691.6096792476
2013-08-01,,555738.6159016648
2013-09-01,566904.7344858202,571906.9030983478
2013-10-01,,642159.7309366174
2013-11-01,,675071.8189145902
2013-12-01,669258.7393142002,675163.3035133574
2014-01-01,,666115.2299988223
2014-02-01,,638766.0900017631
2014-03-01,643214.1591828825,662689.7071955506
2014-04-01,,713507.8137744847
2014-05-01,,752574.3348628923
2014-06-01,742438.6844282924,756434.0365786201
2014-07-01,,751696.9763953661
2014-08-01,,762815.7047804745
2014-09-01,784978.3922570288,795749.1133062297
2014-10-01,,901341.8435213813
2014-11-01,,944372.6682022384
2014-12-01,933966.6000701392,945547.2303585035
2015-01-01,,897359.4947267285
2015-02-01,,860784.8369399213
2015-03-01,876631.581325372,885833.1594616098
2015-04-01,,975307.3791813704
2015-05-01,,1033910.6690555502
2015-06-01,1042972.2908742313,1054987.5018563045
2015-07-01,,1069294.2756215257
2015-08-01,,1079694.291204786
2015-09-01,1102097.6312524865,1115414.877814771
2015-10-01,,1259930.4593193706
2015-11-01,,1314808.955227288
2015-12-01,1288978.4753488768,1305851.7065839819
2016-01-01,,1240209.9580346218
2016-02-01,,1195567.3813779126
2016-03-01,1193932.8375958716,1238501.078063928
2016-04-01,,1298798.1809749384
2016-05-01,,1379795.350579502
2016-06-01,1376059.3251136823,1418866.3187745826
2016-07-01,,1410782.1916705095
2016-08-01,,1472054.247300597
2016-09-01,1501568.822777981,1534644.1258399894
2016-10-01,,1667395.1548426864
2016-11-01,,1757632.279569972
2016-12-01,1739026.463156331,1770865.3123507928
2017-01-01,,1677572.5085257846
2017-02-01,,1586595.137117796
2017-03-01,1603692.4033928665,1625981.9731838873
2017-04-01,,1694317.6574666745
2017-05-01,,1822467.200754307
2017-06-01,1830346.0750884411,1873838.3577965864
2017-07-01,,1837310.3556060507
2017-08-01,,1869414.2911556927
2017-09-01,1901772.384216524,1929576.7083601628
2017-10-01,,2137023.573090255
2017-11-01,,2256800.787164252
2017-12-01,2210306.45177919,2246575.4839719087
2018-01-01,,2028314.8867540183
2018-02-01,,1934553.950880846
2018-03-01,1930980.5490368265,1974842.930196893
2018-04-01,,2072484.1312813316
2018-05-01,,2213914.7900302457
2018-06-01,2229720.342227144,2284941.8755108356
2018-07-01,,2198160.0006886767
2018-08-01,,2273464.90455536
2018-09-01,2269535.2994457465,2343715.578905365
2018-10-01,,2720515.7669353783
2018-11-01,,2959909.6980021414
2018-12-01,2891490.421296306,3047459.380297637
2019-01-01,,3074672.506060812
2019-02-01,,2935045.860606476
2019-03-01,2915482.66024309,2999603.825692772
2019-04-01,,3198524.688910212
2019-05-01,,3502126.064100681
2019-06-01,3465044.413600717,3594886.039184534
2019-07-01,,3562323.7767526153
2019-08-01,,3585211.550165102
2019-09-01,3514717.5114464457,3603202.8954180717
2019-10-01,,4042647.0157746025
2019-11-01,,4349421.045163366
2019-12-01,4284383.629432993,4464106.924772011
2020-01-01,,4107080.381678906
2020-02-01,,4091972.745288968
