fecha,y_obs,y_pred
2004-01-01,,102774.20298138498
2004-02-01,,102774.20298138498
2004-03-01,102774.20298138498,102774.20298138498
2004-04-01,,94539.65239563976
2004-05-01,,111571.94103677687
2004-06-01,119462.27741173614,119462.27741173614
2004-07-01,,122558.76389072779
2004-08-01,,121473.2005398378
2004-09-01,119619.17122810414,119619.17122810414
2004-10-01,,116794.19654655567
2004-11-01,,118541.32744130772
2004-12-01,120898.05016710555,120898.05016710555
2005-01-01,,114370.97341468176
2005-02-01,,106487.99968697617
2005-03-01,119186.92694656596,119186.92694656596
2005-04-01,,126126.77243195401
2005-05-01,,144444.72859069184
2005-06-01,138217.54798367393,138217.54798367393
2005-07-01,,133232.84476177857
2005-08-01,,135676.6882925583
2005-09-01,135432.69307676284,135432.69307676284
2005-10-01,,131053.50952268072
2005-11-01,,130166.96131031403
2005-12-01,129550.81848020396,129550.81848020396
2006-01-01,,120222.63437125916
2006-02-01,,112455.55301343079
2006-03-01,125801.74305657322,125801.74305657322
2006-04-01,,129481.37972654251
2006-05-01,,148194.11895326944
2006-06-01,141431.39484319702,141431.39484319702
2006-07-01,,136583.95797884103
2006-08-01,,139124.65288576848
2006-09-01,139275.06000824485,139275.06000824485
2006-10-01,,142236.3480710765
2006-11-01,,144347.48275040364
2006-12-01,144930.84608108603,144930.84608108603
2007-01-01,,131410.2250701332
2007-02-01,,118475.16015400358
2007-03-01,129994.2930727219,129994.2930727219
2007-04-01,,133930.85483209067
2007-05-01,,158570.90739578148
2007-06-01,151852.51450331474,151852.51450331474
2007-07-01,,148647.38395048925
2007-08-01,,154200.1014458219
2007-09-01,153959.99205222024,153959.99205222024
2007-10-01,,161320.0352368993
2007-11-01,,162675.94846383503
2007-12-01,160654.2198809369,160654.2198809369
2008-01-01,,151382.49277403927
2008-02-01,,137491.86276036804
2008-03-01,138205.65471421785,138205.65471421785
2008-04-01,,148799.479473604
2008-05-01,,160262.07288329318
2008-06-01,147769.55715328988,147769.55715328988
2008-07-01,,154309.3443418177
2008-08-01,,160083.1564086313
2008-09-01,169221.27116816866,169221.27116816866
2008-10-01,,166265.58251175866
2008-11-01,,154332.3623407565
2008-12-01,145677.599528055,145677.599528055
2009-01-01,,129113.2979636195
2009-02-01,,118911.39581844257
2009-03-01,127658.2065877633,127658.2065877633
2009-04-01,,132505.67074166163
2009-05-01,,147121.2394047454
2009-06-01,147851.62921163163,147851.62921163163
2009-07-01,,143573.59995039244
2009-08-01,,133104.1356033627
2009-09-01,131625.13245280625,131625.13245280625
2009-10-01,,133597.86379416712
2009-11-01,,137104.27092329127
2009-12-01,137574.77413312762,137574.77413312762
2010-01-01,,124592.13069197364
2010-02-01,,111196.87227916192
2010-03-01,124821.26202219725,124821.26202219725
2010-04-01,,141157.437655093
2010-05-01,,171857.77175326977
2010-06-01,175584.32821404992,175584.32821404992
2010-07-01,,170366.7892052405
2010-08-01,,170249.08653033408
2010-09-01,168049.6179071699,168049.6179071699
2010-10-01,,160364.56417910222
2010-11-01,,159438.8208708606
2010-12-01,151952.376643681,151952.376643681
2011-01-01,,136924.11999487132
2011-02-01,,123216.75220574501
2011-03-01,138279.54794538196,138279.54794538196
2011-04-01,,144897.58950525295
2011-05-01,,173577.75252168952
2011-06-01,170971.27052045267,170971.27052045267
2011-07-01,,164991.7174471524
2011-08-01,,169868.11168070947
2011-09-01,172841.45085261774,172841.45085261774
2011-10-01,,170623.80186414914
2011-11-01,,170214.65046411654
2011-12-01,164054.87715450366,164054.87715450366
2012-01-01,,148732.66626973904
2012-02-01,,135344.42359394976
2012-03-01,145984.1028063894,145984.1028063894
2012-04-01,,140734.9700543267
2012-05-01,,160170.88895408547
2012-06-01,155692.76464038188,155692.76464038188
2012-07-01,,160356.17193358575
2012-08-01,,165216.5785820737
2012-09-01,164111.32295096805,164111.32295096805
2012-10-01,,168829.36292865733
2012-11-01,,163217.05321257666
2012-12-01,153813.21961273107,153813.21961273107
2013-01-01,,134631.55769470055
2013-02-01,,118382.025421853
2013-03-01,131767.05473088424,131767.05473088424
2013-04-01,,144181.99674023094
2013-05-01,,172383.31235109296
2013-06-01,168720.23462672776,168720.23462672776
2013-07-01,,167100.77777475165
2013-08-01,,164490.31177591084
2013-09-01,159733.6322501896,159733.6322501896
2013-10-01,,156538.44299190404
2013-11-01,,146584.7704554669
2013-12-01,137569.02973944266,137569.02973944266
2014-01-01,,124924.78752304999
2014-02-01,,110041.09095389738
2014-03-01,119113.81889969678,119113.81889969678
2014-04-01,,131720.78477084823
2014-05-01,,156620.50747878954
2014-06-01,152688.83294255967,152688.83294255967
2014-07-01,,148120.5163667467
2014-08-01,,144313.6300897281
2014-09-01,147198.696369442,147198.696369442
2014-10-01,,147604.52685523644
2014-11-01,,141451.29377563862
2014-12-01,137067.84127832402,137067.84127832402
2015-01-01,,119525.71021195328
2015-02-01,,105648.81702930394
2015-03-01,116284.29138088349,116284.29138088349
2015-04-01,,125384.88778648383
2015-05-01,,147283.79394992802
2015-06-01,149591.7080612978,149591.7080612978
2015-07-01,,145151.24841995657
2015-08-01,,145752.57974428424
2015-09-01,147404.70503841515,147404.70503841515
2015-10-01,,144538.30150016636
2015-11-01,,136562.17694980756
2015-12-01,127344.36995735196,127344.36995735196
2016-01-01,,115291.59121398389
2016-02-01,,114673.55964943918
2016-03-01,133430.07456094024,133430.07456094024
2016-04-01,,137983.1984136951
2016-05-01,,155493.35285907806
2016-06-01,148260.210877463,148260.210877463
2016-07-01,,141390.22038023616
2016-08-01,,146637.91061107413
2016-09-01,146914.03159839427,146914.03159839427
2016-10-01,,144328.56632298452
2016-11-01,,146324.6977120767
2016-12-01,140767.70716094368,140767.70716094368
2017-01-01,,128312.34194842514
2017-02-01,,115938.82066765238
2017-03-01,134667.57440605693,134667.57440605693
2017-04-01,,130096.31003084769
2017-05-01,,153910.42485472036
2017-06-01,150287.5619987416,150287.5619987416
2017-07-01,,145300.892907335
2017-08-01,,152935.30030446142
2017-09-01,153867.07257565853,153867.07257565853
2017-10-01,,156210.97510609985
2017-11-01,,155152.75249145995
2017-12-01,145441.11931488177,145441.11931488177
2018-01-01,,137284.8697085957
2018-02-01,,128608.23548633678
2018-03-01,144939.93221966934,144939.93221966934
2018-04-01,,135220.27678904065
2018-05-01,,145632.53761604987
2018-06-01,137726.1206501707,137726.1206501707
2018-07-01,,138098.29371649513
2018-08-01,,147948.0391555541
2018-09-01,144474.37418546676,144474.37418546676
2018-10-01,,159094.16669777693
2018-11-01,,162851.36659271148
2018-12-01,160897.22038331695,160897.22038331695
2019-01-01,,153828.95776518804
2019-02-01,,140742.59406652767
2019-03-01,145979.48694396392,145979.48694396392
2019-04-01,,148170.7789956303
2019-05-01,,169843.13030648124
2019-06-01,159369.0737788398,159369.0737788398
2019-07-01,,164038.491664069
2019-08-01,,166479.60902472417
2019-09-01,166474.0916804299,166474.0916804299
2019-10-01,,178501.13049532272
2019-11-01,,174720.22845348445
2019-12-01,173554.69540591474,173554.69540591474
2020-01-01,,169097.71987433068
2020-02-01,,157566.18011027834
2020-03-01,139323.35480735445,139323.35480735445
2020-04-01,,112507.30124872303
2020-05-01,,133375.62463558654
2020-06-01,136593.32836722894,136593.32836722894
2020-07-01,,133960.17936849216
2020-08-01,,134575.27734880822
2020-09-01,136347.82248110077,136347.82248110077
2020-10-01,,134336.66695194936
2020-11-01,,125112.12828759107
2020-12-01,120573.80620850837,120573.80620850837
2021-01-01,,113746.39101083591
2021-02-01,,103970.7407816205
2021-03-01,125271.19242964438,125271.19242964438
2021-04-01,,133788.23572551104
2021-05-01,,141935.26165382337
2021-06-01,146242.5639765279,146242.5639765279
2021-07-01,,148188.26694340186
2021-08-01,,156657.11577451802
2021-09-01,161505.1882138258,161505.1882138258
2021-10-01,,153606.1139001977
2021-11-01,,148876.94807218167
2021-12-01,144860.42838246087,144860.42838246087
2022-01-01,,127875.43894238441
2022-02-01,,119816.59950860102
2022-03-01,135342.64275390125,135342.64275390125
2022-04-01,,140552.61836612076
2022-05-01,,155110.864926946
2022-06-01,157619.70172501824,157619.70172501824
2022-07-01,,152025.90243678787
2022-08-01,,156090.9299973132
2022-09-01,157115.5484099105,157115.5484099105
2022-10-01,,155924.77127566515
2022-11-01,,158713.76441972185
2022-12-01,154135.0314240797,154135.0314240797
2023-01-01,,139680.75273738438
2023-02-01,,117422.812733703
2023-03-01,127674.19005307504,127674.19005307504
2023-04-01,,118915.63824617853
2023-05-01,,130643.10844693132
2023-06-01,138008.10350854392,138008.10350854392
2023-07-01,,141864.07498295943
2023-08-01,,147966.27470133576
2023-09-01,144580.7404917696,144580.7404917696
2023-10-01,,143400.98232794524
