fecha,y_obs,y_pred
2004-01-01,,99712.91339915701
2004-02-01,,99992.61975288256
2004-03-01,100001.7552903517,100299.73271901552
2004-04-01,,94872.51673122063
2004-05-01,,112722.66670074528
2004-06-01,120749.89710227487,121672.41750328113
2004-07-01,,122954.73230935335
2004-08-01,,122510.60258396051
2004-09-01,120599.67062461987,121152.6300538287
2004-10-01,,116750.29433262146
2004-11-01,,119147.61811790327
2004-12-01,121402.37877108427,121838.13645128417
2005-01-01,,110458.56292758757
2005-02-01,,103909.64970951645
2005-03-01,116402.46462199277,117796.51880584126
2005-04-01,,125503.40067844163
2005-05-01,,145417.12691159008
2005-06-01,138861.52384866087,139902.12795311335
2005-07-01,,138535.63071223235
2005-08-01,,142403.23296875297
2005-09-01,142090.958869115,143302.7006372128
2005-10-01,,144542.84077441605
2005-11-01,,145037.10369525812
2005-12-01,144309.47515352926,145692.3743136853
2006-01-01,,135629.36418633084
2006-02-01,,128350.1811500788
2006-03-01,143494.78432027518,144978.167350886
2006-04-01,,149607.46666951274
2006-05-01,,173131.22662626216
2006-06-01,165070.51189350447,166566.07269610115
2006-07-01,,165351.3014481625
2006-08-01,,169318.59908163545
2006-09-01,169541.6449088919,170514.08198166237
2006-10-01,,176405.77478720463
2006-11-01,,180598.9216983249
2006-12-01,181289.42002470957,182791.89728688364
2007-01-01,,168687.78418615018
2007-02-01,,153650.8928626766
2007-03-01,168496.9189598665,170030.46580982703
2007-04-01,,169076.0586825918
2007-05-01,,201683.79547094132
2007-06-01,193068.3603743653,194365.7061915942
2007-07-01,,199365.82911524727
2007-08-01,,207764.92358957877
2007-09-01,207489.64344238988,208536.42585794727
2007-10-01,,243240.854626678
2007-11-01,,247146.37681000287
2007-12-01,244066.5858435412,245887.97568660398
2008-01-01,,253556.83458621733
2008-02-01,,232426.64003118264
2008-03-01,233518.69462890347,235436.39560003814
2008-04-01,,248723.04903634393
2008-05-01,,270604.7925947736
2008-06-01,249293.10641471308,251366.8161695336
2008-07-01,,263981.62238519086
2008-08-01,,275347.3983082512
2008-09-01,290934.3904094423,292246.0633729834
2008-10-01,,273520.1693831677
2008-11-01,,255113.72112864582
2008-12-01,240742.92356209503,241770.21073069648
2009-01-01,,206422.0266554534
2009-02-01,,190874.12499349387
2009-03-01,204977.71606670527,205923.14741341167
2009-04-01,,234076.9659356016
2009-05-01,,261278.02724030957
2009-06-01,262406.91405338224,263459.32721823896
2009-07-01,,266367.9499233776
2009-08-01,,248151.44083377856
2009-09-01,245558.2264587849,247080.30057677734
2009-10-01,,253891.46527090904
2009-11-01,,262539.5911915757
2009-12-01,263486.1746464949,265568.7231351722
2010-01-01,,242474.8352253038
2010-02-01,,218495.4352581577
2010-03-01,245386.53782325963,247972.27991969668
2010-04-01,,271479.92529017
2010-05-01,,333962.77418752486
2010-06-01,340952.3085896935,343961.34707587474
2010-07-01,,341761.6969608798
2010-08-01,,344110.2221634227
2010-09-01,339698.4223622529,342317.27582234534
2010-10-01,,348164.379428227
2010-11-01,,348801.8318223776
2010-12-01,332471.95352493075,335091.16345743346
2011-01-01,,318105.7444126456
2011-02-01,,288556.02131078986
2011-03-01,323761.2385363362,326198.069172166
2011-04-01,,357272.67199491296
2011-05-01,,431578.2306817905
2011-06-01,425057.051691508,428511.28800873086
2011-07-01,,420491.16018663085
2011-08-01,,436130.27303614945
2011-09-01,443868.20521517313,447343.7306126
2011-10-01,,428907.2718848971
2011-11-01,,431161.9027542196
2011-12-01,415364.3613405137,418139.6112217996
2012-01-01,,377982.9194246329
2012-02-01,,346921.15607205185
2012-03-01,374190.69936839136,377380.98243332404
2012-04-01,,381049.39910672524
2012-05-01,,437563.26594608545
2012-06-01,425243.60403295024,428852.4876779442
2012-07-01,,451714.77095512155
2012-08-01,,468881.04399104416
2012-09-01,465874.486893476,469586.27725639386
2012-10-01,,487537.11264399183
2012-11-01,,475429.40721946076
2012-12-01,448054.1834255227,451951.0162281323
2013-01-01,,401192.93724689574
2013-02-01,,356554.11521721294
2013-03-01,396674.5832149477,400498.43247525423
2013-04-01,,463767.1849813952
2013-05-01,,558483.4335039795
2013-06-01,546612.4827461736,550526.155523869
2013-07-01,,552450.7255610487
2013-08-01,,548510.5334208787
2013-09-01,532721.8421858447,537422.3929417082
2013-10-01,,543395.2038960193
2013-11-01,,513173.39989497804
2013-12-01,481703.3209128157,485953.1693140357
2014-01-01,,533670.2886615965
2014-02-01,,480101.92481269257
2014-03-01,522171.20154701103,537981.7526074549
2014-04-01,,643190.173022508
2014-05-01,,782612.6152550179
2014-06-01,761448.5026928732,775802.1997227264
2014-07-01,,710132.234606813
2014-08-01,,701166.7902388104
2014-09-01,715356.2313178589,725171.6638117121
2014-10-01,,679956.4267067311
2014-11-01,,660275.5520998762
2014-12-01,639581.3226691553,647511.7506273055
2015-01-01,,542398.9137469713
2015-02-01,,484431.1087287991
2015-03-01,533242.3438301923,538839.5310600727
2015-04-01,,570443.5210228595
2015-05-01,,678476.4450507736
2015-06-01,688808.329890599,696743.5142500108
2015-07-01,,678452.9512983215
2015-08-01,,688702.2394136016
2015-09-01,696958.1773509461,705379.9030022705
2015-10-01,,707277.8393038366
2015-11-01,,675962.7711966599
2015-12-01,630868.0201169134,639126.328681286
2016-01-01,,747843.4691801824
2016-02-01,,767498.7885027465
2016-03-01,895990.0499715027,929436.40369147
2016-04-01,,921702.3238953089
2016-05-01,,1068964.9668203609
2016-06-01,1020670.9153240668,1052422.3468246912
2016-07-01,,1042428.5327777155
2016-08-01,,1114064.4318633548
2016-09-01,1111904.1466351708,1136396.241881144
2016-10-01,,1105431.936564314
2016-11-01,,1133724.2034534852
2016-12-01,1094432.4011464843,1114469.7432524755
2017-01-01,,975231.0754554125
2017-02-01,,891905.1892495983
2017-03-01,1036964.9424448052,1051377.6205909166
2017-04-01,,997920.070749054
2017-05-01,,1209554.3574678213
2017-06-01,1180972.268356308,1209034.2728399958
2017-07-01,,1226943.4985109668
2017-08-01,,1307676.7614800057
2017-09-01,1317088.8434907189,1336344.967638022
2017-10-01,,1364031.0766433114
2017-11-01,,1379234.0990494483
2017-12-01,1292046.2353310343,1313247.4884269482
2018-01-01,,1366599.6667341262
2018-02-01,,1314182.0950119249
2018-03-01,1478729.346105644,1512318.8041889032
2018-04-01,,1678708.1515583016
2018-05-01,,1851135.073623116
2018-06-01,1751921.0788386983,1795309.3757176064
2018-07-01,,2209174.715215163
2018-08-01,,2448340.8635843606
2018-09-01,2390075.081133471,2468195.230880095
2018-10-01,,2703174.5103548476
2018-11-01,,2933130.7470929846
2018-12-01,2893922.4216014976,3050022.5643525994
2019-01-01,,2886699.448730116
2019-02-01,,2709839.550564014
2019-03-01,2815654.9440515246,2896895.7549222787
2019-04-01,,3126787.0552452067
2019-05-01,,3743694.1835369254
2019-06-01,3503605.471509656,3634892.0512832296
2019-07-01,,3972533.6784225353
2019-08-01,,4139819.7368431897
2019-09-01,4137684.1662638434,4241853.155951582
2019-10-01,,4905445.783848709
2019-11-01,,5055163.809598723
2019-12-01,5000354.993609575,5210112.185085764
2020-01-01,,4921908.474414745
2020-02-01,,4746567.225392156
2020-03-01,4184145.2669444666,4300151.143765443
2020-04-01,,3497915.524664493
2020-05-01,,4267927.917356691
2020-06-01,4354106.259686406,4444662.855218688
2020-07-01,,4617514.86811824
2020-08-01,,4735505.635813381
2020-09-01,4797446.063837671,4894644.028088042
2020-10-01,,5115628.855020393
2020-11-01,,4902491.797787142
2020-12-01,4737512.033984543,4896347.434179762
2021-01-01,,5390285.295127459
2021-02-01,,5112357.527034757
2021-03-01,6168401.88670645,6409051.308418238
2021-04-01,,7307523.083847651
2021-05-01,,8109581.848084139
2021-06-01,8345420.448675091,8692799.03003283
2021-07-01,,8754047.80022292
2021-08-01,,9549942.196986858
2021-09-01,9839665.746969815,10132783.416070672
2021-10-01,,9277856.850491693
2021-11-01,,9294211.916102247
2021-12-01,9047581.511186296,9349664.45798046
2022-01-01,,8811545.511360778
2022-02-01,,8547379.813724749
2022-03-01,9677450.654993432,10051297.786411108
2022-04-01,,11276527.790140742
2022-05-01,,13245116.461646596
2022-06-01,13453007.856611095,14253855.482150368
2022-07-01,,13082784.028829865
2022-08-01,,14184492.640695607
2022-09-01,14359810.14752126,15281047.33882187
2022-10-01,,15640436.92337097
2022-11-01,,16914945.19600246
2022-12-01,16441157.127276711,17435592.95297538
2023-01-01,,16155475.788067535
2023-02-01,,14258691.780090103
2023-03-01,15575206.535784869,16455302.865243524
2023-04-01,,15869567.307298182
2023-05-01,,18785149.160991088
2023-06-01,19908865.285950907,21464934.36561897
2023-07-01,,24951528.65787439
2023-08-01,,27654644.20987299
2023-09-01,27121928.51253241,28914547.00687369
2023-10-01,,33950547.42951407
2023-11-01,,37781743.204450116
2023-12-01,36078743.90919932,39658728.34668306
2024-01-01,,54872402.819974475
2024-02-01,,66245132.83639542
2024-03-01,72129261.23447512,86307132.24252325
2024-04-01,,74283821.38264915
2024-05-01,,91331101.29107377
2024-06-01,87192592.74261743,94953547.29722679
2024-07-01,,91540462.03748035
2024-08-01,,96275504.70531544
2024-09-01,95402212.22911496,99342249.1305946
2024-10-01,,100118130.79424854
2024-11-01,,102230148.99338037
2024-12-01,101454927.27722912,104457955.01500653
2025-01-01,,101323267.43800312
2025-02-01,,95921907.8860449
2025-03-01,98589127.16707852,100935249.32748906
2025-04-01,,109630398.50720073
2025-05-01,,119502029.07120125
2025-06-01,116048801.12196814,119437875.99201646
2025-07-01,,137388688.47997823
2025-08-01,,143571497.0774391
2025-09-01,150245581.0207709,152897944.73849234
2025-10-01,,159126027.87795478
2025-11-01,,156416478.89048064
2025-12-01,162529857.35646015,166153431.4014479
