fecha,y_obs,y_pred
2004-01-01,,71794.43385344952
2004-02-01,,71794.43385344952
2004-03-01,71794.43385344952,71794.43385344952
2004-04-01,,69049.06273922164
2004-05-01,,79443.96302696121
2004-06-01,81995.48031590602,81995.48031590602
2004-07-01,,82091.55984687667
2004-08-01,,80806.41935207548
2004-09-01,79254.31381216343,79254.31381216343
2004-10-01,,76058.95071093412
2004-11-01,,75139.97456355381
2004-12-01,75368.48047083837,75368.48047083837
2005-01-01,,71540.79650151891
2005-02-01,,68493.41093971861
2005-03-01,80672.43472385775,80672.43472385775
2005-04-01,,87440.48198426835
2005-05-01,,99748.34849796322
2005-06-01,94508.35870797462,94508.35870797462
2005-07-01,,89727.12603130007
2005-08-01,,90202.80468628647
2005-09-01,89948.60416710979,89948.60416710979
2005-10-01,,88551.76153108277
2005-11-01,,90270.13179263887
2005-12-01,92100.02293755974,92100.02293755974
2006-01-01,,87279.2044235125
2006-02-01,,83104.77138574074
2006-03-01,93836.5731692338,93836.5731692338
2006-04-01,,97087.51456395785
2006-05-01,,109525.39430655228
2006-06-01,105355.8130616704,105355.8130616704
2006-07-01,,103415.45805030988
2006-08-01,,106415.3152443969
2006-09-01,106228.60234204464,106228.60234204464
2006-10-01,,105483.2351290195
2006-11-01,,103597.82216114369
2006-12-01,103509.58849471423,103509.58849471423
2007-01-01,,98825.78387386622
2007-02-01,,97130.41133923753
2007-03-01,111459.50015804856,111459.50015804856
2007-04-01,,116014.42180785925
2007-05-01,,131137.90924554234
2007-06-01,125373.05789199455,125373.05789199455
2007-07-01,,123707.30200068814
2007-08-01,,128778.35324170992
2007-09-01,128893.70334910932,128893.70334910932
2007-10-01,,131641.1300410761
2007-11-01,,129299.76548523037
2007-12-01,126843.69936850498,126843.69936850498
2008-01-01,,124096.94283800227
2008-02-01,,121616.68157652591
2008-03-01,130866.2750307655,130866.2750307655
2008-04-01,,144852.13350132797
2008-05-01,,156191.9406782005
2008-06-01,146972.60805294834,146972.60805294834
2008-07-01,,144679.74631841056
2008-08-01,,139502.35150545827
2008-09-01,138451.48746983963,138451.48746983963
2008-10-01,,133742.95479003814
2008-11-01,,125448.97817922768
2008-12-01,119110.68925230176,119110.68925230176
2009-01-01,,105246.95841434308
2009-02-01,,93955.38963451507
2009-03-01,95500.5721063584,95500.5721063584
2009-04-01,,93918.44886710924
2009-05-01,,99599.81060597082
2009-06-01,99870.79079402324,99870.79079402324
2009-07-01,,102618.11428618342
2009-08-01,,103806.03926104568
2009-09-01,108714.07912083372,108714.07912083372
2009-10-01,,110779.37454454762
2009-11-01,,111066.89313092953
2009-12-01,110460.3261279798,110460.3261279798
2010-01-01,,103516.24039968048
2010-02-01,,97671.73301444133
2010-03-01,108785.85710582584,108785.85710582584
2010-04-01,,116570.14045502231
2010-05-01,,131149.26718312033
2010-06-01,130038.89517350178,130038.89517350178
2010-07-01,,128689.07283424858
2010-08-01,,134456.2159650613
2010-09-01,139803.95750292117,139803.95750292117
2010-10-01,,141078.43635798697
2010-11-01,,145688.21420443972
2010-12-01,144754.3240647099,144754.3240647099
2011-01-01,,137022.66876519538
2011-02-01,,129035.66580328438
2011-03-01,139564.46171539812,139564.46171539812
2011-04-01,,141476.46074226504
2011-05-01,,156891.22080632212
2011-06-01,153571.0195551041,153571.0195551041
2011-07-01,,151973.29440423913
2011-08-01,,159523.95582684796
2011-09-01,164571.6467049708,164571.6467049708
2011-10-01,,167902.43007527493
2011-11-01,,164629.95768729367
2011-12-01,156629.21241772975,156629.21241772975
2012-01-01,,142312.9371711248
2012-02-01,,129652.08592551376
2012-03-01,134285.04105704132,134285.04105704132
2012-04-01,,128014.66144386992
2012-05-01,,138302.22228208993
2012-06-01,134408.94797285143,134408.94797285143
2012-07-01,,139477.6953144713
2012-08-01,,146554.04298823595
2012-09-01,150230.81659457326,150230.81659457326
2012-10-01,,157458.0658631676
2012-11-01,,156678.6333672644
2012-12-01,151946.00276177566,151946.00276177566
2013-01-01,,138435.30333604966
2013-02-01,,125814.78952108722
2013-03-01,133273.1129258469,133273.1129258469
2013-04-01,,138850.61392315256
2013-05-01,,154466.49820363882
2013-06-01,150469.4153047585,150469.4153047585
2013-07-01,,150759.66169087408
2013-08-01,,152175.21112025596
2013-09-01,152737.1141048032,152737.1141048032
2013-10-01,,154549.1261570523
2013-11-01,,151372.69611957794
2013-12-01,147746.6296025357,147746.6296025357
2014-01-01,,139157.9303044203
2014-02-01,,127491.47426774466
2014-03-01,131370.5363099219,131370.5363099219
2014-04-01,,135479.5360102328
2014-05-01,,146965.99527659474
2014-06-01,141073.1894297702,141073.1894297702
2014-07-01,,138116.37513958893
2014-08-01,,137297.45722731724
2014-09-01,140281.45358859547,140281.45358859547
2014-10-01,,139944.79189004045
2014-11-01,,134531.82403253642
2014-12-01,132033.40948911634,132033.40948911634
2015-01-01,,123331.79979674231
2015-02-01,,118284.84508841293
2015-03-01,128790.2533129668,128790.2533129668
2015-04-01,,133837.8037843565
2015-05-01,,144784.9255033441
2015-06-01,143522.13876214108,143522.13876214108
2015-07-01,,140822.4212546633
2015-08-01,,143935.69711010024
2015-09-01,149008.18693087087,149008.18693087087
2015-10-01,,151216.50031303574
2015-11-01,,148674.59851311333
2015-12-01,142300.30190956546,142300.30190956546
2016-01-01,,124022.17793397607
2016-02-01,,116498.90932669
2016-03-01,124425.51841156666,124425.51841156666
2016-04-01,,126075.86216167058
2016-05-01,,138209.19967809183
2016-06-01,134589.4379545192,134589.4379545192
2016-07-01,,131379.73138815683
2016-08-01,,136061.25869035398
2016-09-01,137185.49507782274,137185.49507782274
2016-10-01,,136201.09074239607
2016-11-01,,138023.07279102682
2016-12-01,134851.77049515006,134851.77049515006
2017-01-01,,126362.6932959283
2017-02-01,,117826.6787938369
2017-03-01,131486.24599536855,131486.24599536855
2017-04-01,,130138.53992812822
2017-05-01,,147940.92278281655
2017-06-01,147917.72513381098,147917.72513381098
2017-07-01,,147551.00317910616
2017-08-01,,156108.8058702146
2017-09-01,160592.39690911057,160592.39690911057
2017-10-01,,165920.89966965385
2017-11-01,,167925.4845890101
2017-12-01,162113.6897786921,162113.6897786921
2018-01-01,,153709.0486142695
2018-02-01,,143497.87041850467
2018-03-01,152300.6042109982,152300.6042109982
2018-04-01,,146595.5616582835
2018-05-01,,155657.23273423224
2018-06-01,151659.16792457036,151659.16792457036
2018-07-01,,150185.7319739133
2018-08-01,,152156.87381262428
2018-09-01,142066.4152474825,142066.4152474825
2018-10-01,,140471.02822634263
2018-11-01,,130906.36836950696
2018-12-01,121488.74616913997,121488.74616913997
2019-01-01,,114780.32807775596
2019-02-01,,107734.4380685077
2019-03-01,114187.82600362253,114187.82600362253
2019-04-01,,116920.7349685707
2019-05-01,,131149.17853624182
2019-06-01,123592.22780170344,123592.22780170344
2019-07-01,,125952.88808280512
2019-08-01,,126181.81167075077
2019-09-01,127742.49807995032,127742.49807995032
2019-10-01,,128848.56878528267
2019-11-01,,118145.52387502528
2019-12-01,111464.9398238233,111464.9398238233
2020-01-01,,105811.45424455214
2020-02-01,,96307.01897299498
