fecha,y_obs,y_pred
2004-01-01,,65371.98787837008
2004-02-01,,65555.36393009624
2004-03-01,65561.35320695453,65756.70781239729
2004-04-01,,66943.48156840073
2004-05-01,,77542.75972255837
2004-06-01,80070.02806461295,80681.75723516606
2004-07-01,,84821.04767387337
2004-08-01,,83935.04210406513
2004-09-01,82294.8183003922,82672.14682474507
2004-10-01,,80856.04258294568
2004-11-01,,80317.84607784124
2004-12-01,80486.50888039765,80775.40449144036
2005-01-01,,77429.05492695516
2005-02-01,,74898.0691899911
2005-03-01,88292.80899623311,89350.21753293929
2005-04-01,,95319.1267508559
2005-05-01,,110011.70035855187
2005-06-01,104017.9437655482,104797.4361419757
2005-07-01,,102356.29672698135
2005-08-01,,103866.44750578185
2005-09-01,103532.80505222286,104415.7255789656
2005-10-01,,103256.87211165762
2005-11-01,,106339.9026616183
2005-12-01,108464.65877516926,109504.06166515422
2006-01-01,,106814.15544329773
2006-02-01,,102894.482184435
2006-03-01,116110.67319549512,117310.9718900217
2006-04-01,,119356.7056487219
2006-05-01,,136143.44999529727
2006-06-01,130833.71283691304,132019.08368439254
2006-07-01,,135153.48857542244
2006-08-01,,139810.1124910547
2006-09-01,139597.73830184387,140398.42662873
2006-10-01,,139832.1868867667
2006-11-01,,138540.92023227905
2006-12-01,138392.87072482545,139539.8330874537
2007-01-01,,130158.23889107123
2007-02-01,,129243.86389704474
2007-03-01,148228.49189903785,149577.56901112624
2007-04-01,,156934.19615862213
2007-05-01,,178722.76809450958
2007-06-01,170803.77769164724,171951.51399668178
2007-07-01,,180619.13868929117
2007-08-01,,188888.45544869473
2007-09-01,189101.6095022984,190055.62453792387
2007-10-01,,197858.16416765196
2007-11-01,,195813.57599940262
2007-12-01,192087.56402626808,193521.05127273776
2008-01-01,,190764.29414421553
2008-02-01,,188685.44287859157
2008-03-01,202936.38542612523,204602.93852170795
2008-04-01,,228720.52640595502
2008-05-01,,249131.68989741942
2008-06-01,234221.80476596183,236170.1460110135
2008-07-01,,239699.0179122266
2008-08-01,,232377.4144161591
2008-09-01,230523.27564884457,231562.586084816
2008-10-01,,230835.10638138495
2008-11-01,,217564.42750401844
2008-12-01,206516.8242355749,207398.0633619362
2009-01-01,,187643.25245723227
2009-02-01,,168183.58869652238
2009-03-01,171002.40533113322,171791.13025921094
2009-04-01,,171825.7968260897
2009-05-01,,183188.9471265432
