fecha,y_obs,y_pred
2004-01-01,,73073.43481112685
2004-02-01,,73073.43481112685
2004-03-01,73073.43481112685,73073.43481112685
2004-04-01,,96023.58819603943
2004-05-01,,92153.69132067593
2004-06-01,80006.3072174586,80006.3072174586
2004-07-01,,75846.63404579158
2004-08-01,,79223.22980842857
2004-09-01,85416.07252113911,85416.07252113911
2004-10-01,,89964.66363153758
2004-11-01,,91293.6523785454
2004-12-01,88375.32157266857,88375.32157266857
2005-01-01,,82622.91456332705
2005-02-01,,76974.85087388358
2005-03-01,84904.77744994142,84904.77744994142
2005-04-01,,92262.19526907367
2005-05-01,,96050.44377234919
2005-06-01,97288.20329605682,97288.20329605682
2005-07-01,,97103.04129622498
2005-08-01,,96634.58212280105
2005-09-01,96844.89303709046,96844.89303709046
2005-10-01,,98156.0103922038
2005-11-01,,99525.37035906051
2005-12-01,99636.55792383583,99636.55792383583
2006-01-01,,98006.61285961086
2006-02-01,,95718.32829426233
2006-03-01,96613.8916394867,96613.8916394867
2006-04-01,,98202.1602950534
2006-05-01,,99712.54398646194
2006-06-01,101743.8617298436,101743.8617298436
2006-07-01,,104461.44602861107
2006-08-01,,107360.83281330044
2006-09-01,109844.576627056,109844.576627056
2006-10-01,,111294.67048529616
2006-11-01,,111958.01444326511
2006-12-01,112095.47619426234,112095.47619426234
2007-01-01,,112037.5316040695
2007-02-01,,111884.29990986211
2007-03-01,112275.54046719316,112275.54046719316
2007-04-01,,112932.64221320911
2007-05-01,,114224.04775512987
2007-06-01,117677.32624788817,117677.32624788817
2007-07-01,,123840.39388274265
2007-08-01,,130791.66131571586
2007-09-01,136188.56334207152,136188.56334207152
2007-10-01,,138012.08654056696
2007-11-01,,137631.80441791442
2007-12-01,136704.0597547481,136704.0597547481
2008-01-01,,136505.6383569901
2008-02-01,,137158.4386413219
2008-03-01,138615.196997182,138615.196997182
2008-04-01,,140775.94777637345
2008-05-01,,143547.1534095878
2008-06-01,147043.53953203355,147043.53953203355
2008-07-01,,150650.39442484698
2008-08-01,,153274.2206124551
2008-09-01,153056.79563738545,153056.79563738545
2008-10-01,,148492.25582384926
2008-11-01,,141051.35692760628
2008-12-01,132326.80332668536,132326.80332668536
2009-01-01,,123610.20404350034
2009-02-01,,115545.10881083347
2009-03-01,108884.58517996113,108884.58517996113
2009-04-01,,104755.73726986715
2009-05-01,,103145.12064588568
2009-06-01,104729.45493210446,104729.45493210446
2009-07-01,,109980.5682387707
2009-08-01,,116916.84560319684
2009-09-01,123133.6440304645,123133.6440304645
2009-10-01,,126913.0729546791
2009-11-01,,128679.71172241308
2009-12-01,129128.9859125566,129128.9859125566
2010-01-01,,128931.77649054668
2010-02-01,,129172.30225291355
2010-03-01,131091.92974987472,131091.92974987472
2010-04-01,,136137.39775290745
2010-05-01,,143170.75479160206
2010-06-01,151260.05259704147,151260.05259704147
2010-07-01,,159275.79360529734
2010-08-01,,166409.9187485235
