fecha,y_obs,y_pred
2004-01-01,,69100.81996569074
2004-02-01,,69294.65582639494
2004-03-01,69300.98673287862,69507.48440655017
2004-04-01,,93085.00863376957
2004-05-01,,89938.24199989717
2004-06-01,78118.8061342756,78715.62811168964
2004-07-01,,77469.39051968818
2004-08-01,,81346.46708786869
2004-09-01,87675.42534154924,88077.42439263628
2004-10-01,,93003.33265847937
2004-11-01,,94895.5813650481
2004-12-01,91775.9179136897,92105.33535586101
2005-01-01,,84786.26737129185
2005-02-01,,79807.82992695301
2005-03-01,88106.33085835255,89161.50610361465
2005-04-01,,96962.501755801
2005-05-01,,102128.05366818137
2005-06-01,103231.14457395862,104004.74081410981
2005-07-01,,101732.64582347625
2005-08-01,,102193.79089259627
2005-09-01,102375.72168727528,103248.7746879373
2005-10-01,,106836.63545300062
2005-11-01,,109437.84403526694
2005-12-01,109528.9126465569,110578.51414466076
2006-01-01,,111841.36187983507
2006-02-01,,110507.12150207709
2006-03-01,111472.72410810948,112625.0778197877
2006-04-01,,114275.53063513774
2006-05-01,,117322.27827073759
2006-06-01,119596.41054544807,120679.96993889341
2006-07-01,,125210.02485523748
2006-08-01,,129366.42867541808
2006-09-01,132390.49380631474,133149.84366592494
2006-10-01,,132899.59187006563
2006-11-01,,134867.77739447865
2006-12-01,135004.04864091883,136122.9253704973
2007-01-01,,137518.60553151005
2007-02-01,,138745.97272694038
2007-03-01,139154.18921558568,140420.67806207432
2007-04-01,,142353.72067721948
2007-05-01,,145061.74564355006
2007-06-01,149392.835976335,150396.6989112149
2007-07-01,,165889.882434295
2007-08-01,,176007.73225510714
2007-09-01,183313.01687331864,184237.8285382394
2007-10-01,,184466.90249857976
2007-11-01,,185354.36815656838
2007-12-01,184098.6999451606,185472.56888769637
2008-01-01,,186682.7390807044
2008-02-01,,189315.1395578322
2008-03-01,191232.0115068933,192802.4460057739
2008-04-01,,209279.68493759155
2008-05-01,,215567.50979432493
2008-06-01,220625.261581636,222460.50188844404
2008-07-01,,226878.56006008765
2008-08-01,,232084.5185480309
2008-09-01,231651.13955040163,232695.53494241467
2008-10-01,,223362.99371926213
2008-11-01,,213193.76556209
2008-12-01,199953.49210063455,200806.72447695007
2009-01-01,,179442.073481764
