fecha,y_obs,y_pred
2004-01-01,,460369.4422329487
2004-02-01,,460369.4422329487
2004-03-01,460369.4422329487,460369.4422329487
2004-04-01,,464302.79050691007
2004-05-01,,533762.8501644764
2004-06-01,514395.6817723617,514395.6817723617
2004-07-01,,455744.63267138344
2004-08-01,,454040.6973880881
2004-09-01,481151.9799435081,481151.9799435081
2004-10-01,,456235.8742081164
2004-11-01,,454624.4123085066
2004-12-01,484543.6768765623,484543.6768765623
2005-01-01,,475344.36831426225
2005-02-01,,449370.4667840685
2005-03-01,493602.53057785495,493602.53057785495
2005-04-01,,522643.4150936633
2005-05-01,,616825.095977508
2005-06-01,581668.2498796025,581668.2498796025
2005-07-01,,487330.87185574835
2005-08-01,,478200.7433823022
2005-09-01,514697.78950542817,514697.78950542817
2005-10-01,,494892.1843307064
2005-11-01,,491270.23622400477
2005-12-01,522255.2000507714,522255.2000507714
2006-01-01,,513519.1151797887
2006-02-01,,488509.8529975955
2006-03-01,532348.2120169173,532348.2120169173
2006-04-01,,551895.0470659734
2006-05-01,,648127.248902865
2006-06-01,614076.3926085439,614076.3926085439
2006-07-01,,532135.3369077089
2006-08-01,,532678.0803293014
2006-09-01,562978.9656268766,562978.9656268766
2006-10-01,,546619.8191468548
2006-11-01,,537939.9269005482
2006-12-01,572794.0466305884,572794.0466305884
2007-01-01,,557118.5463083547
2007-02-01,,525923.3382983637
2007-03-01,576846.8856994272,576846.8856994272
2007-04-01,,603795.5113228323
2007-05-01,,720717.2704368117
2007-06-01,674620.5630064849,674620.5630064849
2007-07-01,,575647.2108169828
2007-08-01,,580272.6884929831
2007-09-01,610425.6940148536,610425.6940148536
2007-10-01,,598175.6082268587
2007-11-01,,594042.3068885105
2007-12-01,625876.8678635969,625876.8678635969
2008-01-01,,597832.840209841
2008-02-01,,572511.7467733242
2008-03-01,616720.3570644783,616720.3570644783
2008-04-01,,652579.5172745052
2008-05-01,,735963.6873925179
2008-06-01,711405.5004552329,711405.5004552329
2008-07-01,,628020.6054510793
2008-08-01,,594818.3338208337
2008-09-01,647087.9597424942,647087.9597424942
2008-10-01,,603926.2183937564
2008-11-01,,576245.9501609869
2008-12-01,613490.821702641,613490.821702641
2009-01-01,,561055.6942772523
2009-02-01,,522260.0868156499
2009-03-01,578553.0442424045,578553.0442424045
2009-04-01,,592769.6044124358
2009-05-01,,641131.9428745321
2009-06-01,631197.7518600689,631197.7518600689
2009-07-01,,588358.5280628252
2009-08-01,,576408.5052455276
2009-09-01,610519.8546117273,610519.8546117273
2009-10-01,,591536.948947787
2009-11-01,,586984.1827224643
2009-12-01,615220.8549372972,615220.8549372972
2010-01-01,,592970.9334503355
2010-02-01,,554924.8245799373
2010-03-01,611607.33658973,611607.33658973
2010-04-01,,670049.7920055968
2010-05-01,,772637.7273135374
2010-06-01,733730.7739689033,733730.7739689033
2010-07-01,,638083.5958998429
2010-08-01,,635751.6160267945
2010-09-01,668566.5094889859,668566.5094889859
2010-10-01,,634593.118211139
2010-11-01,,641823.2544776268
2010-12-01,668190.0977195739,668190.0977195739
2011-01-01,,647443.1303753679
2011-02-01,,603923.6432368049
2011-03-01,662325.5859726951,662325.5859726951
2011-04-01,,694458.2204025713
2011-05-01,,807753.7096858097
2011-06-01,766332.9545716126,766332.9545716126
2011-07-01,,675649.4449198754
2011-08-01,,680357.4355388088
2011-09-01,711417.3919301049,711417.3919301049
2011-10-01,,679901.7831681134
2011-11-01,,683077.792827732
2011-12-01,703050.4564079925,703050.4564079925
2012-01-01,,662563.3062777369
2012-02-01,,615990.4630105931
2012-03-01,672685.9936305042,672685.9936305042
2012-04-01,,676723.1224091473
2012-05-01,,769831.9920906696
2012-06-01,730838.2725927759,730838.2725927759
2012-07-01,,676483.8864670653
2012-08-01,,684357.992792391
2012-09-01,703461.6525301962,703461.6525301962
2012-10-01,,688816.2240342814
2012-11-01,,676310.1471045024
2012-12-01,706958.0390823188,706958.0390823188
2013-01-01,,670230.5305529751
2013-02-01,,619167.9268488336
2013-03-01,677085.5291731509,677085.5291731509
2013-04-01,,718982.2395364215
2013-05-01,,822869.7147927741
2013-06-01,776486.60279942,776486.60279942
2013-07-01,,696601.3176298565
2013-08-01,,690882.0803470149
2013-09-01,721458.9442161823,721458.9442161823
2013-10-01,,695900.3511648971
2013-11-01,,679421.3816372153
2013-12-01,706597.3450225069,706597.3450225069
2014-01-01,,667084.6361542448
2014-02-01,,615559.0327322293
2014-03-01,671066.0466350627,671066.0466350627
2014-04-01,,708057.1005800142
2014-05-01,,794459.5400696724
2014-06-01,760576.8683480041,760576.8683480041
2014-07-01,,679840.5388746468
2014-08-01,,653341.6305469018
2014-09-01,690879.7982516834,690879.7982516834
2014-10-01,,677293.8603229324
2014-11-01,,656733.4825962516
2014-12-01,686701.4706187105,686701.4706187105
2015-01-01,,661204.0990755555
2015-02-01,,620262.4487719905
2015-03-01,672749.8113916992,672749.8113916992
2015-04-01,,737148.535389648
2015-05-01,,831275.0666619999
2015-06-01,791235.9655416702,791235.9655416702
2015-07-01,,701272.0636774815
2015-08-01,,694427.8058996252
2015-09-01,718281.2654497817,718281.2654497817
2015-10-01,,687023.0506361016
2015-11-01,,679422.6723426054
2015-12-01,703681.544169008,703681.544169008
2016-01-01,,660692.2192210768
2016-02-01,,622385.5177964868
2016-03-01,677652.0891157027,677652.0891157027
2016-04-01,,706698.2241110938
2016-05-01,,800307.5330406954
2016-06-01,760703.2801516564,760703.2801516564
2016-07-01,,664128.2572318257
2016-08-01,,665974.8825179633
2016-09-01,694382.4757762305,694382.4757762305
2016-10-01,,666622.2040608093
2016-11-01,,670387.0224015358
2016-12-01,693173.5493470578,693173.5493470578
2017-01-01,,674109.4589239215
2017-02-01,,615604.885183067
2017-03-01,681444.7661102224,681444.7661102224
2017-04-01,,709400.648833388
2017-05-01,,829267.7869526367
2017-06-01,778401.6764493167,778401.6764493167
2017-07-01,,689035.7792606051
2017-08-01,,706166.5974529439
2017-09-01,721120.4268527941,721120.4268527941
2017-10-01,,695258.2332401023
2017-11-01,,702767.7290535817
2017-12-01,724592.9216389629,724592.9216389629
2018-01-01,,698004.8249801532
2018-02-01,,643764.9167508264
2018-03-01,707324.2680572141,707324.2680572141
2018-04-01,,700637.6457521445
2018-05-01,,785130.8554987109
2018-06-01,747428.2999545746,747428.2999545746
2018-07-01,,662022.7002600303
2018-08-01,,686295.4794271963
2018-09-01,696101.5835218076,696101.5835218076
2018-10-01,,666483.580199428
2018-11-01,,642060.6600631817
2018-12-01,678655.6203844536,678655.6203844536
2019-01-01,,656939.4065991656
2019-02-01,,612170.7290307232
2019-03-01,665848.7152997089,665848.7152997089
2019-04-01,,692001.7236023371
2019-05-01,,801603.6521867804
2019-06-01,751784.4607771325,751784.4607771325
2019-07-01,,667657.8463333157
2019-08-01,,654249.5169244627
2019-09-01,683900.8985525784,683900.8985525784
2019-10-01,,672377.6251829026
2019-11-01,,643793.5574058242
2019-12-01,671361.13972242,671361.13972242
2020-01-01,,625921.5421511761
2020-02-01,,600592.6173279639
2020-03-01,632389.35353461,632389.35353461
2020-04-01,,545777.152949556
2020-05-01,,599611.7202482111
2020-06-01,609379.9894648013,609379.9894648013
2020-07-01,,594496.2930867636
2020-08-01,,601492.6067790382
2020-09-01,614192.4784042229,614192.4784042229
2020-10-01,,607525.43002369
2020-11-01,,606597.7608965554
2020-12-01,642403.3231979503,642403.3231979503
2021-01-01,,640754.1909280603
2021-02-01,,586886.0388918701
2021-03-01,652831.9767063216,652831.9767063216
2021-04-01,,695785.5057745429
2021-05-01,,746189.1053079223
2021-06-01,723516.6224906748,723516.6224906748
2021-07-01,,669561.1759408866
2021-08-01,,667965.6804578685
2021-09-01,686756.4678266742,686756.4678266742
2021-10-01,,675696.1183105231
2021-11-01,,676443.6679378308
2021-12-01,696134.669112115,696134.669112115
2022-01-01,,689207.4906890092
2022-02-01,,663924.6399139824
2022-03-01,697625.2846663581,697625.2846663581
2022-04-01,,740636.4090260289
2022-05-01,,814122.3404741883
2022-06-01,782338.628533735,782338.628533735
2022-07-01,,710737.4473254282
2022-08-01,,722322.3384310261
2022-09-01,732662.1638755013,732662.1638755013
2022-10-01,,696256.0404298232
2022-11-01,,692682.0466651054
2022-12-01,712740.4578287383,712740.4578287383
2023-01-01,,707897.4597420674
2023-02-01,,647905.6607239518
2023-03-01,703987.5043215773,703987.5043215773
2023-04-01,,710218.0883537205
2023-05-01,,761869.4725470154
2023-06-01,737941.9093740722,737941.9093740722
2023-07-01,,699829.7567492801
2023-08-01,,729164.390914543
2023-09-01,728638.5845686822,728638.5845686822
2023-10-01,,687726.400635531
2023-11-01,,690859.7106114854
2023-12-01,700509.9345723233,700509.9345723233
2024-01-01,,668575.8214892881
2024-02-01,,622924.8272226164
2024-03-01,669057.7333851669,669057.7333851669
2024-04-01,,693422.6213790193
2024-05-01,,763396.9229918882
2024-06-01,729947.7852745531,729947.7852745531
2024-07-01,,701051.7363950735
2024-08-01,,692525.9424289545
2024-09-01,714524.3655499592,714524.3655499592
2024-10-01,,708480.7395250612
2024-11-01,,695569.2405678714
2024-12-01,718991.4609365795,718991.4609365795
2025-01-01,,707803.0689655035
2025-02-01,,675124.5035667256
2025-03-01,708113.8056701763,708113.8056701763
2025-04-01,,739254.5457400391
2025-05-01,,796281.5542529784
2025-06-01,776528.7760907853,776528.7760907853
2025-07-01,,723050.3948134244
2025-08-01,,699903.4081383651
2025-09-01,737795.7416134314,737795.7416134314
2025-10-01,,730947.8717373151
2025-11-01,,693038.2774782918
2025-12-01,733788.6697850603,733788.6697850603
