fecha,pbi
2004-03-01,439195.8650001726
2004-06-01,509498.6632468832
2004-09-01,488462.3825911835
2004-12-01,503303.8680607793
2005-03-01,510703.4270151163
2005-06-01,605771.7758465102
2005-09-01,590219.5591426293
2005-12-01,623457.9297448428
2006-03-01,643562.3795870609
2006-06-01,727989.1872669109
2006-09-01,729299.498006196
2006-12-01,762766.0220752261
2007-03-01,774387.7878412767
2007-06-01,904350.3880930806
2007-09-01,914103.9674019193
2007-12-01,995078.5529513356
2008-03-01,1032356.8732593583
2008-06-01,1213883.4109890296
2008-09-01,1183692.2697064732
2008-12-01,1168651.80837968
2009-03-01,1112307.4883262962
2009-06-01,1251464.7279338671
2009-09-01,1269734.745267083
2009-12-01,1358210.1141728326
2010-03-01,1418857.9499665094
2010-06-01,1686066.954457782
2010-09-01,1712834.5489382918
2010-12-01,1829124.2504157436
2011-03-01,1888827.151845796
2011-06-01,2237123.8354149116
2011-09-01,2250487.26379217
2011-12-01,2339658.163470233
2012-03-01,2345559.6033526314
2012-06-01,2651098.0463880287
2012-09-01,2704827.5498552597
2012-12-01,2850170.193266278
2013-03-01,2888980.8590711113
2013-06-01,3387810.9120546845
2013-09-01,3436546.546378202
2013-12-01,3679895.635404825
2014-03-01,3917648.8611710793
2014-06-01,4702629.524920309
2014-09-01,4685503.118678275
2014-12-01,5010564.196870732
2015-03-01,5092693.740328637
2015-06-01,5951478.855366601
2015-09-01,6221730.755771598
2015-12-01,6552140.231302531
2016-03-01,7006645.045106042
2016-06-01,8414556.482179211
2016-09-01,8527628.82527803
2016-12-01,8963807.87358243
2017-03-01,9240877.73099836
2017-06-01,10558208.304643149
2017-09-01,11116422.3178693
2017-12-01,11725405.625723016
2018-03-01,12457790.347179031
2018-06-01,14431394.012697566
2018-09-01,15276275.65339034
2018-12-01,16813782.695796333
2019-03-01,17484108.85697476
2019-06-01,21233558.154751204
2019-09-01,22303884.00877951
2019-12-01,25212225.57629694
2020-03-01,24999988.08261283
2020-06-01,24025361.939099036
2020-09-01,27536379.505392455
2020-12-01,32277527.046046086
2021-03-01,36785109.793720186
2021-06-01,46340281.47592878
2021-09-01,47462528.98909955
2021-12-01,54288413.782466695
2022-03-01,60345325.42659544
2022-06-01,78676963.28324091
2022-09-01,87863363.94194473
2022-12-01,104354529.22768565
2023-03-01,120719556.7726799
2023-06-01,159215855.41502434
2023-09-01,206516399.84174532
2023-12-01,283181180.08567715
2024-03-01,423472034.40718853
2024-06-01,559938388.8647271
2024-09-01,642862095.294979
2024-12-01,709365943.3672845
2025-03-01,723984891.7741555
2025-06-01,833779385.5021062
2025-09-01,893277009.9832231
2025-12-01,939450203.4897723
