fecha,y_obs,y_pred
2004-01-01,,437927.3056245575
2004-02-01,,439155.74280162365
2004-03-01,439195.8650001726,440504.5465743365
2004-04-01,,456580.6156951738
2004-05-01,,528438.3948027829
2004-06-01,509498.6632468832,513391.19584865065
2004-07-01,,460390.0752537216
2004-08-01,,461096.151506443
2004-09-01,488462.3825911835,490702.0228726924
2004-10-01,,471753.99834115827
2004-11-01,,472669.7063056739
2004-12-01,503303.8680607793,505110.4103065069
2005-01-01,,486350.9463692422
2005-02-01,,464534.0781567223
2005-03-01,510703.4270151163,516819.6914039175
2005-04-01,,539099.1262017466
2005-05-01,,643710.8524963311
2005-06-01,605771.7758465102,610311.3241593629
2005-07-01,,553850.3996241672
2005-08-01,,548584.1119391324
2005-09-01,590219.5591426293,595252.9102991949
2005-10-01,,584962.7611100527
2005-11-01,,586635.7142441465
2005-12-01,623457.9297448428,629432.4469864826
2006-01-01,,614001.584398425
2006-02-01,,590927.6341412035
2006-03-01,643562.3795870609,650215.231239761
2006-04-01,,647711.0415960943
2006-05-01,,769101.3454072042
2006-06-01,727989.1872669109,734584.8661722568
2006-07-01,,685552.5192152036
2006-08-01,,689884.053420189
2006-09-01,729299.498006196,733482.5284905069
2006-10-01,,721720.0828291448
2006-11-01,,716507.8110307271
2006-12-01,762766.0220752261,769087.6188036551
2007-01-01,,740682.9650754312
2007-02-01,,706415.9443736583
2007-03-01,774387.7878412767,781435.75026114
2007-04-01,,803673.0196352755
2007-05-01,,966496.8821734532
2007-06-01,904350.3880930806,910427.2781180795
2007-07-01,,857875.1766320931
2007-08-01,,868748.2510392099
2007-09-01,914103.9674019192,918715.6094250703
2007-10-01,,943906.9619057273
2007-11-01,,944496.9361958787
2007-12-01,995078.5529513356,1002504.5017477721
2008-01-01,,992030.8202047464
2008-02-01,,958824.3130720278
2008-03-01,1032356.8732593585,1040834.7888350391
2008-04-01,,1103271.8045939924
2008-05-01,,1256885.0917982254
2008-06-01,1213883.4109890296,1223980.9299569034
2008-07-01,,1143117.16335881
2008-08-01,,1088566.7610884872
2008-09-01,1183692.2697064732,1189028.9270371571
2008-10-01,,1145215.4400771721
2008-11-01,,1097996.6416440925
2008-12-01,1168651.80837968,1173638.625809442
2009-01-01,,1074026.024196986
2009-02-01,,1003769.9403244859
2009-03-01,1112307.4883262962,1117437.8526742808
2009-04-01,,1169806.8274544058
2009-05-01,,1271976.065593526
2009-06-01,1251464.7279338671,1256483.8714262657
2009-07-01,,1216877.821833878
2009-08-01,,1197989.956639044
2009-09-01,1269734.745267083,1277605.100173768
2009-10-01,,1295827.978206373
2009-11-01,,1295648.2328856855
2009-12-01,1358210.1141728326,1368945.1685807984
2010-01-01,,1361800.6370418335
2010-02-01,,1286731.751010252
2010-03-01,1418857.9499665094,1433809.0583795358
2010-04-01,,1525004.8626779094
2010-05-01,,1776785.4579554978
2010-06-01,1686066.954457782,1700947.1597780727
2010-07-01,,1622298.7169545374
2010-08-01,,1628602.3327443833
2010-09-01,1712834.5489382918,1726039.3870822543
2010-10-01,,1723720.8727700012
2010-11-01,,1756692.656443151
2010-12-01,1829124.250415744,1843534.0686084575
2011-01-01,,1832090.6721525283
2011-02-01,,1722646.6313538495
2011-03-01,1888827.151845796,1903043.6525307237
2011-04-01,,2010634.8094243356
2011-05-01,,2358266.4214500124
2011-06-01,2237123.835414912,2255303.875876924
2011-07-01,,2121104.6628412935
2011-08-01,,2151728.4256420233
2011-09-01,2250487.26379217,2268108.768441515
2011-10-01,,2246445.0757803316
2011-11-01,,2274256.469573928
2011-12-01,2339658.163470233,2355290.549502258
2012-01-01,,2290550.423074615
2012-02-01,,2147885.2271688017
2012-03-01,2345559.6033526314,2365557.4255673396
2012-04-01,,2433466.765520854
2012-05-01,,2793112.13712092
2012-06-01,2651098.0463880287,2673596.9253603355
2012-07-01,,2581100.0589595516
2012-08-01,,2630638.4727767124
2012-09-01,2704827.54985526,2726377.888230418
2012-10-01,,2752981.860811932
2012-11-01,,2726507.487950144
2012-12-01,2850170.193266278,2874958.7949867803
2013-01-01,,2830767.574782658
2013-02-01,,2643149.546401403
2013-03-01,2888980.859071112,2916829.951976095
2013-04-01,,3114439.9641628726
2013-05-01,,3590202.7333005853
2013-06-01,3387810.9120546845,3412067.188230223
2013-07-01,,3289317.8432397605
2013-08-01,,3290448.129728265
2013-09-01,3436546.546378202,3466869.4282030906
2013-10-01,,3592910.3536225837
2013-11-01,,3537683.941624126
2013-12-01,3679895.635404825,3712361.673947275
2014-01-01,,3795026.5457078484
2014-02-01,,3576495.992167537
2014-03-01,3917648.8611710793,4036269.319696803
2014-04-01,,4286647.432042366
2014-05-01,,4921918.223833678
2014-06-01,4702629.524920309,4791276.51707491
2014-07-01,,4548481.200542921
2014-08-01,,4429856.477428571
2014-09-01,4685503.118678275,4749793.101134148
2014-10-01,,4878844.745559259
2014-11-01,,4793645.404243957
2014-12-01,5010564.196870732,5072692.212471846
2015-01-01,,4953172.038315022
2015-02-01,,4694974.874410034
2015-03-01,5092693.740328637,5146149.28582098
2015-04-01,,5478358.754154913
2015-05-01,,6255363.792162271
2015-06-01,5951478.855366601,6020040.862936944
2015-07-01,,6004914.125635994
2015-08-01,,6011234.2100945385
2015-09-01,6221730.755771598,6296911.3206954105
2015-10-01,,6318684.511107642
2015-11-01,,6320925.053935482
2015-12-01,6552140.231302531,6637910.303745113
2016-01-01,,6598817.86646518
2016-02-01,,6413982.348746266
2016-03-01,7006645.045106042,7268195.637745243
2016-04-01,,7584959.91472652
2016-05-01,,8840225.919935804
2016-06-01,8414556.482179211,8676319.808380408
2016-07-01,,7945190.992181762
2016-08-01,,8210079.4309894275
2016-09-01,8527628.82527803,8715468.305905083
2016-10-01,,8492276.718172953
2016-11-01,,8639329.403647799
2016-12-01,8963807.87358243,9127921.147958439
2017-01-01,,9023001.889085466
2017-02-01,,8340141.084194232
2017-03-01,9240877.73099836,9369315.820921093
2017-04-01,,9392737.024627576
