periodo,anio,trimestre,pbi_pesos_mm,tc_mep_promedio,obs_mep_en_trim,pbi_usd_mm,source
2004Q1,2004,1,439195.8650001726,2.906875,64,151088.6656633576,a3500
2004Q2,2004,2,509498.6632468832,2.9066666666666667,60,175286.23735557907,a3500
2004Q3,2004,3,488462.3825911835,2.98796875,64,163476.40268700384,a3500
2004Q4,2004,4,503303.8680607793,2.96484375,64,169757.29937227865,a3500
2005Q1,2005,1,510703.4270151163,2.9303225806451616,62,174282.32317776975,a3500
2005Q2,2005,2,605771.7758465102,2.8919047619047618,63,209471.55100900237,a3500
2005Q3,2005,3,590219.5591426293,2.889692307692308,65,204249.96722712507,a3500
2005Q4,2005,4,623457.9297448428,2.9834375,64,208973.01510249262,a3500
2006Q1,2006,1,643562.3795870609,3.0637499999999998,64,210057.08024057475,a3500
2006Q2,2006,2,727989.1872669109,3.067333333333333,60,237336.18363407225,a3500
2006Q3,2006,3,729299.498006196,3.08703125,64,236246.23106947687,a3500
2006Q4,2006,4,762766.0220752261,3.0795081967213114,61,247690.85625013997,a3500
2007Q1,2007,1,774387.7878412767,3.09546875,64,250168.18142366214,a3500
2007Q2,2007,2,904350.3880930806,3.0822033898305086,59,293410.3541242329,a3500
2007Q3,2007,3,914103.9674019192,3.1369841269841268,63,291395.78984122304,a3500
2007Q4,2007,4,995078.5529513356,3.145409836065574,61,316358.9499662869,a3500
2008Q1,2008,1,1032356.8732593585,3.152459016393443,61,327476.6992658391,a3500
2008Q2,2008,2,1213883.4109890296,3.1208064516129035,62,388964.6569916783,a3500
2008Q3,2008,3,1183692.2697064732,3.04671875,64,388513.7969188896,a3500
2008Q4,2008,4,1168651.80837968,3.3291935483870967,62,351031.50099094113,a3500
2009Q1,2009,1,1112307.4883262962,3.5438709677419356,62,313867.942273031,a3500
2009Q2,2009,2,1251464.7279338671,3.730508474576271,59,335467.60085460317,a3500
2009Q3,2009,3,1269734.745267083,3.830793650793651,63,331454.7482880013,a3500
2009Q4,2009,4,1358210.1141728326,3.814838709677419,62,356033.4309095029,a3500
2010Q1,2010,1,1418857.9499665094,3.8446774193548388,62,369044.7325499164,a3500
2010Q2,2010,2,1686066.954457782,3.9055000000000004,60,431716.0298189174,a3500
2010Q3,2010,3,1712834.5489382918,3.9384375,64,434902.05162283056,a3500
2010Q4,2010,4,1829124.250415744,3.9645,60,461375.7725856335,a3500
2011Q1,2011,1,1888827.151845796,4.078666666666667,60,463099.17093309807,mep
2011Q2,2011,2,2237123.835414912,4.159016393442623,61,537897.3352791078,a3500
2011Q3,2011,3,2250487.26379217,4.3189230769230775,65,521076.0237469848,mep
2011Q4,2011,4,2339658.163470233,4.493666666666667,60,520656.81258146267,mep
2012Q1,2012,1,2345559.6033526314,4.517704918032787,61,519192.7418699126,a3500
2012Q2,2012,2,2651098.0463880287,5.288448275862069,58,501299.7968588194,mep
2012Q3,2012,3,2704827.54985526,6.190806451612903,62,436910.3720163253,mep
2012Q4,2012,4,2850170.193266278,6.460163934426229,61,441191.6202432131,mep
