fecha,y_obs,y_pred
2004-01-01,,151383.0260580004
2004-02-01,,149784.353871055
2004-03-01,151088.6656633576,152025.75732563678
2004-04-01,,160999.35597167726
2004-05-01,,180992.19769418956
2004-06-01,175286.23735557907,173427.90543970864
2004-07-01,,155789.0666268364
2004-08-01,,153006.0611586169
2004-09-01,163476.40268700384,163784.9764489971
2004-10-01,,158883.5969328765
2004-11-01,,159975.59365442334
2004-12-01,169757.29937227865,170018.2837069524
2005-01-01,,165086.97542380035
2005-02-01,,159341.03104665907
2005-03-01,174282.32317776975,176596.76784453457
2005-04-01,,185869.69760045246
2005-05-01,,222664.30849701536
2005-06-01,209471.5510090024,211649.79188225363
2005-07-01,,193008.3751173234
2005-08-01,,189951.7514788517
2005-09-01,204249.96722712507,204433.8779972164
2005-10-01,,197219.78631816193
2005-11-01,,197705.6213253188
2005-12-01,208973.01510249265,208751.24494916134
2006-01-01,,201573.95089841567
2006-02-01,,192553.2507983152
2006-03-01,210057.08024057475,211360.8773046186
2006-04-01,,211237.67499981335
2006-05-01,,251876.90946868272
2006-06-01,237336.18363407225,238403.5351821513
2006-07-01,,222440.296278797
2006-08-01,,224063.06080900886
2006-09-01,236246.23106947687,236601.81560026488
2006-10-01,,232927.42576092767
2006-11-01,,232954.7538979458
2006-12-01,247690.85625014,251313.77807019762
2007-01-01,,240088.5391479925
2007-02-01,,227683.31473305935
2007-03-01,250168.1814236621,251991.43551131777
2007-04-01,,260167.8749965822
2007-05-01,,313796.23356172617
2007-06-01,293410.3541242329,295663.8282570936
2007-07-01,,275699.7363082562
2007-08-01,,275586.7037941659
2007-09-01,291395.78984122304,291891.5788867737
2007-10-01,,298662.6333158732
2007-11-01,,301187.1021151794
2007-12-01,316358.9499662869,319304.54087168066
2008-01-01,,315489.4682714019
2008-02-01,,303587.36538950226
2008-03-01,327476.6992658391,329812.3971092508
2008-04-01,,348415.2447535369
2008-05-01,,398871.8516702819
2008-06-01,388964.6569916783,402182.1118034086
2008-07-01,,378221.87455097813
2008-08-01,,358875.0644397515
2008-09-01,388513.7969188896,385752.32104667986
