fecha,prestamos_privados_usd_q
2002-12-31,1373.0
2003-01-02,1432.0
2003-01-03,1407.0
2003-01-06,1406.0
2003-01-07,1396.0
2003-01-08,1390.0
2003-01-09,1385.0
2003-01-10,1382.0
2003-01-13,1383.0
2003-01-14,1383.0
2003-01-15,1375.0
2003-01-16,1381.0
2003-01-17,1371.0
2003-01-20,1368.0
2003-01-21,1372.0
2003-01-22,1363.0
2003-01-23,1372.0
2003-01-24,1374.0
2003-01-27,1379.0
2003-01-28,1387.0
2003-01-29,1382.0
2003-01-30,1380.0
2003-01-31,1410.0
2003-02-03,1363.0
2003-02-04,1373.0
2003-02-05,1387.0
2003-02-06,1382.0
2003-02-07,1394.0
2003-02-10,1399.0
2003-02-11,1396.0
2003-02-12,1398.0
2003-02-13,1415.0
2003-02-14,1418.0
2003-02-17,1415.0
2003-02-18,1413.0
2003-02-19,1408.0
2003-02-20,1410.0
2003-02-21,1399.0
2003-02-24,1399.0
2003-02-25,1401.0
2003-02-26,1396.0
2003-02-27,1398.0
2003-02-28,1368.0
2003-03-03,1392.0
2003-03-04,1392.0
2003-03-05,1386.0
2003-03-06,1387.0
2003-03-07,1381.0
2003-03-10,1389.0
2003-03-11,1383.0
2003-03-12,1382.0
2003-03-13,1382.0
2003-03-14,1383.0
2003-03-17,1383.0
2003-03-18,1383.0
2003-03-19,1377.0
2003-03-20,1372.0
2003-03-21,1369.0
2003-03-24,1372.0
2003-03-25,1366.0
2003-03-26,1362.0
2003-03-27,1365.0
2003-03-28,1378.0
2003-04-01,1369.0
2003-04-02,1366.0
2003-04-03,1367.0
2003-04-04,1370.0
2003-04-07,1366.0
2003-04-08,1365.0
2003-04-09,1368.0
2003-04-10,1365.0
2003-04-11,1365.0
2003-04-14,1369.0
2003-04-15,1368.0
2003-04-16,1373.0
2003-04-21,1362.0
2003-04-22,1358.0
2003-04-23,1356.0
2003-04-24,1359.0
2003-04-25,1368.0
2003-04-28,1411.0
2003-04-29,1409.0
2003-04-30,1379.0
2003-05-02,1395.0
2003-05-05,1408.0
2003-05-06,1394.0
2003-05-07,1385.0
2003-05-08,1388.0
2003-05-09,1390.0
2003-05-12,1387.0
2003-05-13,1386.0
2003-05-14,1387.0
2003-05-15,1384.0
2003-05-16,1374.0
2003-05-19,1355.0
2003-05-20,1363.0
2003-05-21,1369.0
2003-05-22,1369.0
2003-05-23,1369.0
2003-05-26,1366.0
2003-05-27,1371.0
2003-05-28,1356.0
2003-05-29,1360.0
2003-05-30,1335.0
2003-06-02,1365.0
2003-06-03,1362.0
2003-06-04,1362.0
2003-06-05,1356.0
2003-06-06,1359.0
2003-06-09,1360.0
2003-06-10,1361.0
2003-06-11,1359.0
2003-06-12,1356.0
2003-06-13,1355.0
2003-06-17,1354.0
2003-06-18,1355.0
2003-06-19,1362.0
2003-06-20,1369.0
2003-06-23,1359.0
2003-06-24,1342.0
2003-06-25,1339.0
2003-06-26,1339.0
2003-06-27,1320.0
2003-06-30,1326.0
2003-07-01,1341.0
2003-07-02,1329.0
2003-07-03,1354.0
2003-07-04,1361.0
2003-07-07,1356.0
2003-07-08,1349.0
2003-07-10,1346.0
2003-07-11,1346.0
2003-07-14,1343.0
2003-07-15,1348.0
2003-07-16,1343.0
2003-07-17,1345.0
2003-07-18,1339.0
2003-07-21,1332.0
2003-07-22,1337.0
2003-07-23,1341.0
2003-07-24,1339.0
2003-07-25,1318.0
2003-07-28,1316.0
2003-07-29,1316.0
2003-07-30,1311.0
2003-07-31,1296.0
2003-08-01,1284.0
2003-08-04,1280.0
2003-08-05,1283.0
2003-08-06,1279.0
2003-08-07,1270.0
2003-08-08,1273.0
2003-08-11,1273.0
2003-08-12,1276.0
2003-08-13,1276.0
2003-08-14,1281.0
2003-08-15,1279.0
2003-08-19,1282.0
2003-08-20,1280.0
2003-08-21,1278.0
2003-08-22,1275.0
2003-08-25,1271.0
2003-08-26,1285.0
2003-08-27,1284.0
2003-08-28,1275.0
2003-08-29,1264.0
2003-09-01,1252.0
2003-09-02,1254.0
2003-09-03,1248.0
2003-09-04,1248.0
2003-09-05,1249.0
2003-09-08,1251.0
2003-09-09,1256.0
2003-09-10,1255.0
2003-09-11,1255.0
2003-09-12,1255.0
2003-09-15,1257.0
2003-09-16,1257.0
2003-09-17,1255.0
2003-09-18,1258.0
2003-09-19,1260.0
2003-09-22,1260.0
2003-09-23,1255.0
2003-09-24,1273.0
2003-09-25,1268.0
2003-09-26,1255.0
2003-09-29,1258.0
2003-09-30,1255.0
2003-10-01,1250.0
2003-10-02,1249.0
2003-10-03,1277.0
2003-10-06,1274.0
2003-10-07,1272.0
2003-10-08,1267.0
2003-10-09,1276.0
2003-10-10,1271.0
2003-10-14,1268.0
2003-10-15,1273.0
2003-10-16,1268.0
2003-10-17,1266.0
2003-10-20,1273.0
2003-10-21,1274.0
2003-10-22,1281.0
2003-10-23,1282.0
2003-10-24,1289.0
2003-10-27,1279.0
2003-10-28,1278.0
2003-10-29,1285.0
2003-10-30,1285.0
2003-10-31,1304.0
2003-11-03,1299.0
2003-11-04,1297.0
2003-11-05,1301.0
2003-11-07,1299.0
2003-11-10,1301.0
2003-11-11,1300.0
2003-11-12,1298.0
2003-11-13,1299.0
2003-11-14,1292.0
2003-11-17,1301.0
2003-11-18,1292.0
2003-11-19,1301.0
2003-11-20,1307.0
2003-11-21,1316.0
2003-11-24,1314.0
2003-11-25,1324.0
2003-11-26,1301.0
2003-11-27,1315.0
2003-11-28,1323.0
2003-12-01,1291.0
2003-12-02,1314.0
2003-12-03,1315.0
2003-12-04,1318.0
2003-12-05,1315.0
2003-12-09,1319.0
2003-12-10,1324.0
2003-12-11,1324.0
2003-12-12,1321.0
2003-12-15,1330.0
2003-12-16,1338.0
2003-12-17,1332.0
2003-12-18,1327.0
2003-12-19,1334.0
2003-12-22,1330.0
2003-12-23,1313.0
2003-12-24,1314.0
2003-12-26,1303.0
2003-12-29,1311.0
2003-12-30,1320.0
2003-12-31,1261.0
2004-01-02,1279.0
2004-01-05,1279.0
2004-01-06,1270.0
2004-01-07,1282.0
2004-01-08,1274.0
2004-01-09,1281.0
2004-01-12,1276.0
2004-01-13,1288.0
2004-01-14,1291.0
2004-01-15,1301.0
2004-01-16,1301.0
2004-01-19,1312.0
2004-01-20,1314.0
2004-01-21,1318.0
2004-01-22,1325.0
2004-01-23,1327.0
2004-01-26,1330.0
2004-01-27,1337.0
2004-01-28,1339.0
2004-01-29,1346.0
2004-01-30,1333.0
2004-02-02,1337.0
2004-02-03,1332.0
2004-02-04,1332.0
2004-02-05,1331.0
2004-02-06,1331.0
2004-02-09,1330.0
2004-02-10,1325.0
2004-02-11,1319.0
2004-02-12,1324.0
2004-02-13,1319.0
2004-02-16,1326.0
2004-02-17,1327.0
2004-02-18,1328.0
2004-02-19,1324.0
2004-02-20,1322.0
2004-02-23,1324.0
2004-02-24,1322.0
2004-02-25,1323.0
2004-02-26,1321.0
2004-02-27,1315.0
2004-03-01,1318.0
2004-03-02,1318.0
2004-03-03,1316.0
2004-03-04,1319.0
2004-03-05,1318.0
2004-03-08,1317.0
2004-03-09,1323.0
2004-03-10,1324.0
2004-03-11,1325.0
2004-03-12,1323.0
2004-03-15,1311.0
2004-03-16,1301.0
2004-03-17,1310.0
2004-03-18,1310.0
2004-03-19,1318.0
2004-03-22,1326.0
2004-03-23,1152.0
2004-03-24,1157.0
2004-03-25,1147.0
2004-03-26,1199.0
2004-03-29,1204.0
2004-03-30,1205.0
2004-03-31,1206.0
2004-04-01,1202.0
2004-04-02,1203.0
2004-04-06,1203.0
2004-04-07,1202.0
2004-04-12,1203.0
2004-04-13,1205.0
2004-04-14,1201.0
2004-04-15,1194.0
2004-04-16,1196.0
2004-04-19,1196.0
2004-04-20,1197.0
2004-04-21,1197.0
2004-04-22,1196.0
2004-04-23,1200.0
2004-04-26,1198.0
2004-04-27,1184.0
2004-04-28,1178.0
2004-04-29,1185.0
2004-04-30,1184.0
2004-05-03,1180.0
2004-05-04,1184.0
2004-05-05,1183.0
2004-05-06,1177.0
