fecha,Y_real,Y_nom,Y_pot,GAP,K,L,L_pleno,TA,u_rate,e_rate,NAIRU,PTF_smooth,TI,TI_star,T_nom,G_nom,Tx_nom,T_CA,G_CA,Tx_estruct,componente_ciclico_commodity,SP_observado,SP_oficial,SP_oficial_neto,SCA,SE,SP_pctPIB,SP_oficial_pctPIB,SCA_pctPIB,SE_pctPIB,Tx_pctPIB
2006-03-01,532348.2120,643562.3796,550664.2706,-0.0333,1291701.9650,16264131.4058,16377130.9969,0.4644,0.1131,0.4119,0.1069,0.1543,96.6399,123.8282,33558.2000,29041.4100,2869.4000,34877.5934,29466.9286,3676.6636,-807.2636,4516.7900,4911.5900,4908.9900,5410.6648,6217.9285,2.8074,3.0528,3.3629,3.8647,1.7834
2006-06-01,614076.3926,727989.1873,562015.0425,0.0926,1301582.7557,16677815.1103,16668392.1736,0.4698,0.1032,0.4213,0.1038,0.1557,96.9771,123.8282,39771.4000,32999.9000,3448.4227,35950.9186,31766.4442,4403.2220,-954.7993,6771.5000,7682.9000,7680.6000,4184.4744,5139.2736,3.7207,4.2214,2.2992,2.8238,1.8948
2006-09-01,562978.9656,729299.4980,569353.1212,-0.0112,1311555.8480,16668863.4036,16672902.2390,0.4671,0.1009,0.4200,0.1007,0.1570,98.3285,123.8282,39595.5000,33912.3000,4234.3478,40106.9747,34076.8738,5332.4453,-1098.0975,5683.2000,6508.3000,6507.0000,6030.1008,7128.1984,3.1171,3.5696,3.3073,3.9096,2.3224
2006-12-01,572794.0466,762766.0221,576094.3620,-0.0057,1320722.1152,16881053.9977,16666542.3478,0.4643,0.0862,0.4243,0.0979,0.1582,100.5272,123.8282,42342.5000,39402.7000,4159.5083,42620.7359,39500.1630,5123.6283,-964.1200,2939.8000,4062.0000,4061.3000,3120.5729,4084.6929,1.5417,2.1301,1.6365,2.1420,2.1813
2007-03-01,576846.8857,774387.7878,585113.8085,-0.0141,1331759.0687,16775973.2326,16808300.8380,0.4657,0.0969,0.4206,0.0952,0.1594,103.2337,123.8282,32489.0000,28980.4000,3767.9335,33020.3225,29158.2656,4519.6100,-751.6765,3508.6000,5089.3000,5086.2000,3862.0569,4613.7335,1.8123,2.6288,1.9949,2.3832,1.9463
2007-06-01,674620.5630,904350.3881,592939.1959,0.1378,1346133.7848,17003370.5585,16822533.2830,0.4637,0.0829,0.4253,0.0926,0.1604,99.5490,123.8282,40494.3000,31840.1200,4767.3600,34954.0548,30121.2817,5930.0771,-1162.7171,8654.1800,9274.5800,9238.4800,4832.7732,5995.4903,3.8278,4.1022,2.1376,2.6518,2.1086
2007-09-01,610425.6940,914103.9674,600405.8709,0.0167,1361205.5075,16996367.9953,16824337.9138,0.4614,0.0810,0.4240,0.0903,0.1613,99.1317,123.8282,44218.2000,36579.7000,4969.6589,43391.7216,36320.2938,6207.7417,-1238.0829,7638.5000,8473.1000,8471.7000,7071.4278,8309.5107,3.3425,3.7077,3.0944,3.6361,2.1747
2007-12-01,625876.8679,995078.5530,605775.3426,0.0332,1375572.6935,16957508.4930,16720179.4736,0.4563,0.0752,0.4220,0.0882,0.1622,114.0427,123.8282,42601.0000,40955.1000,6944.7893,41044.7544,40384.2245,7540.6915,-595.9022,1645.9000,2881.6000,2873.7000,660.5299,1256.4321,0.6616,1.1583,0.2655,0.5051,2.7917
2008-03-01,616720.3571,1032356.8733,614682.1198,0.0033,1390762.4645,16929082.3964,16871446.0594,0.4583,0.0831,0.4202,0.0862,0.1629,126.8960,123.8282,46273.9000,39023.9000,7940.4697,46099.5962,38968.3895,7748.5028,191.9669,7250.0000,8844.0000,8844.0000,7131.2067,6939.2398,2.8091,3.4267,2.7631,2.6887,3.0766
2008-06-01,711405.5005,1213883.4110,623180.2500,0.1416,1409785.2790,17039763.4804,16948468.0301,0.4583,0.0795,0.4219,0.0845,0.1635,113.6932,123.8282,52722.0000,44520.1000,8514.7677,45335.4409,42056.1594,9273.7992,-759.0314,8201.9000,11465.5000,11465.5000,3279.2815,4038.3130,2.7027,3.7781,1.0806,1.3307,2.8058
2008-09-01,647087.9597,1183692.2697,629083.4129,0.0286,1426435.4351,17010924.2014,16916090.5430,0.4555,0.0777,0.4201,0.0829,0.1640,115.2736,123.8282,56902.8000,47772.1000,11405.6728,55101.4263,47195.9406,12252.1004,-846.4276,9130.7000,11257.1000,11257.1000,7905.4856,8751.9132,3.0855,3.8041,2.6715,2.9575,3.8543
2008-12-01,613490.8217,1168651.8084,638571.7557,-0.0393,1438038.2443,17397060.9310,17234166.9717,0.4621,0.0728,0.4284,0.0815,0.1644,111.7512,123.8282,54950.8000,55289.6000,8194.3380,57519.0738,56250.4695,9079.9012,-885.5633,-338.8000,962.1000,962.1000,1268.6044,2154.1676,-0.1160,0.3293,0.4342,0.7373,2.8047
