fecha,embi_arg
1999-01-22,937
1999-02-01,790
1999-02-02,769
1999-02-03,772
1999-02-04,777
1999-02-05,784
1999-02-08,810
1999-02-09,815
1999-02-10,795
1999-02-11,759
1999-02-12,742
1999-02-15,751
1999-02-16,724
1999-02-17,747
1999-02-18,753
1999-02-19,747
1999-02-22,762
1999-02-23,766
1999-02-24,767
1999-02-25,775
1999-02-26,786
1999-03-01,766
1999-03-02,799
1999-03-03,780
1999-03-04,748
1999-03-05,744
1999-03-08,742
1999-03-09,738
1999-03-10,716
1999-03-11,719
1999-03-12,709
1999-03-15,687
1999-03-16,700
1999-03-17,697
1999-03-18,689
1999-03-19,683
1999-03-22,682
1999-03-23,704
1999-03-24,698
1999-03-25,687
1999-03-26,689
1999-03-29,693
1999-03-30,696
1999-03-31,683
1999-04-01,661
1999-04-02,672
1999-04-05,660
1999-04-06,669
1999-04-07,643
1999-04-08,641
1999-04-09,641
1999-04-12,615
1999-04-13,611
1999-04-14,621
1999-04-15,623
1999-04-16,597
1999-04-19,612
1999-04-20,608
1999-04-21,597
1999-04-22,603
1999-04-23,622
1999-04-26,607
1999-04-27,615
1999-04-28,635
1999-04-29,621
1999-04-30,589
1999-05-03,585
1999-05-04,587
1999-05-05,591
1999-05-06,586
1999-05-07,576
1999-05-10,581
1999-05-11,610
1999-05-12,613
1999-05-13,623
1999-05-14,620
1999-05-17,657
1999-05-18,658
1999-05-19,718
1999-05-20,746
1999-05-21,775
1999-05-24,820
1999-05-25,806
1999-05-26,734
1999-05-27,783
1999-05-28,778
1999-06-01,790
1999-06-02,776
1999-06-03,770
1999-06-04,751
1999-06-07,738
1999-06-08,743
1999-06-09,750
1999-06-10,753
1999-06-11,768
1999-06-14,764
1999-06-15,754
1999-06-16,723
1999-06-17,729
1999-06-18,735
1999-06-21,726
1999-06-22,749
1999-06-23,732
1999-06-24,733
1999-06-25,745
1999-06-28,770
1999-06-29,761
1999-06-30,760
1999-07-01,777
1999-07-02,778
1999-07-05,779
1999-07-06,781
1999-07-07,789
1999-07-08,847
1999-07-09,890
1999-07-12,947
1999-07-13,923
1999-07-14,870
1999-07-15,890
1999-07-16,879
1999-07-19,868
1999-07-20,882
1999-07-21,888
1999-07-22,873
1999-07-23,885
1999-07-26,896
1999-07-27,887
1999-07-28,873
1999-07-29,856
1999-07-30,848
1999-08-02,874
1999-08-03,894
1999-08-04,907
1999-08-05,909
1999-08-06,905
1999-08-09,901
1999-08-10,900
1999-08-11,886
1999-08-12,853
1999-08-13,840
1999-08-16,833
1999-08-17,808
1999-08-18,837
1999-08-19,853
1999-08-20,852
1999-08-23,845
1999-08-24,845
1999-08-25,812
1999-08-26,811
1999-08-27,789
1999-08-30,786
1999-08-31,764
1999-09-01,763
1999-09-02,769
1999-09-03,765
1999-09-06,759
1999-09-07,739
1999-09-08,734
1999-09-09,706
1999-09-10,684
1999-09-13,689
1999-09-14,691
1999-09-15,704
1999-09-16,714
1999-09-17,701
1999-09-20,687
1999-09-21,705
1999-09-22,700
1999-09-23,694
1999-09-24,693
1999-09-27,680
1999-09-28,681
1999-09-29,669
1999-09-30,677
1999-10-01,668
1999-10-04,653
1999-10-05,658
1999-10-06,645
1999-10-07,642
1999-10-08,645
1999-10-11,644
1999-10-12,669
1999-10-13,677
1999-10-14,672
1999-10-15,696
1999-10-18,688
1999-10-19,671
1999-10-20,662
1999-10-21,639
1999-10-22,613
1999-10-25,620
1999-10-26,607
1999-10-27,621
1999-10-28,564
1999-10-29,635
1999-11-01,628
1999-11-02,629
1999-11-03,633
1999-11-04,618
1999-11-05,622
1999-11-08,615
1999-11-09,614
1999-11-10,617
1999-11-11,616
1999-11-12,617
1999-11-15,628
1999-11-16,620
1999-11-17,647
1999-11-18,642
1999-11-19,667
1999-11-22,652
1999-11-23,645
1999-11-24,641
1999-11-25,631
1999-11-26,641
1999-11-29,630
1999-11-30,657
1999-12-01,656
1999-12-02,646
1999-12-03,629
1999-12-06,633
1999-12-07,618
1999-12-08,620
1999-12-09,615
1999-12-10,607
1999-12-13,584
1999-12-14,580
1999-12-15,567
1999-12-16,570
1999-12-17,566
1999-12-20,570
1999-12-21,543
1999-12-22,547
1999-12-23,545
1999-12-24,546
1999-12-27,549
1999-12-28,544
1999-12-29,542
1999-12-30,544
1999-12-31,531
2000-01-03,509
2000-01-04,558
2000-01-05,540
2000-01-06,566
2000-01-07,558
2000-01-10,558
2000-01-11,560
2000-01-12,561
2000-01-13,551
2000-01-14,545
2000-01-18,540
2000-01-19,546
2000-01-20,548
2000-01-21,545
2000-01-24,558
2000-01-25,561
2000-01-26,567
2000-01-27,571
2000-01-28,592
2000-01-31,593
2000-02-01,583
2000-02-02,588
2000-02-03,595
2000-02-04,569
2000-02-07,547
2000-02-08,549
2000-02-09,549
2000-02-10,544
2000-02-11,551
2000-02-14,553
2000-02-15,548
2000-02-16,551
2000-02-17,550
2000-02-18,563
2000-02-22,581
