fecha,deuda_total,deuda_pago_normal,deuda_titulos_publicos,deuda_bonos,deuda_letras,deuda_letras_tesoro,deuda_prestamos,deuda_prest_garantiz,deuda_org_internac,deuda_bid,deuda_birf,deuda_caf,deuda_fmi,deuda_bilaterales,deuda_club_paris,deuda_banca_com,deuda_anticipos_bcra,deuda_pago_diferido,deuda_elegible_pend
2007-06-01,169110.1,142085.3,92004.3,92004.3,1295.5,1295.5,48785.5,12939.4,14506.2,8295.5,5973.9,133.0,,1690.6,651.5,820.7,5926.3,8555.4,18469.4
2007-09-01,168428.7,140335.7,90771.5,90771.5,1430.8,1430.8,48133.3,12790.2,14224.5,8180.0,5791.5,148.4,,1544.0,679.7,1021.7,5819.0,8279.4,19813.6
2007-12-01,176414.8,147557.8,93777.0,93777.0,1954.9,1954.9,51825.9,13037.4,15050.2,8792.9,5727.9,416.1,,1444.2,462.7,1165.2,6773.6,8318.3,20538.7
2008-03-01,176519.4,146184.6,94157.3,94157.3,2037.9,2037.9,49989.4,13161.8,14520.3,8525.7,5462.1,416.1,,1426.0,493.0,1296.1,6733.0,7623.6,22711.2
2008-06-01,181356.1,150744.0,97680.9,97680.9,2134.2,2134.2,50928.9,13453.3,14373.5,8541.2,5303.5,406.1,,1327.0,243.3,1501.6,7051.2,7050.3,23561.9
2008-09-01,174811.3,146056.5,93729.1,93729.1,2611.2,2611.2,49716.2,13101.5,14265.3,8562.2,5121.6,459.5,,1307.8,227.8,1561.3,6803.8,6185.9,22568.9
2008-12-01,174634.0,145649.7,90891.8,90891.8,4089.9,4089.9,50668.0,11995.3,14769.3,8867.7,5100.4,680.2,,1274.8,,1453.2,7699.9,6013.8,22970.5
2009-06-01,168791.2,139664.1,93637.2,93637.2,2799.4,2799.4,43227.5,5295.0,14920.4,8842.4,5222.9,738.0,,1243.1,,3062.8,8396.1,5226.2,23900.9
2009-09-01,170520.6,140517.0,92134.2,92134.2,3263.8,3263.8,45119.0,4560.5,15326.2,9235.1,5158.2,818.9,,1245.1,,4771.5,8170.7,5271.9,24731.6
2009-12-01,175444.9,145636.9,92625.9,92625.9,2767.1,2767.1,50243.9,4541.2,16208.9,9671.4,5316.7,1107.2,,1220.2,,5102.1,9626.3,4762.4,25045.6
2010-03-01,179062.3,150156.2,100168.1,100168.1,1713.1,1713.1,48275.0,4541.5,16177.0,9722.3,5213.6,1131.5,,1168.1,,5421.8,9896.9,4486.3,24419.7
2010-06-01,170324.0,153845.3,102911.4,102911.4,2233.9,2233.9,48700.0,,16317.5,9790.6,5293.2,1119.4,,1595.8,,5712.5,10221.3,3057.5,13421.2
2010-09-01,168355.0,157165.7,106144.9,106144.9,1818.1,1818.1,49202.7,,16452.8,9964.0,5250.6,1126.4,,1561.6,,5936.9,10133.8,2581.1,8608.2
2010-12-01,171795.3,160577.0,104507.3,104507.3,3960.7,3960.7,52109.0,4425.0,16958.1,10253.9,5349.4,1246.3,,1478.6,,6055.3,11614.7,2576.2,8642.1
2011-03-01,169245.8,166276.6,112986.5,112986.5,2590.5,2590.5,50699.6,4422.8,16954.3,10172.5,5316.7,1358.1,,1221.3,,5892.5,11045.9,397.9,2571.4
2011-06-01,172437.2,169565.9,115826.7,115826.7,2268.0,2268.0,51471.2,4317.1,17301.2,10430.6,5378.8,1389.3,,1137.3,,6579.6,11236.0,392.4,2478.9
2011-09-01,171311.8,168475.2,113582.9,113582.9,2590.5,2590.5,52301.8,4282.3,17512.3,10545.6,5368.5,1496.8,,1076.3,,6471.3,11945.3,370.0,2466.7
2011-12-01,175184.7,172359.3,114650.8,114650.8,1833.4,1833.4,55875.2,4121.4,17934.7,10649.5,5555.4,1625.4,,1213.4,,6525.0,15597.1,362.3,2463.1
2012-03-01,177304.9,174600.2,115903.0,115903.0,1453.8,1453.8,57243.4,3964.7,18012.8,10656.5,5582.1,1671.7,,1165.8,,6971.6,16117.8,350.3,2354.4
2012-06-01,178962.4,176273.9,117100.2,117100.2,2560.4,2560.4,56613.2,3898.5,17880.9,10542.9,5582.7,1657.5,,1101.5,,6740.0,16673.3,342.8,2345.7
2012-09-01,183271.1,180588.0,118724.9,118724.9,2829.1,2829.1,59034.1,3837.6,18077.7,10642.6,5556.9,1785.1,,1046.4,,6918.2,19210.1,335.1,2347.9
2012-12-01,193706.8,191030.8,120313.4,120313.4,5243.8,5243.8,65473.6,3753.3,18334.6,10766.1,5625.7,1851.0,,676.9,,7212.6,25971.9,324.4,2351.7
2013-03-01,191752.3,189090.4,120047.4,120047.4,5395.4,5395.4,63647.6,3608.9,18222.1,10676.0,5557.8,1899.3,,607.7,,7132.4,24937.5,314.4,2347.5
2013-06-01,192641.6,190070.9,120342.5,120342.5,4909.1,4909.1,64819.4,3497.4,18510.3,10668.5,5845.1,1909.0,,538.2,,6790.9,26870.8,220.9,2349.7
2013-09-01,197377.7,194805.2,127718.8,127718.8,3674.0,3674.0,63412.4,3331.5,18723.4,10683.4,5853.4,2098.3,,530.1,,6259.6,26537.2,217.3,2355.2
2013-12-01,199051.5,196481.4,128559.1,128559.1,3679.1,3679.1,64243.2,3034.7,19394.2,10994.5,6121.8,2191.3,,615.0,,6005.2,28001.8,212.5,2357.6
2014-06-01,201166.8,198749.3,131319.0,131319.0,4502.7,4502.7,62927.6,2798.0,19061.9,10807.4,5900.4,2261.5,,907.9,9663.0,4851.7,24143.3,60.5,2357.0
2014-12-01,224038.9,221638.8,146042.9,146042.9,8732.5,8732.5,66863.4,2877.1,19857.4,11341.4,6007.2,2419.2,,1058.8,8124.3,4281.7,29402.5,60.5,2339.6
2015-03-01,222281.9,219896.8,144280.8,144280.8,8555.6,8555.6,67060.3,2876.8,19646.1,11182.4,5914.4,2461.0,,1350.7,7676.6,5063.0,29224.4,60.5,2324.7
2015-06-01,228531.8,226222.0,150570.4,150570.4,8327.8,8327.8,67323.8,2756.5,19651.5,11174.6,5858.3,2524.9,,1492.8,7363.6,4932.1,29973.0,60.5,2249.3
2015-09-01,242163.0,239852.8,164193.4,164193.4,7260.2,7260.2,68399.2,2751.8,19776.9,11155.8,5918.9,2595.0,,1565.5,7389.7,4761.8,31037.7,60.5,2249.8
2015-12-01,229100.2,222598.8,152463.3,152463.3,7686.9,7686.9,62448.6,2075.8,19768.2,11206.7,5851.8,2590.0,,1994.0,7271.9,3923.5,25517.1,60.5,6440.9
2016-03-01,223798.5,217047.7,151556.5,151556.5,6499.8,6499.8,58991.3,2045.5,19694.9,11298.4,5702.9,2578.4,,1976.9,7561.6,3540.0,23169.5,60.5,6690.3
2016-06-01,238453.8,235959.9,167911.3,167911.3,9305.4,9305.4,58743.2,1994.0,19773.8,11370.4,5736.5,2554.4,,1974.3,6194.4,3488.9,24380.0,60.5,2433.5
2016-09-01,244754.0,242235.9,173564.6,173564.6,10745.8,10745.8,57925.4,2092.7,19618.2,11273.1,5668.7,2560.7,,2012.9,6260.3,2390.8,24642.8,60.5,2457.7
2016-12-01,268024.4,266874.7,184700.0,184700.0,23700.3,23700.3,58474.4,1844.7,20230.5,11422.3,6047.7,2641.0,,1993.1,5859.1,1879.4,24115.2,60.5,1089.2
2017-03-01,282310.6,281776.5,198753.9,198753.9,22901.2,22901.2,60121.4,1593.1,20013.6,11278.3,6000.8,2612.3,,2115.0,5963.7,1671.1,27287.4,,534.1
2017-06-01,291373.3,290850.7,204098.3,204098.3,26348.4,26348.4,60403.9,1378.2,20090.3,11277.4,6016.2,2664.8,,2153.1,5182.6,1336.6,28841.8,,522.6
2017-09-01,303260.0,302736.1,212425.9,212425.9,31461.9,26963.4,58848.2,1377.5,20181.3,11183.5,6084.1,2774.9,,2349.1,5263.3,1055.1,27267.7,,523.9
2017-12-01,318475.3,317950.8,221925.9,221925.9,34589.6,30091.0,61435.3,1139.3,21327.0,11778.0,6327.8,3038.7,,2987.8,5296.3,3171.5,25153.1,,524.5
2018-03-01,331481.2,328469.0,235185.6,235185.6,33300.3,28801.8,59983.1,1136.2,20974.6,11579.7,6188.6,3015.2,,3088.8,5430.3,2955.2,25176.1,108.2,2903.9
2018-06-01,327166.7,324233.5,230696.7,230696.7,28292.8,23794.3,65243.9,705.6,35765.4,11469.3,6222.5,2964.0,14911.1,3159.5,3628.8,2092.7,18783.7,105.7,2827.5
2018-09-01,307656.5,304746.2,218532.6,218532.6,27653.4,23154.8,58560.2,548.3,36378.7,11636.9,6181.1,3421.0,14879.7,3242.2,3597.8,1495.7,12292.7,105.0,2805.3
2018-12-01,332191.8,329281.5,219459.2,219459.2,34250.0,26832.8,75572.3,683.5,51037.4,12331.9,6879.3,3467.4,28031.8,3316.4,3595.7,1662.4,13296.8,104.8,2805.4
2019-03-01,324898.3,322317.3,215330.2,215330.2,34653.1,34653.1,72334.0,637.9,50872.0,12176.4,6802.9,3475.8,28062.9,3311.5,3558.3,1140.9,11596.1,104.1,2476.9
2019-06-01,337267.1,334706.1,214827.1,214827.1,36824.5,36824.5,83054.5,729.1,62752.6,12911.9,6960.7,3557.6,38940.4,3364.9,1955.6,1187.1,11843.4,104.7,2456.3
2019-09-01,311251.2,308742.7,191006.5,191006.5,33649.9,33649.9,84086.3,584.4,67389.9,12756.1,7060.9,3662.7,43508.8,3374.2,1915.2,972.0,8734.3,103.0,2405.5
2019-12-01,323064.6,320525.4,194152.8,194152.8,31291.8,31291.8,95080.8,640.3,68000.7,12647.0,7127.8,3655.8,44128.5,3456.8,1941.3,2784.9,14237.1,104.0,2435.2
2020-03-01,323381.2,320855.3,199726.0,199726.0,26026.0,26026.0,95103.3,633.6,67200.3,12506.4,7145.6,3547.1,43556.3,3353.7,1930.8,2529.7,16825.4,103.5,2422.4
2020-06-01,324552.4,322014.6,198847.8,198847.8,27807.2,27807.2,95359.6,618.3,68254.8,12903.8,7385.1,3546.0,43903.9,3350.8,2123.2,1934.0,16531.5,104.0,2433.8
2020-09-01,332247.5,329672.4,209896.6,209896.6,21981.7,21981.7,97794.1,608.1,69226.7,12844.8,7495.0,3420.3,44923.6,3211.3,2180.6,1899.2,18198.0,105.3,2469.8
2020-12-01,335582.2,332975.0,216767.9,216767.9,18767.9,18767.9,97439.2,605.0,71268.1,13368.1,7721.1,3649.1,45965.3,3247.6,2240.2,2028.8,14979.5,106.7,2500.5
2021-03-01,335556.1,332989.6,218808.9,218808.9,18821.8,18821.8,95358.9,619.0,70261.6,13197.7,7738.4,3511.7,45229.2,3083.2,2155.6,1895.9,15170.4,105.3,2461.2
2021-06-01,343523.9,340944.2,222214.7,222214.7,23309.7,23309.7,95419.8,671.0,70563.5,13144.8,7852.7,3450.6,45519.5,3065.6,1987.7,1835.2,15152.0,105.8,2473.9
2021-09-01,342620.1,340061.3,223538.8,223538.8,28834.7,28834.7,87687.8,711.5,68063.7,13246.6,7805.0,3315.6,43092.4,2907.5,1739.9,1818.2,10361.6,105.1,2453.7
2021-12-01,363232.6,360688.7,230368.9,230368.9,30120.4,30120.4,100199.4,751.0,68065.4,14051.6,8517.4,3781.4,40952.1,2995.8,1714.1,2530.1,21148.9,104.6,2439.3
2022-03-01,376300.4,373780.7,232736.3,232736.3,37171.6,37171.6,103872.8,777.1,73561.1,13935.2,8562.1,3665.3,46632.0,2864.3,1486.2,2378.1,20680.2,103.7,2416.0
2022-06-01,378505.6,376032.5,236639.9,236639.9,36798.7,36798.7,102593.9,816.6,72538.5,13903.4,8755.5,3666.1,45421.4,2885.8,1412.9,2114.1,20829.0,102.2,2370.9
