fecha,deuda_pago_normal,deuda_arp,deuda_ucp_cer,deuda_usd,deuda_eur,deuda_jpy,deuda_deg,deuda_otras,deuda_moneda_local,deuda_moneda_ext
2007-06-01,142085.3,8352.2,56302.3,59636.1,14879.9,465.1,2351.9,97.8,64654.5,77430.8
2007-09-01,140335.7,8346.6,56157.6,57724.9,15146.4,497.0,2360.5,102.6,64504.2,75831.40000000001
2007-12-01,147557.8,11396.7,56789.7,60896.9,15701.7,438.3,2259.1,75.4,68186.4,79371.40000000001
2008-03-01,146184.6,9832.1,57395.0,60199.5,15852.4,492.7,2334.1,78.8,67227.1,78957.5
2008-06-01,150744.0,10566.3,61112.8,61301.7,15197.6,390.9,2131.7,43.0,71679.1,79064.9
2008-09-01,146056.5,10734.2,59406.1,59911.3,13540.4,387.0,2035.6,42.0,70140.3,75916.3
2008-12-01,145649.7,15852.7,53284.8,60577.3,13561.3,397.2,1956.7,19.6,69137.5,76512.1
2009-06-01,139664.1,20491.1,43297.6,60674.8,13123.2,360.6,1697.2,19.6,63788.7,75875.40000000001
2009-09-01,140517.0,26274.7,38186.2,61889.3,13616.9,355.2,175.3,19.3,64460.899999999994,76056.0
2009-12-01,145636.9,30136.5,37380.5,64698.6,12908.6,334.5,160.6,17.7,67517.0,78120.0
2010-03-01,150156.2,27382.6,37308.4,72805.6,12168.1,329.4,146.1,15.9,64691.0,85465.1
2010-06-01,153845.3,28068.4,37552.0,74972.7,12737.5,369.5,131.3,13.9,65620.4,88224.9
2010-09-01,157165.7,27788.3,37606.0,74709.7,16591.1,405.7,52.5,12.3,65394.3,91771.29999999999
2010-12-01,160577.0,29688.0,38031.6,75993.2,16384.9,418.2,49.4,11.7,67719.6,92857.4
2011-03-01,166276.6,28797.4,37707.7,82270.9,17071.6,374.0,43.3,11.6,66505.1,99771.40000000001
2011-06-01,169565.9,29615.2,37892.6,84053.9,17570.4,386.8,38.6,8.2,67507.8,102057.9
2011-09-01,168475.2,30114.6,37523.1,84162.6,16230.4,404.1,32.3,8.2,67637.7,100837.6
2011-12-01,172359.3,34261.9,37062.2,84777.3,15813.7,404.5,32.5,7.1,71324.1,101035.1
2012-03-01,174600.2,35083.9,36850.0,85984.7,16271.2,376.8,26.8,6.8,71933.9,102666.3
2012-06-01,176273.9,34448.2,36473.1,89439.9,15506.8,392.0,8.9,4.9,70921.29999999999,105352.49999999999
2012-09-01,180588.0,38025.3,35700.1,90687.9,15755.0,401.5,13.2,5.1,73725.4,106862.7
2012-12-01,191030.8,45838.8,35121.2,93433.6,16255.5,361.3,15.1,5.2,80960.0,110070.70000000001
2013-03-01,189090.4,45074.9,34282.0,93594.5,15784.9,332.8,16.1,5.3,79356.9,109733.6
2013-06-01,190070.9,47034.7,33222.6,93364.1,16110.9,316.5,18.1,4.1,80257.29999999999,109813.70000000001
2013-09-01,194805.2,45426.3,31387.9,100909.8,16737.0,319.8,20.4,4.1,76814.20000000001,117991.1
2013-12-01,196481.4,47787.1,28422.9,101898.5,17103.7,298.9,21.9,948.4,76210.0,120271.39999999998
2014-06-01,198749.3,42351.3,20949.7,109811.0,21782.3,2505.3,25.5,1324.2,63301.0,135448.3
2014-12-01,221638.8,53940.7,21424.2,122229.3,18973.6,1995.5,25.6,3049.9,75364.9,146273.9
2015-03-01,219896.8,54616.6,21372.7,121921.8,16812.4,1987.2,25.7,3160.3,75989.3,143907.40000000002
2015-06-01,226222.0,57746.1,21297.0,124944.6,17248.6,1855.7,25.5,3104.5,79043.1,147178.90000000002
2015-09-01,239852.8,59044.5,21218.9,134601.6,17304.5,1895.7,25.4,5762.2,80263.4,159589.40000000002
2015-12-01,222598.8,50791.5,15970.1,129554.6,16818.2,1888.5,23.6,7552.3,66761.6,155837.2
2016-03-01,217047.7,44736.1,15721.4,129386.7,17608.3,2017.0,24.0,7554.1,60457.5,156590.1
2016-06-01,235959.9,44260.1,16619.2,149339.8,16526.1,1813.1,22.4,7379.1,60879.3,175080.5
2016-09-01,242235.9,43305.8,18451.5,154486.1,16737.1,1845.0,22.6,7387.8,61757.3,180478.6
2016-12-01,266874.7,60938.0,19527.1,159474.9,18311.8,1600.3,20.3,7002.3,80465.1,186409.59999999995
2017-03-01,281776.5,65031.4,21512.5,170231.7,18529.4,1678.1,20.7,4772.7,86543.9,195232.60000000003
2017-06-01,290850.7,70568.1,21114.1,174159.0,19413.6,1439.8,19.7,4136.3,91682.20000000001,199168.4
2017-09-01,302736.1,68922.3,21085.9,188574.7,20070.1,1436.9,20.0,2626.2,90008.20000000001,212727.90000000002
2017-12-01,317950.8,72739.6,25714.4,191777.0,23672.1,1434.6,19.0,2594.2,98454.0,219496.90000000002
2018-03-01,328469.0,70874.3,27059.9,203063.7,24271.4,1511.6,19.8,1668.3,97934.20000000001,230534.8
2018-06-01,324233.5,58729.4,21181.7,202845.1,22282.2,1089.0,14928.7,3177.5,79911.1,244322.50000000003
2018-09-01,304746.2,43938.2,16450.5,201464.4,22121.8,1060.8,14897.4,4813.2,60388.7,244357.59999999998
2018-12-01,329281.5,52763.1,21793.8,199244.5,21793.2,1099.1,28047.8,4540.0,74556.9,254724.6
