fecha,y_obs,y_pred
2006-01-01,,2072.6428333333333
2006-02-01,,2072.6428333333333
2006-03-01,2072.6428333333333,2072.6428333333333
2006-04-01,,-10142.811062641627
2006-05-01,,-5483.707555285291
2006-06-01,1713.0912,1713.0912
2006-07-01,,-7008.292562403537
2006-08-01,,-6737.975199385548
2006-09-01,2376.0661333333333,2376.0661333333333
2006-10-01,,-6796.09596130568
2006-11-01,,-7467.749991620941
2006-12-01,1361.5643,1361.5643
2007-01-01,,-9329.204554658892
2007-02-01,,-14346.800974631564
2007-03-01,1537.9111666666668,1537.9111666666668
2007-04-01,,-18821.883158795725
2007-05-01,,-11834.1967022317
2007-06-01,1998.4967666666669,1998.4967666666669
2007-07-01,,-14457.513365904095
2007-08-01,,-13750.826993777026
2007-09-01,2769.8369000000002,2769.8369000000002
2007-10-01,,-14312.747449463244
2007-11-01,,-15248.182253046502
2007-12-01,418.8107,418.8107
2008-01-01,,-15660.874504239197
2008-02-01,,-20501.55976816923
2008-03-01,2313.0799333333334,2313.0799333333334
2008-04-01,,-25027.083078212443
2008-05-01,,-18163.670751547463
2008-06-01,1346.1043333333334,1346.1043333333334
2008-07-01,,-20184.76592732346
2008-08-01,,-20328.252493573378
2008-09-01,2917.3044000000004,2917.3044000000004
2008-10-01,,-20220.077886216885
2008-11-01,,-22864.94838288739
2008-12-01,718.0558666666667,718.0558666666667
2009-01-01,,-23529.289258579818
2009-02-01,,-27656.172123559805
2009-03-01,2820.5064,2820.5064
2009-04-01,,-32860.95228765093
2009-05-01,,-27780.656941471927
2009-06-01,3.345133333333333,3.345133333333333
2009-07-01,,-29052.82457107447
2009-08-01,,-29155.28900170151
2009-09-01,658.9408,658.9408
2009-10-01,,-30298.912710948476
2009-11-01,,-27100.897785752317
2009-12-01,941.4980999999999,941.4980999999999
2010-01-01,,-29816.672288753773
2010-02-01,,-35415.08476326481
2010-03-01,881.2919333333333,881.2919333333333
2010-04-01,,-37668.14552157103
2010-05-01,,-32779.65563400972
2010-06-01,16.3811,16.3811
2010-07-01,,-32987.89821574801
2010-08-01,,-33423.37125255984
2010-09-01,910.1146333333332,910.1146333333332
2010-10-01,,-34005.9965127465
2010-11-01,,-33196.37393391974
2010-12-01,-4688.302733333333,-4688.302733333333
2011-01-01,,-34770.92151327928
