fecha,icg,icc,orientacion_gobierno,icg_transformado,icc_transformado
1998-07-01,,,0,,
1998-08-01,,,0,,
1998-09-01,,,0,,
1998-10-01,,,0,,
1998-11-01,,,0,,
1998-12-01,,,0,,
1999-01-01,,,0,,
1999-02-01,,,0,,
1999-03-01,,,0,,
1999-04-01,,,0,,
1999-05-01,,,0,,
1999-06-01,,,0,,
1999-07-01,,,0,,
1999-08-01,,,0,,
1999-09-01,,,0,,
1999-10-01,,,0,,
1999-11-01,,,0,,
1999-12-01,,,0,,
2000-01-01,,,0,,
2000-02-01,,,0,,
2000-03-01,,,0,,
2000-04-01,,,0,,
2000-05-01,,,0,,
2000-06-01,,,0,,
2000-07-01,,,0,,
2000-08-01,,,0,,
2000-09-01,,,0,,
2000-10-01,,,0,,
2000-11-01,,,0,,
2000-12-01,,,0,,
2001-01-01,,,0,,
2001-02-01,,,0,,
2001-03-01,,38.99,0,,-0.0
2001-04-01,,40.69,0,,-0.0
2001-05-01,,38.17,0,,-0.0
2001-06-01,,40.57,0,,-0.0
2001-07-01,,37.06,0,,-0.0
2001-08-01,,37.03,0,,-0.0
2001-09-01,,32.9,0,,-0.0
2001-10-01,,32.05,0,,-0.0
2001-11-01,,34.35,0,,-0.0
2001-12-01,,31.19,0,,-0.0
2002-01-01,1.36,34.19,0,-0.0,-0.0
2002-02-01,0.986,30.82,0,-0.0,-0.0
2002-03-01,0.866,32.76,0,-0.0,-0.0
2002-04-01,0.786,30.11,0,-0.0,-0.0
2002-05-01,0.47,29.34,0,-0.0,-0.0
2002-06-01,0.484,31.6,0,-0.0,-0.0
2002-07-01,0.408,31.75,0,-0.0,-0.0
2002-08-01,0.326,32.92,0,-0.0,-0.0
2002-09-01,0.408,28.44,0,-0.0,-0.0
2002-10-01,0.51,36.44,0,-0.0,-0.0
2002-11-01,0.722,39.17,0,-0.0,-0.0
2002-12-01,0.704,37.06,0,-0.0,-0.0
2003-01-01,0.908,41.51,0,-0.0,-0.0
2003-02-01,0.832,39.5,0,-0.0,-0.0
2003-03-01,0.89,38.36,0,-0.0,-0.0
2003-04-01,0.846,40.13,0,-0.0,-0.0
2003-05-01,1.22,44.52,0,-0.0,-0.0
2003-06-01,3.14,54.42,0,0.0,0.0
2003-07-01,3.26,53.87,0,0.0,0.0
2003-08-01,3.2,54.8,0,0.0,0.0
2003-09-01,2.87,50.33,0,0.0,0.0
2003-10-01,2.92,50.37,0,0.0,0.0
2003-11-01,2.78,49.32,0,0.0,0.0
2003-12-01,2.65,50.18,0,0.0,0.0
2004-01-01,2.99,57.73,0,0.0,0.0
2004-02-01,3.32,59.83,0,0.0,0.0
2004-03-01,3.14,56.72,0,0.0,0.0
2004-04-01,2.68,49.96,0,0.0,0.0
2004-05-01,2.64,51.02,0,0.0,0.0
2004-06-01,2.68,50.82,0,0.0,0.0
2004-07-01,2.49,49.09,0,0.0,0.0
2004-08-01,2.07,46.68,0,0.0,0.0
2004-09-01,2.13,47.34,0,0.0,0.0
2004-10-01,2.27,49.45,0,0.0,0.0
2004-11-01,2.46,54.13,0,0.0,0.0
2004-12-01,2.43,52.03,0,0.0,0.0
2005-01-01,2.35,56.81,0,0.0,0.0
2005-02-01,2.39,55.97,0,0.0,0.0
2005-03-01,2.8,58.41,0,0.0,0.0
2005-04-01,2.49,52.27,0,0.0,0.0
2005-05-01,2.37,51.41,0,0.0,0.0
2005-06-01,2.31,50.63,0,0.0,0.0
2005-07-01,2.07,50.51,0,0.0,0.0
2005-08-01,2.42,52.06,0,0.0,0.0
2005-09-01,2.11,49.93,0,0.0,0.0
2005-10-01,2.19,50.12,0,0.0,0.0
2005-11-01,2.42,53.37,0,0.0,0.0
2005-12-01,2.26,51.01,0,0.0,0.0
2006-01-01,2.63,57.07,0,0.0,0.0
2006-02-01,2.62,56.22,0,0.0,0.0
2006-03-01,2.7,59.86,0,0.0,0.0
2006-04-01,2.54,54.02,0,0.0,0.0
2006-05-01,2.5,56.76,0,0.0,0.0
2006-06-01,2.69,58.53,0,0.0,0.0
2006-07-01,2.53,57.74,0,0.0,0.0
2006-08-01,2.41,55.86,0,0.0,0.0
2006-09-01,2.48,58.95,0,0.0,0.0
2006-10-01,2.54,59.73,0,0.0,0.0
2006-11-01,2.44,57.59,0,0.0,0.0
2006-12-01,2.33,57.11,0,0.0,0.0
2007-01-01,2.69,60.97,0,0.0,0.0
2007-02-01,2.58,59.54,0,0.0,0.0
2007-03-01,2.59,58.84,0,0.0,0.0
2007-04-01,2.14,52.8,0,0.0,0.0
2007-05-01,2.23,52.92,0,0.0,0.0
2007-06-01,2.07,51.32,0,0.0,0.0
2007-07-01,2.0,50.18,0,0.0,0.0
2007-08-01,1.86,46.61,0,-0.0,0.0
2007-09-01,1.89,49.21,0,-0.0,0.0
2007-10-01,1.68,47.9,0,-0.0,0.0
2007-11-01,1.98,51.45,0,-0.0,0.0
2007-12-01,2.04,51.51,-1,-0.040000000000000036,-6.509999999999998
2008-01-01,2.37,55.04,-1,-0.3700000000000001,-10.04
2008-02-01,1.98,52.03,-1,0.020000000000000018,-7.030000000000001
2008-03-01,1.86,45.51,-1,0.1399999999999999,-0.509999999999998
2008-04-01,1.74,45.62,-1,0.26,-0.6199999999999974
2008-05-01,1.33,40.31,-1,0.6699999999999999,4.689999999999998
2008-06-01,1.21,39.6,-1,0.79,5.399999999999999
2008-07-01,1.27,40.47,-1,0.73,4.530000000000001
2008-08-01,1.39,41.38,-1,0.6100000000000001,3.6199999999999974
2008-09-01,1.44,44.41,-1,0.56,0.5900000000000034
2008-10-01,1.38,40.11,-1,0.6200000000000001,4.890000000000001
2008-11-01,1.43,39.12,-1,0.5700000000000001,5.880000000000003
2008-12-01,1.37,37.04,-1,0.6299999999999999,7.960000000000001
2009-01-01,1.5,41.19,-1,0.5,3.8100000000000023
2009-02-01,1.38,39.44,-1,0.6200000000000001,5.560000000000002
2009-03-01,1.36,37.45,-1,0.6399999999999999,7.549999999999997
2009-04-01,1.35,37.54,-1,0.6499999999999999,7.460000000000001
2009-05-01,1.32,39.09,-1,0.6799999999999999,5.909999999999997
2009-06-01,1.34,40.21,-1,0.6599999999999999,4.789999999999999
2009-07-01,1.23,42.35,-1,0.77,2.6499999999999986
2009-08-01,1.11,40.69,-1,0.8899999999999999,4.310000000000002
2009-09-01,1.22,40.03,-1,0.78,4.969999999999999
2009-10-01,1.15,39.03,-1,0.8500000000000001,5.969999999999999
2009-11-01,1.16,40.49,-1,0.8400000000000001,4.509999999999998
2009-12-01,1.04,40.22,-1,0.96,4.780000000000001
2010-01-01,1.26,45.56,-1,0.74,-0.5600000000000023
2010-02-01,1.19,43.54,-1,0.81,1.4600000000000009
2010-03-01,1.34,41.38,-1,0.6599999999999999,3.6199999999999974
2010-04-01,1.39,43.48,-1,0.6100000000000001,1.5200000000000031
2010-05-01,1.59,48.61,-1,0.4099999999999999,-3.6099999999999994
2010-06-01,1.61,47.63,-1,0.3899999999999999,-2.6300000000000026
2010-07-01,1.69,48.1,-1,0.31000000000000005,-3.1000000000000014
2010-08-01,1.8,50.37,-1,0.19999999999999996,-5.369999999999997
2010-09-01,1.77,48.83,-1,0.22999999999999998,-3.8299999999999983
2010-10-01,1.7,50.05,-1,0.30000000000000004,-5.049999999999997
2010-11-01,2.42,55.36,-1,-0.41999999999999993,-10.36
2010-12-01,2.34,53.21,-1,-0.33999999999999986,-8.21
2011-01-01,2.16,55.69,-1,-0.16000000000000014,-10.689999999999998
2011-02-01,2.18,53.96,-1,-0.18000000000000016,-8.96
2011-03-01,2.42,57.38,-1,-0.41999999999999993,-12.380000000000003
2011-04-01,2.19,54.42,-1,-0.18999999999999995,-9.420000000000002
2011-05-01,2.34,55.55,-1,-0.33999999999999986,-10.549999999999997
2011-06-01,2.29,55.71,-1,-0.29000000000000004,-10.71
2011-07-01,2.48,58.07,-1,-0.48,-13.07
2011-08-01,2.25,57.46,-1,-0.25,-12.46
2011-09-01,2.64,59.31,-1,-0.6400000000000001,-14.310000000000002
2011-10-01,2.62,57.68,-1,-0.6200000000000001,-12.68
2011-11-01,2.62,56.69,-1,-0.6200000000000001,-11.689999999999998
2011-12-01,2.71,52.57,-1,-0.71,-7.57
2012-01-01,2.75,57.35,-1,-0.75,-12.350000000000001
2012-02-01,2.56,52.63,-1,-0.56,-7.630000000000003
2012-03-01,2.26,50.22,-1,-0.2599999999999998,-5.219999999999999
2012-04-01,1.9,43.83,-1,0.10000000000000009,1.1700000000000017
2012-05-01,2.14,46.43,-1,-0.14000000000000012,-1.4299999999999997
2012-06-01,1.99,44.38,-1,0.010000000000000009,0.6199999999999974
2012-07-01,1.84,43.59,-1,0.15999999999999992,1.4099999999999966
2012-08-01,1.8,42.74,-1,0.19999999999999996,2.259999999999998
2012-09-01,1.69,42.27,-1,0.31000000000000005,2.729999999999997
2012-10-01,1.67,43.44,-1,0.33000000000000007,1.5600000000000023
2012-11-01,1.69,42.71,-1,0.31000000000000005,2.289999999999999
2012-12-01,1.84,46.43,-1,0.15999999999999992,-1.4299999999999997
2013-01-01,1.76,46.86,-1,0.24,-1.8599999999999994
2013-02-01,1.83,47.62,-1,0.16999999999999993,-2.6199999999999974
2013-03-01,1.91,46.91,-1,0.09000000000000008,-1.9099999999999966
2013-04-01,1.76,44.06,-1,0.24,0.9399999999999977
2013-05-01,1.42,41.65,-1,0.5800000000000001,3.3500000000000014
2013-06-01,1.74,44.49,-1,0.26,0.509999999999998
2013-07-01,1.68,47.48,-1,0.32000000000000006,-2.479999999999997
2013-08-01,1.87,50.03,-1,0.1299999999999999,-5.030000000000001
2013-09-01,1.77,48.65,-1,0.22999999999999998,-3.6499999999999986
2013-10-01,1.98,51.85,-1,0.020000000000000018,-6.850000000000001
2013-11-01,1.85,49.89,-1,0.1499999999999999,-4.890000000000001
2013-12-01,1.68,46.15,-1,0.32000000000000006,-1.1499999999999986
2014-01-01,1.46,43.67,-1,0.54,1.3299999999999983
2014-02-01,1.38,33.46,-1,0.6200000000000001,11.54
2014-03-01,1.53,36.21,-1,0.47,8.79
2014-04-01,1.4,36.69,-1,0.6000000000000001,8.310000000000002
2014-05-01,1.51,38.1,-1,0.49,6.899999999999999
2014-06-01,1.7,41.92,-1,0.30000000000000004,3.0799999999999983
2014-07-01,1.87,42.75,-1,0.1299999999999999,2.25
2014-08-01,1.82,43.89,-1,0.17999999999999994,1.1099999999999994
2014-09-01,1.71,41.5,-1,0.29000000000000004,3.5
2014-10-01,1.65,43.94,-1,0.3500000000000001,1.0600000000000023
2014-11-01,1.6,43.66,-1,0.3999999999999999,1.3400000000000034
2014-12-01,1.64,44.22,-1,0.3600000000000001,0.7800000000000011
2015-01-01,1.83,49.95,-1,0.16999999999999993,-4.950000000000003
2015-02-01,1.65,50.47,-1,0.3500000000000001,-5.469999999999999
2015-03-01,1.86,52.6,-1,0.1399999999999999,-7.600000000000001
2015-04-01,1.9,52.85,-1,0.10000000000000009,-7.850000000000001
2015-05-01,2.09,54.99,-1,-0.08999999999999986,-9.990000000000002
2015-06-01,1.94,54.88,-1,0.06000000000000005,-9.880000000000003
2015-07-01,2.04,56.09,-1,-0.040000000000000036,-11.090000000000003
2015-08-01,1.92,56.78,-1,0.08000000000000007,-11.780000000000001
2015-09-01,1.78,54.62,-1,0.21999999999999997,-9.619999999999997
2015-10-01,1.91,56.96,-1,0.09000000000000008,-11.96
2015-11-01,1.75,60.35,-1,0.25,-15.350000000000001
2015-12-01,1.8,54.89,1,-0.19999999999999996,9.89
2016-01-01,3.14,54.01,1,1.1400000000000001,9.009999999999998
2016-02-01,2.86,45.59,1,0.8599999999999999,0.5900000000000034
2016-03-01,3.03,48.16,1,1.0299999999999998,3.1599999999999966
2016-04-01,2.72,43.19,1,0.7200000000000002,-1.8100000000000023
2016-05-01,2.62,42.66,1,0.6200000000000001,-2.3400000000000034
2016-06-01,2.61,42.57,1,0.6099999999999999,-2.4299999999999997
2016-07-01,2.71,45.61,1,0.71,0.6099999999999994
2016-08-01,2.52,42.6,1,0.52,-2.3999999999999986
2016-09-01,2.53,43.29,1,0.5299999999999998,-1.7100000000000009
2016-10-01,2.63,46.04,1,0.6299999999999999,1.0399999999999991
2016-11-01,2.52,43.93,1,0.52,-1.0700000000000003
2016-12-01,2.49,44.48,1,0.4900000000000002,-0.5200000000000031
2017-01-01,2.46,44.47,1,0.45999999999999996,-0.5300000000000011
2017-02-01,2.35,40.68,1,0.3500000000000001,-4.32
2017-03-01,2.32,40.95,1,0.31999999999999984,-4.049999999999997
2017-04-01,2.61,46.19,1,0.6099999999999999,1.1899999999999977
2017-05-01,2.52,45.76,1,0.52,0.759999999999998
2017-06-01,2.28,42.04,1,0.2799999999999998,-2.960000000000001
2017-07-01,2.24,42.48,1,0.2400000000000002,-2.520000000000003
2017-08-01,2.53,47.61,1,0.5299999999999998,2.6099999999999994
2017-09-01,2.86,51.04,1,0.8599999999999999,6.039999999999999
2017-10-01,2.83,51.11,1,0.8300000000000001,6.109999999999999
2017-11-01,2.97,51.1,1,0.9700000000000002,6.100000000000001
2017-12-01,2.36,43.18,1,0.3599999999999999,-1.8200000000000003
2018-01-01,2.28,45.19,1,0.2799999999999998,0.18999999999999773
2018-02-01,2.32,43.82,1,0.31999999999999984,-1.1799999999999997
2018-03-01,2.32,43.81,1,0.31999999999999984,-1.1899999999999977
2018-04-01,2.07,40.09,1,0.06999999999999984,-4.909999999999997
2018-05-01,1.94,36.07,1,-0.06000000000000005,-8.93
2018-06-01,2.04,35.97,1,0.040000000000000036,-9.030000000000001
2018-07-01,2.01,36.25,1,0.009999999999999787,-8.75
2018-08-01,1.94,36.25,1,-0.06000000000000005,-8.75
2018-09-01,1.75,33.7,1,-0.25,-11.299999999999997
2018-10-01,1.76,32.64,1,-0.24,-12.36
2018-11-01,1.77,32.1,1,-0.22999999999999998,-12.899999999999999
2018-12-01,1.92,35.99,1,-0.08000000000000007,-9.009999999999998
2019-01-01,1.63,33.1,1,-0.3700000000000001,-11.899999999999999
2019-02-01,1.8,36.04,1,-0.19999999999999996,-8.96
2019-03-01,1.6,34.79,1,-0.3999999999999999,-10.21
2019-04-01,1.53,34.41,1,-0.47,-10.590000000000003
2019-05-01,1.61,36.47,1,-0.3899999999999999,-8.530000000000001
2019-06-01,1.81,40.57,1,-0.18999999999999995,-4.43
2019-07-01,1.97,44.18,1,-0.030000000000000027,-0.8200000000000003
2019-08-01,2.2,41.86,1,0.20000000000000018,-3.1400000000000006
2019-09-01,1.91,42.09,1,-0.09000000000000008,-2.9099999999999966
2019-10-01,2.01,43.77,1,0.009999999999999787,-1.2299999999999969
2019-11-01,1.98,41.35,1,-0.020000000000000018,-3.6499999999999986
2019-12-01,1.97,42.35,-1,0.030000000000000027,2.6499999999999986
2020-01-01,2.32,43.03,-1,-0.31999999999999984,1.9699999999999989
2020-02-01,2.27,42.73,-1,-0.27,2.270000000000003
2020-03-01,2.22,41.23,-1,-0.2200000000000002,3.770000000000003
2020-04-01,3.29,39.28,-1,-1.29,5.719999999999999
2020-05-01,3.0,38.42,-1,-1.0,6.579999999999998
2020-06-01,2.77,39.47,-1,-0.77,5.530000000000001
2020-07-01,2.53,38.18,-1,-0.5299999999999998,6.82
2020-08-01,2.38,41.31,-1,-0.3799999999999999,3.6899999999999977
2020-09-01,2.27,40.31,-1,-0.27,4.689999999999998
2020-10-01,1.99,38.83,-1,0.010000000000000009,6.170000000000002
2020-11-01,2.02,40.87,-1,-0.020000000000000018,4.130000000000003
2020-12-01,2.02,39.32,-1,-0.020000000000000018,5.68
2021-01-01,1.88,38.2,-1,0.1200000000000001,6.799999999999997
2021-02-01,1.82,37.8,-1,0.17999999999999994,7.200000000000003
2021-03-01,1.78,38.2,-1,0.21999999999999997,6.799999999999997
2021-04-01,1.73,35.3,-1,0.27,9.700000000000003
2021-05-01,1.93,35.4,-1,0.07000000000000006,9.600000000000001
2021-06-01,1.7,34.6,-1,0.30000000000000004,10.399999999999999
2021-07-01,1.7,37.9,-1,0.30000000000000004,7.100000000000001
2021-08-01,1.85,39.76,-1,0.1499999999999999,5.240000000000002
2021-09-01,1.58,40.52,-1,0.41999999999999993,4.479999999999997
2021-10-01,1.52,40.21,-1,0.48,4.789999999999999
2021-11-01,1.45,39.69,-1,0.55,5.310000000000002
2021-12-01,1.42,37.77,-1,0.5800000000000001,7.229999999999997
2022-01-01,1.54,40.14,-1,0.45999999999999996,4.859999999999999
2022-02-01,1.49,39.43,-1,0.51,5.57
2022-03-01,1.51,36.91,-1,0.49,8.090000000000003
2022-04-01,1.44,35.72,-1,0.56,9.280000000000001
2022-05-01,1.3,36.3,-1,0.7,8.700000000000003
2022-06-01,1.4,39.09,-1,0.6000000000000001,5.909999999999997
2022-07-01,1.12,34.74,-1,0.8799999999999999,10.259999999999998
2022-08-01,1.18,37.05,-1,0.8200000000000001,7.950000000000003
2022-09-01,1.23,37.19,-1,0.77,7.810000000000002
2022-10-01,1.28,35.65,-1,0.72,9.350000000000001
2022-11-01,1.19,35.15,-1,0.81,9.850000000000001
2022-12-01,1.25,35.91,-1,0.75,9.090000000000003
2023-01-01,1.27,38.52,-1,0.73,6.479999999999997
2023-02-01,1.17,36.18,-1,0.8300000000000001,8.82
2023-03-01,1.18,38.19,-1,0.8200000000000001,6.810000000000002
2023-04-01,1.07,37.08,-1,0.9299999999999999,7.920000000000002
2023-05-01,1.13,38.31,-1,0.8700000000000001,6.689999999999998
2023-06-01,1.12,41.79,-1,0.8799999999999999,3.210000000000001
2023-07-01,1.2,43.56,-1,0.8,1.4399999999999977
2023-08-01,1.27,44.06,-1,0.73,0.9399999999999977
2023-09-01,1.03,43.38,-1,0.97,1.6199999999999974
2023-10-01,1.22,45.11,-1,0.78,-0.10999999999999943
2023-11-01,1.41,47.51,-1,0.5900000000000001,-2.509999999999998
2023-12-01,2.86,39.81,1,0.8599999999999999,-5.189999999999998
2024-01-01,2.61,35.6,1,0.6099999999999999,-9.399999999999999
2024-02-01,2.57,36.04,1,0.5699999999999998,-8.96
2024-03-01,2.56,36.68,1,0.56,-8.32
2024-04-01,2.45,37.17,1,0.4500000000000002,-7.829999999999998
2024-05-01,2.51,38.3,1,0.5099999999999998,-6.700000000000003
2024-06-01,2.46,37.23,1,0.45999999999999996,-7.770000000000003
2024-07-01,2.37,39.1,1,0.3700000000000001,-5.899999999999999
2024-08-01,2.54,41.46,1,0.54,-3.539999999999999
2024-09-01,2.16,39.0,1,0.16000000000000014,-6.0
2024-10-01,2.43,42.42,1,0.43000000000000016,-2.5799999999999983
2024-11-01,2.66,45.02,1,0.6600000000000001,0.020000000000003126
2024-12-01,2.66,46.03,1,0.6600000000000001,1.0300000000000011
2025-01-01,2.61,47.38,1,0.6099999999999999,2.3800000000000026
2025-02-01,2.56,47.26,1,0.56,2.259999999999998
2025-03-01,2.42,44.11,1,0.41999999999999993,-0.8900000000000006
2025-04-01,2.33,44.1,1,0.33000000000000007,-0.8999999999999986
2025-05-01,2.45,45.49,1,0.4500000000000002,0.490000000000002
2025-06-01,2.34,45.48,1,0.33999999999999986,0.4799999999999969
2025-07-01,2.45,46.374458,1,0.4500000000000002,1.374457999999997
2025-08-01,2.12,39.944302,1,0.1200000000000001,-5.055698
2025-09-01,1.94,39.812836,1,-0.06000000000000005,-5.187164000000003
2025-10-01,2.1,42.322815,1,0.10000000000000009,-2.6771850000000015
2025-11-01,2.47,46.043625,1,0.4700000000000002,1.0436249999999987
2025-12-01,2.46,45.54948,1,0.45999999999999996,0.5494800000000026
2026-01-01,2.4,46.570396,1,0.3999999999999999,1.5703960000000023
2026-02-01,2.38,44.380215,1,0.3799999999999999,-0.6197850000000003
2026-03-01,2.3,42.025917,1,0.2999999999999998,-2.9740830000000003
2026-04-01,2.02,39.63912582397461,1,0.020000000000000018,-5.360874176025391
2026-05-01,1.99,40.13793182373047,1,-0.010000000000000009,-4.862068176269531
