fecha,venc_total,venc_total_local,venc_total_ext,venc_anticipos_bcra,venc_anticipos_bcra_local,venc_anticipos_bcra_ext,venc_banca_comercial,venc_banca_comercial_local,venc_banca_comercial_ext,venc_bid,venc_bid_local,venc_bid_ext,venc_bilaterales,venc_bilaterales_local,venc_bilaterales_ext,venc_birf,venc_birf_local,venc_birf_ext,venc_bonos,venc_bonos_local,venc_bonos_ext,venc_caf,venc_caf_local,venc_caf_ext,venc_club_de_paris,venc_club_de_paris_local,venc_club_de_paris_ext,venc_fmi,venc_fmi_local,venc_fmi_ext,venc_letras_del_tesoro,venc_letras_del_tesoro_local,venc_letras_del_tesoro_ext
2007-06-01,31895.589,7505.742,24389.848,5926.285,5926.285,,8.815,,8.815,3126.316,,3126.316,393.934,,393.934,2480.171,,2480.171,12403.85,126.052,12277.798,56.562,,56.562,,,,,,,1346.953,1346.953,
2007-09-01,31612.394,7522.904,24089.49,5819.048,5819.048,,22.981,,22.981,2779.665,,2779.665,420.313,,420.313,2376.669,,2376.669,12580.155,123.758,12456.396,63.532,,63.532,,,,,,,1476.707,1476.707,
2007-12-01,36559.799,10641.725,25918.074,6773.579,6773.579,,261.075,,261.075,2888.441,,2888.441,386.483,,386.483,2301.16,,2301.16,12897.28,123.557,12773.723,93.028,,93.028,,,,,,,2057.072,2057.072,
2008-03-01,33873.617,9137.888,24735.729,6732.955,6732.955,,266.835,,266.835,2477.425,,2477.425,401.566,,401.566,2032.693,,2032.693,12328.649,125.207,12203.442,97.835,,97.835,,,,,,,2160.931,2160.931,
2008-06-01,35846.29,21769.413,14076.878,7051.24,7051.24,,277.502,258.959,18.543,2479.354,,2479.354,392.178,,392.178,1965.002,,1965.002,12998.255,4051.825,8946.43,92.513,,92.513,,,,,,,2316.207,2316.207,
2008-09-01,35827.518,21628.909,14198.608,6803.828,6803.828,,274.108,255.551,18.557,2423.381,,2423.381,412.056,,412.056,1911.894,,1911.894,13015.032,3799.646,9215.387,118.185,,118.185,,,,,,,2850.974,2850.974,
2008-12-01,39951.432,26294.491,13656.94,7699.884,7699.884,,458.612,439.997,18.615,2463.677,,2463.677,392.36,,392.36,1853.253,,1853.253,12103.953,3660.408,8443.545,131.69,,131.69,,,,,,,4342.626,4246.079,96.547
2009-06-01,35884.339,20796.791,15087.548,8396.102,8396.102,,1237.472,1218.896,18.576,2282.478,,2282.478,329.492,,329.492,1699.967,,1699.967,15351.836,5349.059,10002.777,126.314,,126.314,,,,,,,2988.52,2540.329,448.192
2009-09-01,37218.311,21224.142,15994.168,8170.7,8170.7,,2495.999,2486.443,9.556,2368.69,,2368.69,588.125,,588.125,1669.669,,1669.669,14913.263,4979.461,9933.802,140.727,,140.727,,,,,,,3426.879,2429.047,997.832
2009-12-01,41392.361,25146.414,16245.946,9626.316,9626.316,,3134.919,3125.368,9.552,2390.969,,2390.969,635.396,,635.396,1634.818,,1634.818,14931.37,4758.5,10172.87,190.828,,190.828,,,,,,,2912.244,1982.191,930.053
2010-03-01,37672.086,21911.051,15761.035,9896.854,9896.854,,3174.772,3047.839,126.933,2378.04,,2378.04,667.842,,667.842,1562.139,,1562.139,14280.403,4149.794,10130.609,172.216,,172.216,,,,,,,1807.852,1335.891,471.961
2010-06-01,39546.917,22870.166,16676.751,10221.318,10221.318,,3423.977,3278.679,145.298,2361.445,,2361.445,680.666,,680.666,1560.653,,1560.653,15152.715,4445.623,10707.092,210.39,,210.39,,,,,,,2316.599,1516.808,799.791
2010-09-01,39640.665,22706.783,16933.881,10133.838,10133.838,,3573.536,3342.743,230.793,2376.746,,2376.746,699.999,,699.999,1489.799,,1489.799,15614.759,4474.806,11139.953,208.486,,208.486,,,,,,,1894.302,1337.644,556.658
2010-12-01,44670.515,24862.445,19808.07,11614.688,11614.688,,4168.652,4012.368,156.284,2394.376,,2394.376,706.579,,706.579,1512.828,,1512.828,15476.424,4582.531,10893.893,243.201,,243.201,,,,,,,4076.631,1337.218,2739.413
2011-03-01,41778.378,19839.474,21938.904,11045.881,11045.881,,4024.795,3599.793,425.002,2375.384,,2375.384,735.352,,735.352,1486.423,,1486.423,14681.897,3844.433,10837.465,247.873,,247.873,,,,,,,2693.366,1347.208,1346.158
2011-06-01,43605.863,26616.874,16988.989,11236.01,11236.01,,4644.223,4528.676,115.547,2354.812,,2354.812,749.279,,749.279,1518.062,,1518.062,16198.748,6250.98,9947.768,282.039,,282.039,,,,,,,2350.892,1330.885,1020.007
2011-09-01,44936.806,27900.038,17036.768,11945.303,11945.303,,4781.701,4686.314,95.386,2375.177,,2375.177,699.179,,699.179,1503.392,,1503.392,16539.959,6714.42,9825.539,293.212,,293.212,,,,,,,2673.781,1322.118,1351.663
2011-12-01,49048.808,32477.239,16571.569,15597.119,15597.119,,5219.223,5152.873,66.35,2355.677,,2355.677,773.985,,773.985,1533.85,,1533.85,17451.064,7347.889,10103.175,333.478,,333.478,,,,,,,1928.244,1312.123,616.12
2012-03-01,55221.699,38696.099,16525.6,16117.835,16117.835,,6473.67,6427.224,46.447,2375.393,,2375.393,719.873,,719.873,1523.188,,1523.188,22162.406,11891.584,10270.822,340.434,,340.434,,,,,,,1560.886,1315.724,245.163
2012-06-01,55284.352,37640.219,17644.133,16673.294,16673.294,,6243.47,6216.784,26.686,2315.122,,2315.122,706.035,,706.035,1536.809,,1536.809,21048.229,10761.466,10286.763,361.114,,361.114,,,,,,,2670.052,960.027,1710.025
2012-09-01,56127.118,41566.427,14560.691,19210.134,19210.134,,6385.773,6378.73,7.043,2317.916,,2317.916,652.692,,652.692,1558.266,,1558.266,18704.928,10669.979,8034.949,373.881,,373.881,,,,,,,3082.871,2187.926,894.945
2012-12-01,66591.978,50385.747,16206.231,25971.94,25971.94,,7073.303,7072.774,0.528,2458.609,,2458.609,386.03,,386.03,1557.764,,1557.764,19089.144,10758.766,8330.378,392.081,,392.081,,,,,,,5711.072,3398.63,2312.442
2013-03-01,64390.583,47998.296,16392.287,24937.524,24937.524,,6184.516,6183.991,0.526,2510.52,,2510.52,322.817,,322.817,1553.262,,1553.262,18766.153,10596.796,8169.357,403.463,,403.463,,,,,,,5770.959,3102.467,2668.491
2013-06-01,65288.581,48980.894,16307.687,26870.824,26870.824,,5838.714,5838.162,0.552,2515.593,,2515.593,248.066,,248.066,1560.369,,1560.369,18530.863,10123.63,8407.233,416.832,,416.832,,,,,,,5187.407,2780.635,2406.772
2013-09-01,60986.737,46961.335,14025.403,26537.2,26537.2,,5390.327,5377.613,12.714,2493.381,,2493.381,255.966,,255.966,1560.908,,1560.908,16370.985,10198.19,6172.795,448.044,,448.044,,,,,,,3856.289,1521.876,2334.413
2013-12-01,69217.185,48462.236,20754.949,28001.84,28001.84,,5642.591,5629.878,12.714,2473.512,,2473.512,288.43,,288.43,1596.268,,1596.268,23079.689,10577.657,12502.032,468.366,,468.366,,,,,,,3790.206,1114.945,2675.261
2014-06-01,76546.735,41741.747,34804.988,24143.273,24143.273,,4330.92,4318.233,12.687,2409.477,,2409.477,389.188,,389.188,1606.259,,1606.259,33246.889,10060.806,23186.083,483.748,,483.748,3942.359,,3942.359,,,,4627.744,2575.983,2051.761
2014-12-01,87398.026,52971.079,34426.947,29402.479,29402.479,,3826.76,3801.908,24.851,2388.417,,2388.417,393.01,,393.01,1649.103,,1649.103,34905.995,11208.036,23697.959,532.823,,532.823,2968.788,,2968.788,,,,9875.093,7661.288,2213.805
2015-06-01,101544.673,55126.662,46418.011,29532.823,29532.823,,4304.007,4266.925,37.082,2449.762,,2449.762,389.251,,389.251,1598.492,,1598.492,47175.955,13651.657,33524.297,577.326,,577.326,4349.089,,4349.089,,,,9230.136,7675.193,1554.943
2015-09-01,105853.556,59885.452,45968.105,31037.668,31037.668,,4270.65,4245.756,24.894,2458.025,,2458.025,393.881,,393.881,1583.087,,1583.087,51196.389,16488.215,34708.173,604.033,,604.033,4364.484,,4364.484,,,,8023.498,6704.152,1319.347
2015-03-01,88628.315,54796.867,33831.449,29224.35,29224.35,,4420.799,4395.926,24.873,2378.848,,2378.848,413.619,,413.619,1629.66,,1629.66,35851.974,12294.863,23557.11,552.25,,552.25,2805.204,,2805.204,,,,9473.919,7560.392,1913.528
2015-12-01,88031.443,52883.728,35147.715,25517.109,25517.109,,3828.346,3803.466,24.881,2533.486,,2533.486,396.422,,396.422,1563.333,,1563.333,37753.504,13780.263,23973.24,642.602,,642.602,4294.922,,4294.922,,,,8943.546,7691.67,1251.876
2016-06-01,89085.586,46968.4,42117.186,24380.027,24380.027,,3238.222,3213.347,24.875,2541.45,,2541.45,372.361,,372.361,1561.696,,1561.696,39845.014,12692.741,27152.272,694.236,,694.236,4500.308,,4500.308,,,,10243.582,5405.064,4838.517
2016-09-01,89668.997,45683.591,43985.406,24642.771,24642.771,,1999.728,1974.958,24.77,2499.723,,2499.723,375.985,,375.985,1548.818,,1548.818,40164.172,13150.92,27013.252,715.588,,715.588,4548.246,,4548.246,,,,11411.557,4589.396,6822.161
2016-03-01,82898.344,47270.387,35627.957,23169.452,23169.452,,3381.49,3356.622,24.868,2534.5,,2534.5,398.119,,398.119,1571.751,,1571.751,37811.954,13003.56,24808.395,662.178,,662.178,3952.881,,3952.881,,,,7745.858,6534.458,1211.4
2016-12-01,108373.846,58884.274,49489.572,24115.153,24115.153,,1373.3,1348.597,24.703,2507.675,,2507.675,347.206,,347.206,1548.749,,1548.749,44595.632,15761.487,28834.145,761.504,,761.504,4253.937,,4253.937,,,,25935.592,15283.705,10651.887
2017-06-01,120964.344,65996.963,54967.381,28841.763,28841.763,,1017.011,992.304,24.707,2425.252,,2425.252,403.52,,403.52,1539.892,,1539.892,51213.888,24426.833,26787.055,802.02,,802.02,5665.214,,5665.214,,,,27673.581,10926.675,16746.906
