fecha,venc_total,venc_total_local,venc_total_ext,venc_anticipos_bcra,venc_anticipos_bcra_local,venc_anticipos_bcra_ext,venc_avales,venc_avales_local,venc_avales_ext,venc_banca_comercial,venc_banca_comercial_local,venc_banca_comercial_ext,venc_bcie,venc_bcie_local,venc_bcie_ext,venc_bei,venc_bei_local,venc_bei_ext,venc_bid,venc_bid_local,venc_bid_ext,venc_bilaterales,venc_bilaterales_local,venc_bilaterales_ext,venc_birf,venc_birf_local,venc_birf_ext,venc_bocon_9_serie_2010_pr16,venc_bocon_9_serie_2010_pr16_local,venc_bocon_9_serie_2010_pr16_ext,venc_bonos,venc_bonos_local,venc_bonos_ext,venc_caf,venc_caf_local,venc_caf_ext,venc_club_de_paris,venc_club_de_paris_local,venc_club_de_paris_ext,venc_decreto_1579,venc_decreto_1579_local,venc_decreto_1579_ext,venc_decreto_977,venc_decreto_977_local,venc_decreto_977_ext,venc_fida,venc_fida_local,venc_fida_ext,venc_fmi,venc_fmi_local,venc_fmi_ext,venc_fonplata,venc_fonplata_local,venc_fonplata_ext,venc_letras_del_tesoro,venc_letras_del_tesoro_local,venc_letras_del_tesoro_ext,venc_letras_en_garantia,venc_letras_en_garantia_local,venc_letras_en_garantia_ext,venc_ofid,venc_ofid_local,venc_ofid_ext,venc_organism_oficiales_bilateral_interna,venc_organism_oficiales_bilateral_interna_local,venc_organism_oficiales_bilateral_interna_ext,venc_otros,venc_otros_local,venc_otros_ext,venc_otros_acreedores_proveedores_externa,venc_otros_acreedores_proveedores_externa_local,venc_otros_acreedores_proveedores_externa_ext,venc_otros_acreedores_proveedores_interna,venc_otros_acreedores_proveedores_interna_local,venc_otros_acreedores_proveedores_interna_ext,venc_pagares,venc_pagares_local,venc_pagares_ext,venc_prestamos_garantizados,venc_prestamos_garantizados_local,venc_prestamos_garantizados_ext,venc_titulos_publicos_bocon_9_serie_2010_pr16,venc_titulos_publicos_bocon_9_serie_2010_pr16_local,venc_titulos_publicos_bocon_9_serie_2010_pr16_ext
2007-06-01,31895.589,7505.742,24389.848,5926.285,5926.285,,,,,8.815,,8.815,,,,10.118,,10.118,3126.316,,3126.316,393.934,,393.934,2480.171,,2480.171,,,,12403.85,126.052,12277.798,56.562,,56.562,,,,1642.922,,1642.922,80.907,,80.907,0.251,,0.251,,,,20.552,,20.552,1346.953,1346.953,,,,,,,,11.754,,11.754,,,,,,,79.872,18.852,61.02,,,,4306.327,87.599,4218.728,,,
2007-09-01,31612.394,7522.904,24089.49,5819.048,5819.048,,,,,22.981,,22.981,,,,10.118,,10.118,2779.665,,2779.665,420.313,,420.313,2376.669,,2376.669,,,,12580.155,123.758,12456.396,63.532,,63.532,,,,1631.29,,1631.29,88.493,,88.493,0.334,,0.334,,,,21.337,,21.337,1476.707,1476.707,,,,,,,,0.25,,0.25,,,,,,,79.667,18.647,61.02,,,,4241.835,84.743,4157.092,,,
2007-12-01,36559.799,10641.725,25918.074,6773.579,6773.579,,,,,261.075,,261.075,,,,10.116,,10.116,2888.441,,2888.441,386.483,,386.483,2301.16,,2301.16,,,,12897.28,123.557,12773.723,93.028,,93.028,,,,1663.198,,1663.198,93.01,,93.01,0.309,,0.309,,,,23.415,,23.415,2057.072,2057.072,,,,,,,,0.167,,0.167,,,,,,,74.865,16.214,58.65,1738.872,1587.806,151.066,5297.731,83.498,5214.233,,,
2008-03-01,33873.617,9137.888,24735.729,6732.955,6732.955,,,,,266.835,,266.835,,,,10.216,,10.216,2477.425,,2477.425,401.566,,401.566,2032.693,,2032.693,,,,12328.649,125.207,12203.442,97.835,,97.835,,,,1712.661,,1712.661,94.315,,94.315,0.302,,0.302,,,,24.912,,24.912,2160.931,2160.931,,,,,,,,0.189,,0.189,,,,,,,75.191,16.541,58.65,160.569,,160.569,5296.373,102.255,5194.118,,,
2008-06-01,35846.29,21769.413,14076.878,7051.24,7051.24,,,,,277.502,258.959,18.543,,,,10.116,,10.116,2479.354,,2479.354,392.178,,392.178,1965.002,,1965.002,,,,12998.255,4051.825,8946.43,92.513,,92.513,,,,1916.383,1916.383,,100.893,100.893,,0.285,,0.285,,,,26.979,,26.979,2316.207,2316.207,,,,,,,,0.087,,0.087,,,,,,,70.252,12.927,57.325,88.065,,88.065,6060.978,6060.978,,,,
2008-09-01,35827.518,21628.909,14198.608,6803.828,6803.828,,,,,274.108,255.551,18.557,,,,10.116,,10.116,2423.381,,2423.381,412.056,,412.056,1911.894,,1911.894,,,,13015.032,3799.646,9215.387,118.185,,118.185,,,,1952.448,1952.448,,98.453,98.453,,1.142,,1.142,,,,30.478,,30.478,2850.974,2850.974,,,,,,,,0.087,,0.087,,,,,,,68.383,11.058,57.325,,,,5856.952,5856.952,,,,
2008-12-01,39951.432,26294.491,13656.94,7699.884,7699.884,,,,,458.612,439.997,18.615,,,,10.673,,10.673,2463.677,,2463.677,392.36,,392.36,1853.253,,1853.253,,,,12103.953,3660.408,8443.545,131.69,,131.69,,,,1865.578,1865.578,,90.255,90.255,,0.943,,0.943,,,,30.543,,30.543,4342.626,4246.079,96.547,,,,,,,,,,,,,,,,60.037,7.901,52.136,2190.769,2027.81,162.959,6256.58,6256.58,,,,
2009-06-01,35884.339,20796.791,15087.548,8396.102,8396.102,,,,,1237.472,1218.896,18.576,,,,10.675,,10.675,2282.478,,2282.478,329.492,,329.492,1699.967,,1699.967,,,,15351.836,5349.059,10002.777,126.314,,126.314,,,,1868.757,1868.757,,83.6,83.6,,0.403,,0.403,,,,27.904,,27.904,2988.52,2540.329,448.192,,,,,,,,,,,,,,,,55.328,4.518,50.81,89.96,,89.96,1335.531,1335.531,,,,
2009-09-01,37218.311,21224.142,15994.168,8170.7,8170.7,,,,,2495.999,2486.443,9.556,,,,10.675,,10.675,2368.69,,2368.69,588.125,,588.125,1669.669,,1669.669,,,,14913.263,4979.461,9933.802,140.727,,140.727,,,,1943.172,1943.172,,83.764,83.764,,0.504,,0.504,,,,26.941,,26.941,3426.879,2429.047,997.832,,,,,,,,,,,,,,,,160.183,4.153,156.031,91.618,,91.618,1127.402,1127.402,,,,
2009-12-01,41392.361,25146.414,16245.946,9626.316,9626.316,,,,,3134.919,3125.368,9.552,,,,10.675,,10.675,2390.969,,2390.969,635.396,,635.396,1634.818,,1634.818,,,,14931.37,4758.5,10172.87,190.828,,190.828,,,,2077.834,2077.834,,86.415,86.415,,0.456,,0.456,,,,26.563,,26.563,2912.244,1982.191,930.053,,,,,,,,,,,,,,,,154.675,2.526,152.149,2460.039,2368.421,91.618,1118.843,1118.843,,,,
2010-03-01,37672.086,21911.051,15761.035,9896.854,9896.854,,,,,3174.772,3047.839,126.933,,,,10.675,,10.675,2378.04,,2378.04,667.842,,667.842,1562.139,,1562.139,,,,14280.403,4149.794,10130.609,172.216,,172.216,,,,2142.085,2142.085,,87.066,87.066,,1.105,,1.105,,,,26.392,,26.392,1807.852,1335.891,471.961,,,,,,,,,,,,,,,,154.386,2.237,152.149,60.973,,60.973,1249.285,1249.285,,,,
2010-06-01,39546.917,22870.166,16676.751,10221.318,10221.318,,,,,3423.977,3278.679,145.298,,,,10.677,,10.677,2361.445,,2361.445,680.666,,680.666,1560.653,,1560.653,1.37,1.37,,15152.715,4445.623,10707.092,210.39,,210.39,,,,2164.199,2164.199,,88.009,88.009,,0.443,,0.443,,,,25.899,,25.899,2316.599,1516.808,799.791,,,,,,,,,,,,,,,,162.289,14.001,148.287,26.111,,26.111,1140.159,1140.159,,,,
2010-09-01,39640.665,22706.783,16933.881,10133.838,10133.838,,,,,3573.536,3342.743,230.793,,,,10.677,,10.677,2376.746,,2376.746,699.999,,699.999,1489.799,,1489.799,,,,15614.759,4474.806,11139.953,208.486,,208.486,,,,2188.249,2188.249,,89.032,89.032,,1.197,,1.197,,,,26.047,,26.047,1894.302,1337.644,556.658,,,,,,,,,,,,,,,,201.696,8.169,193.527,,,,1117.992,1117.992,,14.31,14.31,
2010-12-01,44670.515,24862.445,19808.07,11614.688,11614.688,,,,,4168.652,4012.368,156.284,,,,10.678,,10.678,2394.376,,2394.376,706.579,,706.579,1512.828,,1512.828,,,,15476.424,4582.531,10893.893,243.201,,243.201,,,,2220.472,2220.472,,93.208,93.208,,1.185,,1.185,,,,26.208,,26.208,4076.631,1337.218,2739.413,,,,,,,,,,,,,23.043,,23.043,281.135,1.555,279.58,820.802,,820.802,1000.405,1000.405,,,,
2011-03-01,41778.378,19839.474,21938.904,11045.881,11045.881,,,,,4024.795,3599.793,425.002,,,,10.678,,10.678,2375.384,,2375.384,735.352,,735.352,1486.423,,1486.423,,,,14681.897,3844.433,10837.465,247.873,,247.873,,,,2218.995,,2218.995,97.43,,97.43,2.39,,2.39,,,,26.254,,26.254,2693.366,1347.208,1346.158,,,,,,,,,,,,,23.043,,23.043,303.601,1.535,302.067,731.368,,731.368,1073.649,0.625,1073.023,,,
2011-06-01,43605.863,26616.874,16988.989,11236.01,11236.01,,,,,4644.223,4528.676,115.547,,,,10.677,,10.677,2354.812,,2354.812,749.279,,749.279,1518.062,,1518.062,,,,16198.748,6250.98,9947.768,282.039,,282.039,,,,2232.378,2232.378,,102.344,102.344,,0.52,,0.52,,,,26.597,,26.597,2350.892,1330.885,1020.007,,,,,,,,,,,,,24.017,,24.017,321.823,1.393,320.43,619.233,,619.233,934.207,934.207,,,,
2011-09-01,44936.806,27900.038,17036.768,11945.303,11945.303,,,,,4781.701,4686.314,95.386,,,,10.677,,10.677,2375.177,,2375.177,699.179,,699.179,1503.392,,1503.392,,,,16539.959,6714.42,9825.539,293.212,,293.212,,,,2223.34,2223.34,,106.255,106.255,,6.155,,6.155,,,,26.726,,26.726,2673.781,1322.118,1351.663,,,,,,,,,,319.307,1.378,317.929,,,,,,,531.733,,531.733,900.908,900.908,,,,
2011-12-01,49048.808,32477.239,16571.569,15597.119,15597.119,,,,,5219.223,5152.873,66.35,,,,10.678,,10.678,2355.677,,2355.677,773.985,,773.985,1533.85,,1533.85,,,,17451.064,7347.889,10103.175,333.478,,333.478,,,,2208.712,2208.712,,109.867,109.867,,9.064,,9.064,,,,27.66,,27.66,1928.244,1312.123,616.12,,,,,,,,,,211.087,1.289,209.798,,,,,,,531.733,,531.733,747.366,747.366,,,,
2012-03-01,55221.699,38696.099,16525.6,16117.835,16117.835,,,,,6473.67,6427.224,46.447,,,,10.678,,10.678,2375.393,,2375.393,719.873,,719.873,1523.188,,1523.188,,,,22162.406,11891.584,10270.822,340.434,,340.434,,,,2265.624,2265.624,,114.502,114.502,,11.182,,11.182,,,,27.858,,27.858,1560.886,1315.724,245.163,,,,,,,,,,423.891,1.061,422.831,,,,,,,531.733,,531.733,562.545,562.545,,,,
2012-06-01,55284.352,37640.219,17644.133,16673.294,16673.294,,,,,6243.47,6216.784,26.686,,,,10.677,,10.677,2315.122,,2315.122,706.035,,706.035,1536.809,,1536.809,,,,21048.229,10761.466,10286.763,361.114,,361.114,,,,2389.384,2389.384,,117.432,117.432,,8.987,,8.987,,,,31.332,,31.332,2670.052,960.027,1710.025,,,,,,,,,,502.655,1.028,501.627,,,,,,,148.958,,148.958,520.804,520.804,,,,
2012-09-01,56127.118,41566.427,14560.691,19210.134,19210.134,,,,,6385.773,6378.73,7.043,,,,10.677,,10.677,2317.916,,2317.916,652.692,,652.692,1558.266,,1558.266,,,,18704.928,10669.979,8034.949,373.881,,373.881,,,,2496.859,2496.859,,119.641,119.641,,7.775,,7.775,,,,26.042,,26.042,3082.871,2187.926,894.945,,,,,,,,,,528.296,0.749,527.547,,,,,,,148.958,,148.958,502.408,502.408,,,,
2012-12-01,66591.978,50385.747,16206.231,25971.94,25971.94,,,,,7073.303,7072.774,0.528,,,,10.676,,10.676,2458.609,,2458.609,386.03,,386.03,1557.764,,1557.764,,,,19089.144,10758.766,8330.378,392.081,,392.081,,,,2583.702,2583.702,,118.211,118.211,,8.158,,8.158,,,,25.915,,25.915,5711.072,3398.63,2312.442,,,,,,,,,,575.407,0.715,574.692,,,,,,,148.958,,148.958,481.01,481.01,,,,
2013-03-01,64390.583,47998.296,16392.287,24937.524,24937.524,,,,,6184.516,6183.991,0.526,,,,10.676,,10.676,2510.52,,2510.52,322.817,,322.817,1553.262,,1553.262,,,,18766.153,10596.796,8169.357,403.463,,403.463,,,,2682.687,2682.687,,116.176,116.176,,9.093,,9.093,,,,25.379,,25.379,5770.959,3102.467,2668.491,,,,,,,,,,570.12,0.375,569.745,,,,,,,148.958,,148.958,378.28,378.28,,,,
2013-06-01,65288.581,48980.894,16307.687,26870.824,26870.824,,,,,5838.714,5838.162,0.552,,,,10.676,,10.676,2515.593,,2515.593,248.066,,248.066,1560.369,,1560.369,,,,18530.863,10123.63,8407.233,416.832,,416.832,,,,2732.261,2732.261,,112.298,112.298,,8.745,,8.745,,,,25.154,,25.154,5187.407,2780.635,2406.772,,,,,,,,,,559.093,0.357,558.736,,,,,,,148.958,,148.958,522.728,522.728,,,,
2013-09-01,60986.737,46961.335,14025.403,26537.2,26537.2,,,,,5390.327,5377.613,12.714,,,,10.676,,10.676,2493.381,,2493.381,255.966,,255.966,1560.908,,1560.908,,,,16370.985,10198.19,6172.795,448.044,,448.044,,,,2728.562,2728.562,,106.695,106.695,,8.85,,8.85,,,,24.789,,24.789,3856.289,1521.876,2334.413,,,,,,,,,,553.908,,553.908,,,,,,,148.958,,148.958,491.198,491.198,,,,
2013-12-01,69217.185,48462.236,20754.949,28001.84,28001.84,,,,,5642.591,5629.878,12.714,,,,10.679,,10.679,2473.512,,2473.512,288.43,,288.43,1596.268,,1596.268,,,,23079.689,10577.657,12502.032,468.366,,468.366,,,,2598.568,2598.568,,96.886,96.886,,6.071,,6.071,,,,24.704,,24.704,3790.206,1114.945,2675.261,,,,,,,,,,547.955,,547.955,,,,,,,148.958,,148.958,442.462,442.462,,,,
2014-06-01,76546.735,41741.747,34804.988,24143.273,24143.273,,,,,4330.92,4318.233,12.687,,,,8.01,,8.01,2409.477,,2409.477,389.188,,389.188,1606.259,,1606.259,,,,33246.889,10060.806,23186.083,483.748,,483.748,3942.359,,3942.359,,,,,,,11.714,,11.714,,,,25.932,,25.932,4627.744,2575.983,2051.761,,,,,,,,,,528.811,,528.811,,,,,,,148.958,,148.958,643.452,643.452,,,,
2014-12-01,87398.026,52971.079,34426.947,29402.479,29402.479,,,,,3826.76,3801.908,24.851,,,,5.342,,5.342,2388.417,,2388.417,393.01,,393.01,1649.103,,1649.103,,,,34905.995,11208.036,23697.959,532.823,,532.823,2968.788,,2968.788,,,,,,,11.305,,11.305,,,,24.479,,24.479,9875.093,7661.288,2213.805,,,,,,,,,,517.065,,517.065,,,,,,,,,,897.367,897.367,,,,
2015-03-01,88628.315,54796.867,33831.449,29224.35,29224.35,,,,,4420.799,4395.926,24.873,,,,5.342,,5.342,2378.848,,2378.848,413.619,,413.619,1629.66,,1629.66,,,,35851.974,12294.863,23557.11,552.25,,552.25,2805.204,,2805.204,,,,,,,11.553,,11.553,,,,22.556,,22.556,9473.919,7560.392,1913.528,,,,,,,,,,516.906,,516.906,,,,,,,,,,1321.336,1321.336,,,,
2015-06-01,101544.673,55126.662,46418.011,29532.823,29532.823,,,,,4304.007,4266.925,37.082,,,,2.672,,2.672,2449.762,,2449.762,389.251,,389.251,1598.492,,1598.492,,,,47175.955,13651.657,33524.297,577.326,,577.326,4349.089,,4349.089,,,,,,,11.885,,11.885,,,,23.514,,23.514,9230.136,7675.193,1554.943,,,,,,,,,,472.938,,472.938,,,,,,,,,,1426.822,0.063,1426.759,,,
