fecha,y_obs,y_pred
2007-04-01,,818.6586481132535
2007-05-01,,1336.586948541473
2007-06-01,12040.267,12040.267
2007-07-01,,12146.526921685227
2007-08-01,,11410.752987817677
2007-09-01,11741.743,11741.743
2007-10-01,,11657.061171746
2007-11-01,,11771.723459915494
2007-12-01,12090.607,12090.607000000002
2008-01-01,,11552.097365724176
2008-02-01,,11228.95393826172
2008-03-01,11108.643,11108.642999999996
2008-04-01,,9869.924872161839
2008-05-01,,8470.28023650543
2008-06-01,7083.285,7083.284999999999
2008-07-01,,7233.061478350794
2008-08-01,,7284.997078063996
2008-09-01,7124.717,7124.7170000000015
2008-10-01,,7100.36035282825
2008-11-01,,7025.826925572013
2008-12-01,6902.434,6902.434
2009-01-01,,7007.409364285775
2009-02-01,,7098.360425254119
2009-03-01,,7150.475474359235
2009-04-01,,7182.720199168264
2009-05-01,,7167.689292772084
2009-06-01,7136.461,7136.460999999999
2009-07-01,,7408.082286720654
2009-08-01,,7691.689400100231
2009-09-01,7937.287,7937.287
2009-10-01,,7977.148024016459
2009-11-01,,7975.997449400723
2009-12-01,7985.883,7985.883
2010-01-01,,8326.815671510578
2010-02-01,,8671.966699533965
2010-03-01,8973.894,8973.894
2010-04-01,,9134.959917996366
2010-05-01,,9318.147993942941
2010-06-01,9526.787,9526.787
2010-07-01,,9601.560742836502
2010-08-01,,9557.94012659795
2010-09-01,9489.685,9489.685000000001
2010-10-01,,10264.459394914316
2010-11-01,,11168.669909693876
2010-12-01,12004.596,12004.596
2011-01-01,,11793.714232929233
2011-02-01,,11823.06374612819
2011-03-01,12082.154,12082.154
2011-04-01,,11183.285049633289
2011-05-01,,10199.241939089625
2011-06-01,9353.044,9353.044
2011-07-01,,9497.871556714483
2011-08-01,,9622.987352754904
2011-09-01,9611.681,9611.681
2011-10-01,,9673.555031013597
2011-11-01,,9376.886984751645
2011-12-01,9091.038,9091.038
2012-01-01,,9110.942067177912
2012-02-01,,9034.940770267389
2012-03-01,8881.791,8881.791
2012-04-01,,9248.10053209423
2012-05-01,,9697.99593531267
2012-06-01,10104.242,10104.241999999998
2012-07-01,,9764.848752575077
2012-08-01,,9379.502614990404
2012-09-01,9077.0,9076.999999999998
2012-10-01,,9339.355536633699
2012-11-01,,9611.439151685832
2012-12-01,9813.804,9813.804
2013-01-01,,9769.805205598046
2013-02-01,,9767.6092360052
2013-03-01,9811.404,9811.404
2013-04-01,,9718.757191973946
2013-05-01,,9749.532804032942
2013-06-01,9847.282,9847.281999999997
2013-07-01,,9178.7359278041
2013-08-01,,8374.994935080698
2013-09-01,7628.93,7628.930000000002
2013-10-01,,7977.41277135856
2013-11-01,,8183.859329479776
2013-12-01,8190.17,8190.17
2014-01-01,,8676.824794346556
2014-02-01,,9131.553992078745
2014-03-01,,9498.918950207237
2014-04-01,,9793.244574879907
2014-05-01,,9894.891657085156
2014-06-01,9930.382,9930.382
2014-07-01,,11169.258702835605
2014-08-01,,12342.131503242234
2014-09-01,,13322.35145777788
2014-10-01,,14117.51219764365
2014-11-01,,14510.238715122154
2014-12-01,14768.783,14768.783
2015-01-01,,17710.65469331986
2015-02-01,,20966.126188899994
2015-03-01,23964.811,23964.811
2015-04-01,,24173.348687394417
2015-05-01,,24950.230772205105
2015-06-01,26309.06,26309.059999999998
2015-07-01,,25373.137371026325
2015-08-01,,25201.20720969985
2015-09-01,25656.776,25656.776
2015-10-01,,21993.31421434967
2015-11-01,,17616.93485242734
2015-12-01,13568.597,13568.597000000003
2016-01-01,,14887.049032917108
2016-02-01,,15334.54859500709
2016-03-01,14576.502,14576.501999999999
2016-04-01,,19299.99663020426
2016-05-01,,24307.13113637198
2016-06-01,28611.427,28611.426999999996
2016-07-01,,29061.995519057262
2016-08-01,,29894.713574721638
2016-09-01,31363.945,31363.945
2016-10-01,,31842.899157306332
2016-11-01,,32507.31109740941
2016-12-01,33407.308,33407.308
2017-01-01,,33761.33290299607
2017-02-01,,34585.71539900224
2017-03-01,35671.818,35671.818
2017-04-01,,33935.12989561425
2017-05-01,,31909.806376574263
2017-06-01,30175.841,30175.841000000004
2017-07-01,,31151.35452276134
2017-08-01,,31579.26535865153
2017-09-01,31445.696,31445.696
2017-10-01,,33551.967732155856
2017-11-01,,35009.899180953464
2017-12-01,35891.98,35891.98000000001
2018-01-01,,40009.91849584133
2018-02-01,,44331.320250891564
2018-03-01,48257.871,48257.87099999999
2018-04-01,,49919.2890378514
2018-05-01,,52425.62082098204
2018-06-01,55538.628,55538.628000000004
2018-07-01,,54493.658130256554
2018-08-01,,54465.69588364493
2018-09-01,55416.082,55416.082
2018-10-01,,51566.81995542843
2018-11-01,,47602.09578243106
2018-12-01,44298.65,44298.65
2019-01-01,,43424.4374363816
2019-02-01,,41932.687248454284
2019-03-01,39909.651,39909.651
2019-04-01,,41125.3326525682
2019-05-01,,42844.32739710993
2019-06-01,44282.077,44282.077
2019-07-01,,41085.37227966051
2019-08-01,,37344.09894660364
2019-09-01,34336.581,34336.581
2019-10-01,,35854.68251414903
2019-11-01,,36595.51794011087
2019-12-01,36403.32,36403.32
2020-01-01,,39491.99769228547
2020-02-01,,43002.34260281901
2020-03-01,43130.234,43130.234
2020-04-01,,42995.40931178517
2020-05-01,,44817.68169262061
2020-06-01,47807.411,47807.41100000001
2020-07-01,,39359.22527395369
2020-08-01,,29977.28833289754
2020-09-01,21869.268,21869.267999999993
2020-10-01,,23915.68152386956
2020-11-01,,25568.908550710417
2020-12-01,25746.193,25746.192999999996
2021-01-01,,24452.132987871475
2021-02-01,,22252.09827491603
2021-03-01,19844.091,19844.091000000004
2021-04-01,,26504.523315770246
2021-05-01,,30046.884012637383
2021-06-01,32727.507,32727.507
2021-07-01,,33654.89617133099
2021-08-01,,34776.58792940733
2021-09-01,36169.348,36169.348
2021-10-01,,36897.33285003075
2021-11-01,,37669.44343862693
2021-12-01,38562.135,38562.134999999995
2022-01-01,,39460.186227070575
2022-02-01,,40354.46634664353
2022-03-01,,41252.353523850834
2022-04-01,,41878.6078894167
2022-05-01,,41627.358455763526
2022-06-01,41085.858,41085.858
2022-07-01,,46203.54509067364
2022-08-01,,51441.81898180782
2022-09-01,55936.197,55936.197
2022-10-01,,57662.46767500607
2022-11-01,,59788.879598302476
2022-12-01,62407.996,62407.99600000001
2023-01-01,,64045.253073693064
2023-02-01,,67378.19784127141
2023-03-01,71502.383,71502.38300000002
2023-04-01,,64987.87493220693
2023-05-01,,57299.875548708376
2023-06-01,50668.702,50668.70199999999
2023-07-01,,55389.949634166784
2023-08-01,,59829.791311217545
2023-09-01,62661.145,62661.14499999999
2023-10-01,,63946.26734584658
2023-11-01,,67456.76312574834
2023-12-01,71932.219,71932.21900000001
2024-01-01,,62436.52038225534
2024-02-01,,51946.64337595066
2024-03-01,43045.277,43045.276999999995
2024-04-01,,45731.329419081
2024-05-01,,48404.8051494591
2024-06-01,49563.449,49563.44899999999
2024-07-01,,46635.56210402764
2024-08-01,,43568.64356163075
2024-09-01,40936.375,40936.375
2024-10-01,,40628.262088936106
2024-11-01,,40673.899207646304
2024-12-01,40554.332,40554.332
2025-01-01,,37472.23810170099
2025-02-01,,34591.676720057134
2025-03-01,32183.986,32183.986000000004
2025-04-01,,29199.671309518246
2025-05-01,,24780.307302291334
2025-06-01,20360.976,20360.975999999995
2025-07-01,,23134.9938943509
2025-08-01,,25577.792374571967
2025-09-01,26896.665,26896.665
2025-10-01,,27647.62339148247
2025-11-01,,28619.86419954684
2025-12-01,29698.289,29698.288999999997
