fecha,y_obs,y_pred
2007-04-01,,24389.848
2007-05-01,,24389.848
2007-06-01,24389.848,24389.848
2007-07-01,,24315.232802247257
2007-08-01,,24119.347800031966
2007-09-01,24089.49,24089.49
2007-10-01,,24677.884054519407
2007-11-01,,25290.311223940684
2007-12-01,25918.074,25918.074
2008-01-01,,25393.517506837794
2008-02-01,,25006.596825573703
2008-03-01,24735.729,24735.729
2008-04-01,,19579.793206960374
2008-05-01,,14406.415746733808
2008-06-01,14076.878,14076.878
2008-07-01,,14220.807695366266
2008-08-01,,14244.637436961008
2008-09-01,14198.608,14198.608
2008-10-01,,14033.829736411006
2008-11-01,,13851.466131832924
2008-12-01,13656.94,13656.94
2009-01-01,,14265.021932426298
2009-02-01,,14881.032929585679
2009-03-01,,15494.589063817439
2009-04-01,,15153.870389757963
2009-05-01,,14817.90982007483
2009-06-01,15087.548,15087.548
2009-07-01,,15397.100842652828
2009-08-01,,15697.621544530286
2009-09-01,15994.168,15994.168
2009-10-01,,16067.90129924736
2009-11-01,,16151.867308985324
2009-12-01,16245.946,16245.946
2010-01-01,,16089.315654377606
2010-02-01,,15926.279029472602
2010-03-01,15761.035,15761.035
2010-04-01,,16047.41367360157
2010-05-01,,16329.563775079912
2010-06-01,16676.751,16676.751
2010-07-01,,16779.39356900983
2010-08-01,,16862.587305260204
2010-09-01,16933.881,16933.881
2010-10-01,,17902.95764826449
2010-11-01,,18863.4603560488
2010-12-01,19808.07,19808.07
2011-01-01,,20457.498583307653
2011-02-01,,21172.002228836252
2011-03-01,21938.904,21938.904
2011-04-01,,20273.166206771068
2011-05-01,,18612.037924391534
2011-06-01,16988.989,16988.989
2011-07-01,,17031.072605451478
2011-08-01,,17050.892293535613
2011-09-01,17036.768,17036.768
2011-10-01,,17313.0842296558
2011-11-01,,16941.81466673605
2011-12-01,16571.569,16571.569
2012-01-01,,16572.04218038442
2012-02-01,,16556.734039203107
2012-03-01,16525.6,16525.6
2012-04-01,,16874.405375020768
2012-05-01,,17250.408361565544
2012-06-01,17644.133,17644.133
2012-07-01,,16623.3366969023
2012-08-01,,15589.552749901011
2012-09-01,14560.691,14560.691
2012-10-01,,15131.255682372035
2012-11-01,,15683.849114520412
2012-12-01,16206.231,16206.231
2013-01-01,,16255.925245744585
2013-02-01,,16317.313237870661
2013-03-01,16392.287,16392.287
2013-04-01,,16346.703213253513
2013-05-01,,16319.483338850012
2013-06-01,16307.687,16307.687
2013-07-01,,15603.439792966894
2013-08-01,,14835.121688852962
2013-09-01,14025.403,14025.403
2013-10-01,,16326.287483294307
2013-11-01,,18576.242626929397
2013-12-01,20754.949,20754.949
2014-01-01,,22612.504500941275
2014-02-01,,24452.414261677517
2014-03-01,,26281.77183247299
2014-04-01,,29074.854061590133
2014-05-01,,31923.74222982824
2014-06-01,34804.988,34804.988
2014-07-01,,34714.24683253918
2014-08-01,,34682.98881488326
2014-09-01,,34727.9772052562
2014-10-01,,34625.167208482184
2014-11-01,,34524.30068956869
2014-12-01,34426.947,34426.947
2015-01-01,,34328.97373874715
2015-02-01,,34121.7128925684
2015-03-01,33831.449,33831.449
2015-04-01,,38015.88078161585
2015-05-01,,42229.38131483994
2015-06-01,46418.011,46418.011
2015-07-01,,46094.27082662173
2015-08-01,,45942.52749927833
2015-09-01,45968.105,45968.105
2015-10-01,,42379.05685304775
2015-11-01,,38756.69822269807
2015-12-01,35147.715,35147.715
2016-01-01,,35006.28577857429
2016-02-01,,35385.44342575139
2016-03-01,35627.957,35627.957
2016-04-01,,37798.130256289034
2016-05-01,,39968.17114844781
2016-06-01,42117.186,42117.186
2016-07-01,,42736.09713849717
2016-08-01,,43353.47092169293
2016-09-01,43985.406,43985.406
2016-10-01,,45828.657161656294
2016-11-01,,47667.15290721567
2016-12-01,49489.572,49489.572
2017-01-01,,50609.598392742286
2017-02-01,,51754.82976929268
2017-03-01,52926.39,52926.39
2017-04-01,,53599.98292473241
2017-05-01,,54278.96238066305
2017-06-01,54967.381,54967.381
2017-07-01,,55836.43413981972
2017-08-01,,56717.97251780985
2017-09-01,57607.177,57607.177
2017-10-01,,57804.625764537835
2017-11-01,,57925.997445287896
2017-12-01,57996.794,57996.794
2018-01-01,,61699.45312633144
2018-02-01,,65405.81666839929
2018-03-01,69076.986,69076.986
2018-04-01,,69863.8509052185
2018-05-01,,70728.88610247184
2018-06-01,71683.002,71683.002
2018-07-01,,71647.19044086261
2018-08-01,,71644.03016979792
2018-09-01,71676.539,71676.539
2018-10-01,,71108.66310748554
2018-11-01,,70439.10708701097
2018-12-01,69698.767,69698.767
2019-01-01,,73587.9946357399
2019-02-01,,77495.33436992203
2019-03-01,81367.955,81367.955
2019-04-01,,81074.39827525297
2019-05-01,,80969.63707380016
2019-06-01,81051.303,81051.303
2019-07-01,,76569.57944300491
2019-08-01,,72060.24877164306
2019-09-01,68222.935,68222.935
2019-10-01,,68336.51806123178
2019-11-01,,68311.55665973884
2019-12-01,68133.835,68133.835
2020-01-01,,70073.79490307347
2020-02-01,,71938.42798290504
2020-03-01,72152.588,72152.588
2020-04-01,,75543.26918311042
2020-05-01,,79270.75719267874
2020-06-01,83236.935,83236.935
2020-07-01,,72167.88319478449
2020-08-01,,61023.52085767993
2020-09-01,49979.5,49979.5
2020-10-01,,53402.77416616869
2020-11-01,,56604.76353841316
2020-12-01,59489.224,59489.224
2021-01-01,,60463.17346835673
2021-02-01,,61458.1003792923
2021-03-01,62486.626,62486.626
2021-04-01,,65511.73603682311
2021-05-01,,66954.09872543869
2021-06-01,68382.798,68382.798
2021-07-01,,70030.49472980217
2021-08-01,,71704.8353827128
2021-09-01,73397.063,73397.063
2021-10-01,,73865.87701935713
2021-11-01,,74388.23373696652
2021-12-01,74964.087,74964.087
2022-01-01,,74304.4410213513
2022-02-01,,73656.04860907035
2022-03-01,,73029.36618188347
2022-04-01,,72810.3331168539
2022-05-01,,72441.12893833494
2022-06-01,71953.742,71953.742
2022-07-01,,77284.26520592599
2022-08-01,,82611.16684977342
2022-09-01,87874.171,87874.171
2022-10-01,,88855.47625353253
2022-11-01,,89914.37673364236
2022-12-01,91076.207,91076.207
2023-01-01,,92245.79761890446
2023-02-01,,93338.54962263424
2023-03-01,94373.541,94373.541
2023-04-01,,98600.29127812234
2023-05-01,,102848.30957123179
2023-06-01,107079.0,107079.0
2023-07-01,,108063.10305090493
2023-08-01,,109159.43299528699
2023-09-01,110374.642,110374.642
2023-10-01,,109699.9303041747
2023-11-01,,109363.52699305501
2023-12-01,109304.58,109304.58
2024-01-01,,96929.84742371675
2024-02-01,,84513.62268627305
2024-03-01,72195.492,72195.492
2024-04-01,,70942.28892007693
2024-05-01,,69500.96043732006
2024-06-01,67802.569,67802.569
2024-07-01,,65384.3348975909
2024-08-01,,62923.646048576746
2024-09-01,60436.423,60436.423
2024-10-01,,60106.05291251466
2024-11-01,,59792.80559755568
2024-12-01,59470.022,59470.022
2025-01-01,,56838.85886241561
2025-02-01,,54270.336156124504
2025-03-01,51773.27,51773.27
2025-04-01,,48377.85073554717
2025-05-01,,44195.17054038994
2025-06-01,40558.146,40558.146
2025-07-01,,43398.33252846744
2025-08-01,,46144.20746264734
2025-09-01,48750.569,48750.569
2025-10-01,,50271.438384989946
2025-11-01,,51857.73797467249
2025-12-01,53504.071,53504.071
