fecha,vencimientos_usd_2y_mm,n_bonos_activos,venc_contingente_mm,venc_fija_mm,venc_step_up_mm,venc_variable_mm,venc_zero_coupon_mm,venc_bcra_mm,venc_multilateral_mm,venc_tesoro_mm
2006-01-01,1500.0,1,0.0,0.0,0.0,1500.0,0.0,1500.0,0.0,0.0
2006-02-01,1500.0,1,0.0,0.0,0.0,1500.0,0.0,1500.0,0.0,0.0
2006-03-01,1500.0,1,0.0,0.0,0.0,1500.0,0.0,1500.0,0.0,0.0
2006-04-01,1700.0,2,0.0,200.0,0.0,1500.0,0.0,1500.0,0.0,200.0
2006-05-01,1700.0,2,0.0,200.0,0.0,1500.0,0.0,1500.0,0.0,200.0
2006-06-01,1700.0,2,0.0,200.0,0.0,1500.0,0.0,1500.0,0.0,200.0
2006-07-01,1700.0,2,0.0,200.0,0.0,1500.0,0.0,1500.0,0.0,200.0
2006-08-01,1700.0,2,0.0,200.0,0.0,1500.0,0.0,1500.0,0.0,200.0
2006-09-01,1700.0,2,0.0,200.0,0.0,1500.0,0.0,1500.0,0.0,200.0
2006-10-01,1900.0,2,0.0,400.0,0.0,1500.0,0.0,1500.0,0.0,400.0
2006-11-01,1900.0,2,0.0,400.0,0.0,1500.0,0.0,1500.0,0.0,400.0
2006-12-01,1900.0,2,0.0,400.0,0.0,1500.0,0.0,1500.0,0.0,400.0
2007-01-01,2900.0,3,500.0,400.0,0.0,2000.0,0.0,2000.0,0.0,900.0
2007-02-01,2900.0,3,500.0,400.0,0.0,2000.0,0.0,2000.0,0.0,900.0
2007-03-01,2900.0,3,500.0,400.0,0.0,2000.0,0.0,2000.0,0.0,900.0
2007-04-01,3100.0,3,500.0,600.0,0.0,2000.0,0.0,2000.0,0.0,1100.0
2007-05-01,3100.0,3,500.0,600.0,0.0,2000.0,0.0,2000.0,0.0,1100.0
2007-06-01,3100.0,3,500.0,600.0,0.0,2000.0,0.0,2000.0,0.0,1100.0
2007-07-01,3100.0,3,500.0,600.0,0.0,2000.0,0.0,2000.0,0.0,1100.0
2007-08-01,3100.0,3,500.0,600.0,0.0,2000.0,0.0,2000.0,0.0,1100.0
2007-09-01,3100.0,3,500.0,600.0,0.0,2000.0,0.0,2000.0,0.0,1100.0
2007-10-01,3300.0,3,500.0,800.0,0.0,2000.0,0.0,2000.0,0.0,1300.0
2007-11-01,3300.0,3,500.0,800.0,0.0,2000.0,0.0,2000.0,0.0,1300.0
2007-12-01,3300.0,3,500.0,800.0,0.0,2000.0,0.0,2000.0,0.0,1300.0
2008-01-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-02-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-03-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-04-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-05-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-06-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-07-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-08-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-09-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-10-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-11-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2008-12-01,4500.0,3,1200.0,800.0,0.0,2500.0,0.0,2500.0,0.0,2000.0
2009-01-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-02-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-03-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-04-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-05-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-06-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-07-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-08-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-09-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-10-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-11-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2009-12-01,2800.0,2,0.0,800.0,0.0,2000.0,0.0,2000.0,0.0,800.0
2010-01-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-02-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-03-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-04-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-05-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-06-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-07-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-08-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-09-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-10-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-11-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2010-12-01,4300.0,3,2000.0,800.0,0.0,1500.0,0.0,1500.0,0.0,2800.0
2011-01-01,4500.0,3,2500.0,800.0,0.0,1200.0,0.0,1200.0,0.0,3300.0
