causa,efecto,causa_safe,efecto_safe,lag_opt,p_value,significativo,p_lag1,p_lag2,p_lag3
Riesgo País ARG (EMBI+) A − B EMBI+ Latinoamérica,Reservas Brutas BCRA/PBI USD,v00,v01,1,0.03799266495640601,True,0.03799266495640601,0.12599090551340797,0.23853331207121273
Riesgo País ARG (EMBI+) A − B EMBI+ Latinoamérica,ITCRM Multilateral,v00,v02,1,0.11886896772731836,False,0.11886896772731836,0.15105039008841217,0.2602445577558445
Riesgo País ARG (EMBI+) A − B EMBI+ Latinoamérica,Brecha Cambiaria MEP/Oficial,v00,v03,1,0.007391233302290262,True,0.007391233302290262,0.05914353387896255,0.03797870631410701
Reservas Brutas BCRA/PBI USD,Riesgo País ARG (EMBI+) A − B EMBI+ Latinoamérica,v01,v00,1,0.445452390089483,False,0.445452390089483,0.6589344002200379,0.7774254467030576
Reservas Brutas BCRA/PBI USD,ITCRM Multilateral,v01,v02,1,0.05816114984107391,False,0.05816114984107391,0.18883089227832453,0.15982250496295627
Reservas Brutas BCRA/PBI USD,Brecha Cambiaria MEP/Oficial,v01,v03,1,0.297646206027288,False,0.297646206027288,0.5407504127819875,0.7193265903515131
ITCRM Multilateral,Riesgo País ARG (EMBI+) A − B EMBI+ Latinoamérica,v02,v00,1,0.1442955468036837,False,0.1442955468036837,0.2707784743178966,0.44713533918998205
ITCRM Multilateral,Reservas Brutas BCRA/PBI USD,v02,v01,1,0.4438485030160817,False,0.4438485030160817,0.7934904117926067,0.757630437772907
ITCRM Multilateral,Brecha Cambiaria MEP/Oficial,v02,v03,1,0.7272586740773358,False,0.7272586740773358,0.8706704499935648,0.8031482009529705
Brecha Cambiaria MEP/Oficial,Riesgo País ARG (EMBI+) A − B EMBI+ Latinoamérica,v03,v00,2,0.01142142069201081,True,0.013996917933565035,0.01142142069201081,0.028203325087675785
Brecha Cambiaria MEP/Oficial,Reservas Brutas BCRA/PBI USD,v03,v01,1,0.001695827674462902,True,0.001695827674462902,0.010996070662315515,0.01434522360487968
Brecha Cambiaria MEP/Oficial,ITCRM Multilateral,v03,v02,2,0.015804007556320065,True,0.5391469909318582,0.015804007556320065,0.0351615485907493
