fecha,SP_oficial_pctPIB,SP_pctPIB,SCA_pctPIB,SE_pctPIB,GAP_pct
2006-12-31,3.24,2.8,2.61,8.21,1.34
2007-12-31,2.9,2.41,1.88,5.21,4.25
2008-12-31,2.83,2.12,1.78,2.89,2.99
2009-12-31,1.37,0.16,1.12,0.95,-6.14
2010-12-31,1.5,-0.36,-0.38,-0.69,0.45
2011-12-31,0.27,-0.78,-1.13,-2.75,3.09
2012-12-31,-0.13,-1.2,-1.16,-3.22,-0.18
2013-12-31,-0.59,-2.33,-2.44,-3.02,0.98
2014-12-31,-0.78,-3.39,-3.1,-3.04,-1.95
2015-12-31,-3.73,-4.09,-4.17,-3.13,0.91
2016-12-31,-4.08,-4.41,-4.3,-4.32,-0.59
2017-12-31,-3.68,-4.34,-4.59,-4.05,2.99
2018-12-31,-2.18,-3.37,-3.47,-3.14,0.98
2019-12-31,-0.35,-1.4,-1.43,-0.95,0.38
2020-12-31,-6.56,-7.19,-6.33,-5.73,-8.4
2021-12-31,-1.89,-2.69,-2.73,-4.77,0.59
2022-12-31,-1.92,-3.23,-3.66,-5.47,4.74
2023-12-31,-2.58,-3.55,-3.63,-4.8,0.83
2024-12-31,1.99,1.21,1.45,0.55,-1.79
2025-12-31,1.46,0.91,0.83,-0.63,0.92
