fecha,casa,compra,venta
2011-01-03,blue,4,4
2011-01-04,blue,4,4
2011-01-05,blue,4,4
2011-01-06,blue,4,4
2011-01-07,blue,4,4
2011-01-08,blue,4,4
2011-01-09,blue,4,4
2011-01-10,blue,4,4
2011-01-11,blue,4,4
2011-01-12,blue,4,4
2011-01-13,blue,4,4
2011-01-14,blue,4,4
2011-01-15,blue,4,4
2011-01-16,blue,4,4
2011-01-17,blue,4,4
2011-01-18,blue,4,4
2011-01-19,blue,4,4
2011-01-20,blue,4,4
2011-01-21,blue,4,4
2011-01-22,blue,4,4
2011-01-23,blue,4,4
2011-01-24,blue,4,4
2011-01-25,blue,4,4
2011-01-26,blue,4,4
2011-01-27,blue,4,4
2011-01-28,blue,4,4
2011-01-29,blue,4,4
2011-01-30,blue,4,4
2011-01-31,blue,4,4
2011-02-01,blue,4,4
2011-02-02,blue,4,4
2011-02-03,blue,4,4
2011-02-04,blue,4,4
2011-02-05,blue,4,4
2011-02-06,blue,4,4
2011-02-07,blue,4,4
2011-02-08,blue,4,4
2011-02-09,blue,4,4
2011-02-10,blue,4,4
2011-02-11,blue,4,4
2011-02-12,blue,4,4
2011-02-13,blue,4,4
2011-02-14,blue,4,4
2011-02-15,blue,4,4
2011-02-16,blue,4,4
2011-02-17,blue,4,4
2011-02-18,blue,4,4
2011-02-19,blue,4,4
2011-02-20,blue,4,4
2011-02-21,blue,4,4
2011-02-22,blue,4,4
2011-02-23,blue,4,4
2011-02-24,blue,4,4
2011-02-25,blue,4,4
2011-02-26,blue,4,4
2011-02-27,blue,4,4
2011-02-28,blue,4,4
2011-03-01,blue,4,4
2011-03-02,blue,4,4
2011-03-03,blue,4,4
2011-03-04,blue,4,4
2011-03-05,blue,4,4
2011-03-06,blue,4,4
2011-03-07,blue,4,4
2011-03-08,blue,4,4
2011-03-09,blue,4,4
2011-03-10,blue,4,4
2011-03-11,blue,4,4
2011-03-12,blue,4,4
2011-03-13,blue,4,4
2011-03-14,blue,4,4
2011-03-15,blue,4,4
2011-03-16,blue,4,4
2011-03-17,blue,4,4
2011-03-18,blue,4,4
2011-03-19,blue,4,4
2011-03-20,blue,4,4
2011-03-21,blue,4,4
2011-03-22,blue,4,4
2011-03-23,blue,4,4
2011-03-24,blue,4,4
2011-03-25,blue,4,4
2011-03-26,blue,4,4
2011-03-27,blue,4,4
2011-03-28,blue,4,4
2011-03-29,blue,4,4
2011-03-30,blue,4,4
2011-03-31,blue,4,4
2011-04-01,blue,4,4
2011-04-02,blue,4,4
2011-04-03,blue,4,4
2011-04-04,blue,4,4
2011-04-05,blue,4,4
2011-04-06,blue,4,4
2011-04-07,blue,4,4
2011-04-08,blue,4,4
2011-04-09,blue,4,4
2011-04-10,blue,4,4
2011-04-11,blue,4,4
2011-04-12,blue,4,4
2011-04-13,blue,4,4
2011-04-14,blue,4,4
2011-04-15,blue,4,4
2011-04-16,blue,4,4
2011-04-17,blue,4,4
2011-04-18,blue,4,4
2011-04-19,blue,4,4
2011-04-20,blue,4,4
2011-04-21,blue,4,4
2011-04-22,blue,4,4
2011-04-23,blue,4,4
2011-04-24,blue,4,4
2011-04-25,blue,4,4
2011-04-26,blue,4,4
2011-04-27,blue,4,4
2011-04-28,blue,4,4
2011-04-29,blue,4,4
2011-04-30,blue,4,4
2011-05-01,blue,4,4
2011-05-02,blue,4,4
2011-05-03,blue,4,4
2011-05-04,blue,4,4
2011-05-05,blue,4,4
2011-05-06,blue,4,4
2011-05-07,blue,4,4
2011-05-08,blue,4,4
2011-05-09,blue,4,4
2011-05-10,blue,4,4
2011-05-11,blue,4,4
2011-05-12,blue,4,4
2011-05-13,blue,4,4
2011-05-14,blue,4,4
2011-05-15,blue,4,4
2011-05-16,blue,4,4
2011-05-17,blue,4,4
2011-05-18,blue,4,4
2011-05-19,blue,4,4
2011-05-20,blue,4,4
2011-05-21,blue,4,4
2011-05-22,blue,4,4
2011-05-23,blue,4,4
2011-05-24,blue,4,4
2011-05-25,blue,4,4
2011-05-26,blue,4,4
2011-05-27,blue,4,4
2011-05-28,blue,4,4
2011-05-29,blue,4,4
2011-05-30,blue,4,4
2011-05-31,blue,4,4
2011-06-01,blue,4,4
2011-06-02,blue,4,4
2011-06-03,blue,4,4
2011-06-04,blue,4,4
2011-06-05,blue,4,4
2011-06-06,blue,4,4
2011-06-07,blue,4,4
2011-06-08,blue,4,4
2011-06-09,blue,4,4
2011-06-10,blue,4,4
2011-06-11,blue,4,4
2011-06-12,blue,4,4
2011-06-13,blue,4,4
2011-06-14,blue,4,4
2011-06-15,blue,4,4
2011-06-16,blue,4,4
2011-06-17,blue,4,4
2011-06-18,blue,4,4
2011-06-19,blue,4,4
2011-06-20,blue,4,4
2011-06-21,blue,4,4
2011-06-22,blue,4,4
2011-06-23,blue,4,4
2011-06-24,blue,4,4
2011-06-25,blue,4,4
2011-06-26,blue,4,4
2011-06-27,blue,4,4
2011-06-28,blue,4,4
2011-06-29,blue,4,4
2011-06-30,blue,4,4
2011-07-01,blue,4,4
2011-07-02,blue,4,4
2011-07-03,blue,4,4
2011-07-04,blue,4,4
2011-07-05,blue,4,4
2011-07-06,blue,4,4
2011-07-07,blue,4,4
2011-07-08,blue,4,4
2011-07-09,blue,4,4
2011-07-10,blue,4,4
2011-07-11,blue,4,4
2011-07-12,blue,4,4
2011-07-13,blue,4,4
2011-07-14,blue,4,4
2011-07-15,blue,4,4
2011-07-16,blue,4,4
2011-07-17,blue,4,4
2011-07-18,blue,4,4
2011-07-19,blue,4,4
2011-07-20,blue,4,4
2011-07-21,blue,4,4
2011-07-22,blue,4,4
2011-07-23,blue,4,4
2011-07-24,blue,4,4
2011-07-25,blue,4,4
2011-07-26,blue,4,4
2011-07-27,blue,4,4
2011-07-28,blue,4,4
2011-07-29,blue,4,4
2011-07-30,blue,4,4
2011-07-31,blue,4,4
2011-08-01,blue,4,4
2011-08-02,blue,4,4
2011-08-03,blue,4,4
2011-08-04,blue,4,4
2011-08-05,blue,4,4
2011-08-06,blue,4,4
2011-08-07,blue,4,4
2011-08-08,blue,4,4
2011-08-09,blue,4,4
2011-08-10,blue,4,4
2011-08-11,blue,4,4
2011-08-12,blue,4,4
2011-08-13,blue,4,4
2011-08-14,blue,4,4
2011-08-15,blue,4,4
2011-08-16,blue,4,4
2011-08-17,blue,4,4
2011-08-18,blue,4,4
2011-08-19,blue,4,4
2011-08-20,blue,4,4
2011-08-21,blue,4,4
2011-08-22,blue,4,4
2011-08-23,blue,4,4
2011-08-24,blue,4,4
2011-08-25,blue,4,4
2011-08-26,blue,4,4
2011-08-27,blue,4,4
2011-08-28,blue,4,4
2011-08-29,blue,4,4
2011-08-30,blue,4,4
2011-08-31,blue,4,4
2011-09-01,blue,4,4
2011-09-02,blue,4,4
2011-09-03,blue,4,4
2011-09-04,blue,4,4
2011-09-05,blue,4,4
2011-09-06,blue,4,4
2011-09-07,blue,4,4
2011-09-08,blue,4,4
2011-09-09,blue,4,4
2011-09-10,blue,4,4
2011-09-11,blue,4,4
2011-09-12,blue,4,4
2011-09-13,blue,4,4
2011-09-14,blue,4,4
2011-09-15,blue,4,4
2011-09-16,blue,4,4
2011-09-17,blue,4,4
2011-09-18,blue,4,4
2011-09-19,blue,4,4
2011-09-20,blue,4,4
2011-09-21,blue,4,4
2011-09-22,blue,4,4
2011-09-23,blue,4,4
2011-09-24,blue,4,4
2011-09-25,blue,4,4
2011-09-26,blue,4,4
2011-09-27,blue,4,4
2011-09-28,blue,4,4
2011-09-29,blue,4,4
2011-09-30,blue,4,4
2011-10-01,blue,4,4
2011-10-02,blue,4,4
2011-10-03,blue,4,4
2011-10-04,blue,4,4
2011-10-05,blue,4,4
2011-10-06,blue,4,4
2011-10-07,blue,4,4
2011-10-08,blue,4,4
2011-10-09,blue,4,4
2011-10-10,blue,4,4
2011-10-11,blue,4,4
2011-10-12,blue,4,4
2011-10-13,blue,4,4
2011-10-14,blue,4,4
2011-10-15,blue,4,4
2011-10-16,blue,4,4
2011-10-17,blue,4,4
2011-10-18,blue,4,4
2011-10-19,blue,4,4
2011-10-20,blue,4,4
2011-10-21,blue,4,4
2011-10-22,blue,4,4
2011-10-23,blue,4,4
2011-10-24,blue,4,4
2011-10-25,blue,4,4
2011-10-26,blue,4,4
2011-10-27,blue,4,4
2011-10-28,blue,4,4
2011-10-29,blue,4,4
2011-10-30,blue,4,4
2011-10-31,blue,4,4
2011-11-01,blue,5,5
2011-11-02,blue,5,5
2011-11-03,blue,5,5
2011-11-04,blue,5,5
2011-11-05,blue,5,5
2011-11-06,blue,5,5
2011-11-07,blue,5,5
2011-11-08,blue,5,5
2011-11-09,blue,5,5
2011-11-10,blue,5,5
2011-11-11,blue,5,5
2011-11-12,blue,5,5
2011-11-13,blue,5,5
2011-11-14,blue,5,5
2011-11-15,blue,5,5
2011-11-16,blue,5,5
2011-11-17,blue,5,5
2011-11-18,blue,5,5
2011-11-19,blue,5,5
2011-11-20,blue,5,5
2011-11-21,blue,5,5
2011-11-22,blue,5,5
2011-11-23,blue,5,5
2011-11-24,blue,5,5
2011-11-25,blue,5,5
2011-11-26,blue,5,5
2011-11-27,blue,5,5
2011-11-28,blue,5,5
2011-11-29,blue,5,5
2011-11-30,blue,5,5
2011-12-01,blue,5,5
2011-12-02,blue,5,5
2011-12-03,blue,5,5
2011-12-04,blue,5,5
2011-12-05,blue,5,5
2011-12-06,blue,5,5
2011-12-07,blue,5,5
2011-12-08,blue,5,5
2011-12-09,blue,5,5
2011-12-10,blue,5,5
2011-12-11,blue,5,5
2011-12-12,blue,5,5
2011-12-13,blue,5,5
2011-12-14,blue,5,5
2011-12-15,blue,5,5
2011-12-16,blue,5,5
2011-12-17,blue,5,5
2011-12-18,blue,5,5
2011-12-19,blue,5,5
2011-12-20,blue,5,5
2011-12-21,blue,5,5
2011-12-22,blue,5,5
2011-12-23,blue,5,5
2011-12-24,blue,5,5
2011-12-25,blue,5,5
2011-12-26,blue,5,5
2011-12-27,blue,5,5
2011-12-28,blue,5,5
2011-12-29,blue,5,5
2011-12-30,blue,5,5
2011-12-31,blue,5,5
2012-01-01,blue,5,5
2012-01-02,blue,5,5
2012-01-03,blue,5,5
2012-01-04,blue,5,5
2012-01-05,blue,5,5
2012-01-06,blue,5,5
2012-01-07,blue,5,5
2012-01-08,blue,5,5
2012-01-09,blue,5,5
2012-01-10,blue,5,5
2012-01-11,blue,5,5
2012-01-12,blue,5,5
2012-01-13,blue,5,5
2012-01-14,blue,5,5
2012-01-15,blue,5,5
2012-01-16,blue,5,5
2012-01-17,blue,5,5
2012-01-18,blue,5,5
2012-01-19,blue,5,5
2012-01-20,blue,5,5
2012-01-21,blue,5,5
2012-01-22,blue,5,5
2012-01-23,blue,5,5
2012-01-24,blue,5,5
2012-01-25,blue,5,5
2012-01-26,blue,5,5
2012-01-27,blue,5,5
2012-01-28,blue,5,5
2012-01-29,blue,5,5
2012-01-30,blue,5,5
2012-01-31,blue,5,5
2012-02-01,blue,5,5
2012-02-02,blue,5,5
2012-02-03,blue,5,5
2012-02-04,blue,5,5
2012-02-05,blue,5,5
2012-02-06,blue,5,5
2012-02-07,blue,5,5
2012-02-08,blue,5,5
2012-02-09,blue,5,5
2012-02-10,blue,5,5
2012-02-11,blue,5,5
2012-02-12,blue,5,5
2012-02-13,blue,5,5
2012-02-14,blue,5,5
2012-02-15,blue,5,5
2012-02-16,blue,5,5
2012-02-17,blue,5,5
2012-02-18,blue,5,5
2012-02-19,blue,5,5
2012-02-20,blue,5,5
2012-02-21,blue,5,5
2012-02-22,blue,5,5
2012-02-23,blue,5,5
2012-02-24,blue,5,5
2012-02-25,blue,5,5
2012-02-26,blue,5,5
2012-02-27,blue,5,5
2012-02-28,blue,5,5
2012-02-29,blue,5,5
2012-03-01,blue,5,5
2012-03-02,blue,5,5
2012-03-03,blue,5,5
2012-03-04,blue,5,5
2012-03-05,blue,5,5
2012-03-06,blue,5,5
2012-03-07,blue,5,5
2012-03-08,blue,5,5
2012-03-09,blue,5,5
2012-03-10,blue,5,5
2012-03-11,blue,5,5
2012-03-12,blue,5,5
2012-03-13,blue,5,5
2012-03-14,blue,5,5
2012-03-15,blue,5,5
2012-03-16,blue,5,5
2012-03-17,blue,5,5
2012-03-18,blue,5,5
2012-03-19,blue,5,5
2012-03-20,blue,5,5
2012-03-21,blue,5,5
2012-03-22,blue,5,5
2012-03-23,blue,5,5
2012-03-24,blue,5,5
2012-03-25,blue,5,5
2012-03-26,blue,5,5
2012-03-27,blue,5,5
2012-03-28,blue,5,5
2012-03-29,blue,5,5
2012-03-30,blue,5,5
2012-03-31,blue,5,5
2012-04-01,blue,5,5
2012-04-02,blue,5,5
2012-04-03,blue,5,5
2012-04-04,blue,5,5
2012-04-05,blue,5,5
2012-04-06,blue,5,5
2012-04-07,blue,5,5
2012-04-08,blue,5,5
2012-04-09,blue,5,5
2012-04-10,blue,5,5
2012-04-11,blue,5,5
2012-04-12,blue,5,5
2012-04-13,blue,5,5
2012-04-14,blue,5,5
2012-04-15,blue,5,5
2012-04-16,blue,5,5
2012-04-17,blue,5,5
2012-04-18,blue,5,5
2012-04-19,blue,5,5
2012-04-20,blue,5,5
2012-04-21,blue,5,5
2012-04-22,blue,5,5
2012-04-23,blue,5,5
2012-04-24,blue,5,5
2012-04-25,blue,5,5
2012-04-26,blue,5,5
2012-04-27,blue,5,5
2012-04-28,blue,5,5
2012-04-29,blue,5,5
2012-04-30,blue,5,5
2012-05-01,blue,5,5
2012-05-02,blue,5,5
2012-05-03,blue,5,5
2012-05-04,blue,5,5
2012-05-05,blue,5,5
2012-05-06,blue,5,5
2012-05-07,blue,5,5
2012-05-08,blue,5,5
2012-05-09,blue,5,5
2012-05-10,blue,5,5
2012-05-11,blue,5,5
2012-05-12,blue,5,5
2012-05-13,blue,5,5
2012-05-14,blue,5,5
2012-05-15,blue,6,5
2012-05-16,blue,5,5
2012-05-17,blue,6,5
2012-05-18,blue,6,6
2012-05-19,blue,6,6
2012-05-20,blue,6,6
2012-05-21,blue,6,6
2012-05-22,blue,6,6
2012-05-23,blue,6,6
