fecha,casa,compra,venta
2013-01-02,contadoconliqui,6.67,6.67
2013-01-03,contadoconliqui,6.68,6.68
2013-01-04,contadoconliqui,6.82,6.82
2013-01-05,contadoconliqui,6.82,6.82
2013-01-06,contadoconliqui,6.82,6.82
2013-01-07,contadoconliqui,6.83,6.83
2013-01-08,contadoconliqui,6.87,6.87
2013-01-09,contadoconliqui,7.03,7.03
2013-01-10,contadoconliqui,7.03,7.03
2013-01-11,contadoconliqui,7.13,7.13
2013-01-12,contadoconliqui,7.13,7.13
2013-01-13,contadoconliqui,7.13,7.13
2013-01-14,contadoconliqui,7.16,7.16
2013-01-15,contadoconliqui,7.18,7.18
2013-01-16,contadoconliqui,7.25,7.25
2013-01-17,contadoconliqui,7.33,7.33
2013-01-18,contadoconliqui,7.31,7.31
2013-01-19,contadoconliqui,7.31,7.31
2013-01-20,contadoconliqui,7.31,7.31
2013-01-21,contadoconliqui,7.31,7.31
2013-01-22,contadoconliqui,7.35,7.35
2013-01-23,contadoconliqui,7.38,7.38
2013-01-24,contadoconliqui,7.46,7.46
2013-01-25,contadoconliqui,7.51,7.51
2013-01-26,contadoconliqui,7.51,7.51
2013-01-27,contadoconliqui,7.51,7.51
2013-01-28,contadoconliqui,7.53,7.53
2013-01-29,contadoconliqui,7.62,7.62
2013-01-30,contadoconliqui,7.68,7.68
2013-01-31,contadoconliqui,7.68,7.68
2013-02-01,contadoconliqui,7.71,7.71
2013-02-02,contadoconliqui,7.71,7.71
2013-02-03,contadoconliqui,7.71,7.71
2013-02-04,contadoconliqui,7.83,7.83
2013-02-05,contadoconliqui,7.87,7.87
2013-02-06,contadoconliqui,7.77,7.77
2013-02-07,contadoconliqui,7.7,7.7
2013-02-08,contadoconliqui,7.76,7.76
2013-02-09,contadoconliqui,7.76,7.76
2013-02-10,contadoconliqui,7.76,7.76
2013-02-11,contadoconliqui,7.76,7.76
2013-02-12,contadoconliqui,7.76,7.76
2013-02-13,contadoconliqui,7.69,7.69
2013-02-14,contadoconliqui,7.71,7.71
2013-02-15,contadoconliqui,7.62,7.62
2013-02-16,contadoconliqui,7.62,7.62
2013-02-17,contadoconliqui,7.62,7.62
2013-02-18,contadoconliqui,7.62,7.62
2013-02-19,contadoconliqui,7.72,7.72
2013-02-20,contadoconliqui,7.72,7.72
2013-02-21,contadoconliqui,7.75,7.75
2013-02-22,contadoconliqui,7.75,7.75
2013-02-23,contadoconliqui,7.75,7.75
2013-02-24,contadoconliqui,7.75,7.75
2013-02-25,contadoconliqui,7.73,7.73
2013-02-26,contadoconliqui,7.94,7.94
2013-02-27,contadoconliqui,7.82,7.82
2013-02-28,contadoconliqui,7.78,7.78
2013-03-01,contadoconliqui,8.08,8.08
2013-03-02,contadoconliqui,8.08,8.08
2013-03-03,contadoconliqui,8.08,8.08
2013-03-04,contadoconliqui,8.06,8.06
2013-03-05,contadoconliqui,7.92,7.92
2013-03-06,contadoconliqui,8.06,8.06
2013-03-07,contadoconliqui,8.03,8.03
2013-03-08,contadoconliqui,8.15,8.15
2013-03-09,contadoconliqui,8.15,8.15
2013-03-10,contadoconliqui,8.15,8.15
2013-03-11,contadoconliqui,8.2,8.2
2013-03-12,contadoconliqui,8.33,8.33
2013-03-13,contadoconliqui,8.34,8.34
